base_name_en,rank,condition_en,item_en,stack,percentage
Hornetaur,HR,Hunt (Bronze),Hornetaur Carapace,1,40
Hornetaur,HR,Hunt (Bronze),Hornetaur Innerwing,1,32
Hornetaur,HR,Hunt (Bronze),Monster Broth,1,20
Hornetaur,HR,Hunt (Bronze),Hornetaur Head,1,8
Gastodon,HR,Body Carve,Gastodon Carapace,1,70
Gastodon,HR,Body Carve,Gastodon Horn,1,30
Barnos,LR,Body Carve,Wingdrake Hide,1,100
Barnos,LR,Hunt (Bronze),Wingdrake Hide,1,30
Barnos,LR,Hunt (Bronze),Raw Meat,1,20
Barnos,LR,Hunt (Bronze),Nulberry,3,20
Barnos,LR,Hunt (Bronze),Monster Bone S,2,15
Barnos,LR,Hunt (Bronze),Sturdy Bone,1,15
Barnos,HR,Body Carve,Barnos Hide+,1,70
Barnos,HR,Body Carve,Barnos Talon,1,30
Great Jagras,LR,Track,Great Jagras Scale,1,100
Great Jagras,LR,Carve / Capture,Great Jagras Scale,1,36
Great Jagras,LR,Carve / Capture,Great Jagras Hide,1,28
Great Jagras,LR,Carve / Capture,Great Jagras Claw,1,21
Great Jagras,LR,Carve / Capture,Great Jagras Mane,1,15
Great Jagras,LR,Wound Head,Great Jagras Mane,1,100
Great Jagras,LR,Wound Forelegs,Great Jagras Claw,1,100
Great Jagras,LR,Wound Belly,Great Jagras Hide,2,100
Great Jagras,LR,Shiny Drop,Great Jagras Scale,1,50
Great Jagras,LR,Shiny Drop,Great Jagras Claw,1,28
Great Jagras,LR,Shiny Drop,Wyvern Tear,1,22
Great Jagras,LR,Palico Bonus,Great Jagras Scale,1,50
Great Jagras,LR,Palico Bonus,Great Jagras Claw,1,28
Great Jagras,LR,Palico Bonus,Wyvern Tear,1,22
Great Jagras,LR,Plunderblade,Great Jagras Scale,1,43
Great Jagras,LR,Plunderblade,Great Jagras Hide,1,35
Great Jagras,LR,Plunderblade,Great Jagras Mane,1,22
Great Jagras,LR,Bandit Mantle,Chipped Scale,1,70
Great Jagras,LR,Bandit Mantle,Large Scale,1,30
Great Jagras,LR,Hunt (Bronze),Great Jagras Hide,1,32
Great Jagras,LR,Hunt (Bronze),Great Jagras Scale,1,23
Great Jagras,LR,Hunt (Bronze),Great Jagras Mane,1,16
Great Jagras,LR,Hunt (Bronze),Iron Ore,2,10
Great Jagras,LR,Hunt (Bronze),Monster Bone S,2,10
Great Jagras,LR,Hunt (Bronze),Great Jagras Claw,1,9
Great Jagras,LR,Investigation (Silver),Great Jagras Mane,1,30
Great Jagras,LR,Investigation (Silver),Great Jagras Hide,2,25
Great Jagras,LR,Investigation (Silver),Great Jagras Claw,1,25
Great Jagras,LR,Investigation (Silver),Great Jagras Scale,2,20
Great Jagras,LR,Investigation (Gold),Great Jagras Mane,1,40
Great Jagras,LR,Investigation (Gold),Great Jagras Claw,1,30
Great Jagras,LR,Investigation (Gold),Great Jagras Hide,3,16
Great Jagras,LR,Investigation (Gold),Great Jagras Scale,3,14
Great Jagras,HR,Track,Great Jagras Scale+,1,100
Great Jagras,HR,Carve / Capture,Great Jagras Scale+,1,36
Great Jagras,HR,Carve / Capture,Great Jagras Hide+,1,28
Great Jagras,HR,Carve / Capture,Great Jagras Claw+,1,21
Great Jagras,HR,Carve / Capture,Great Jagras Mane,1,15
Great Jagras,HR,Wound Head,Great Jagras Mane,2,63
Great Jagras,HR,Wound Head,Great Jagras Hide+,2,37
Great Jagras,HR,Wound Forelegs,Great Jagras Claw+,1,100
Great Jagras,HR,Wound Belly,Great Jagras Hide+,2,100
Great Jagras,HR,Shiny Drop,Great Jagras Scale+,1,50
Great Jagras,HR,Shiny Drop,Great Jagras Claw+,1,28
Great Jagras,HR,Shiny Drop,Wyvern Tear,1,22
Great Jagras,HR,Palico Bonus,Great Jagras Scale+,1,50
Great Jagras,HR,Palico Bonus,Great Jagras Claw+,1,28
Great Jagras,HR,Palico Bonus,Wyvern Tear,1,22
Great Jagras,HR,Plunderblade,Great Jagras Scale+,1,43
Great Jagras,HR,Plunderblade,Great Jagras Hide+,1,35
Great Jagras,HR,Plunderblade,Great Jagras Mane,1,22
Great Jagras,HR,Bandit Mantle,Large Scale,1,70
Great Jagras,HR,Bandit Mantle,Beautiful Scale,1,30
Great Jagras,HR,Hunt (Bronze),Great Jagras Hide+,1,32
Great Jagras,HR,Hunt (Bronze),Great Jagras Scale+,1,23
Great Jagras,HR,Hunt (Bronze),Monster Bone+,1,20
Great Jagras,HR,Hunt (Bronze),Great Jagras Mane,2,16
Great Jagras,HR,Hunt (Bronze),Great Jagras Claw+,1,9
Great Jagras,HR,Investigation (Silver),Great Jagras Claw+,1,40
Great Jagras,HR,Investigation (Silver),Great Jagras Hide+,2,25
Great Jagras,HR,Investigation (Silver),Great Jagras Scale+,2,20
Great Jagras,HR,Investigation (Silver),Great Jagras Mane,2,15
Great Jagras,HR,Investigation (Gold),Great Jagras Claw+,1,64
Great Jagras,HR,Investigation (Gold),Great Jagras Hide+,3,14
Great Jagras,HR,Investigation (Gold),Great Jagras Mane,3,12
Great Jagras,HR,Investigation (Gold),Great Jagras Scale+,3,10
Great Jagras,MR,Track,Great Jagras Shard,1,100
Great Jagras,MR,Carve / Capture,Great Jagras Shard,1,36
Great Jagras,MR,Carve / Capture,Great Jagras Thickhide,1,28
Great Jagras,MR,Carve / Capture,Great Jagras Hardclaw,1,21
Great Jagras,MR,Carve / Capture,Great Jagras Mane+,1,15
Great Jagras,MR,Wound Head,Great Jagras Mane+,1,100
Great Jagras,MR,Wound Forelegs,Great Jagras Hardclaw,1,100
Great Jagras,MR,Wound Belly,Great Jagras Thickhide,2,100
Great Jagras,MR,Shiny Drop,Great Jagras Shard,1,50
Great Jagras,MR,Shiny Drop,Great Jagras Hardclaw,1,28
Great Jagras,MR,Shiny Drop,Large Wyvern Tear,1,22
Great Jagras,MR,Palico Bonus,Great Jagras Shard,1,50
Great Jagras,MR,Palico Bonus,Great Jagras Hardclaw,1,28
Great Jagras,MR,Palico Bonus,Large Wyvern Tear,1,22
Great Jagras,MR,Plunderblade,Great Jagras Shard,1,43
Great Jagras,MR,Plunderblade,Great Jagras Thickhide,1,35
Great Jagras,MR,Plunderblade,Great Jagras Mane+,1,22
Great Jagras,MR,Bandit Mantle,Beautiful Scale,1,70
Great Jagras,MR,Bandit Mantle,Lustrous Scale,1,30
Great Jagras,MR,Hunt (Bronze),Great Jagras Thickhide,1,32
Great Jagras,MR,Hunt (Bronze),Great Jagras Shard,1,23
Great Jagras,MR,Hunt (Bronze),Monster Toughbone,1,20
Great Jagras,MR,Hunt (Bronze),Great Jagras Mane+,1,16
Great Jagras,MR,Hunt (Bronze),Great Jagras Hardclaw,1,9
Great Jagras,MR,Investigation (Silver),Great Jagras Mane+,1,30
Great Jagras,MR,Investigation (Silver),Great Jagras Thickhide,2,25
Great Jagras,MR,Investigation (Silver),Great Jagras Hardclaw,1,25
Great Jagras,MR,Investigation (Silver),Great Jagras Shard,2,20
Great Jagras,MR,Investigation (Gold),Great Jagras Mane+,1,40
Great Jagras,MR,Investigation (Gold),Great Jagras Hardclaw,1,30
Great Jagras,MR,Investigation (Gold),Great Jagras Thickhide,3,16
Great Jagras,MR,Investigation (Gold),Great Jagras Shard,3,14
Great Jagras,MR,Guiding Lands (Low),Fierce Dragonvein Bone,1,63
Great Jagras,MR,Guiding Lands (Low),Rugged Mane,1,37
Great Jagras,MR,Guiding Lands (Mid),Rugged Mane,1,63
Great Jagras,MR,Guiding Lands (Mid),Fierce Dragonvein Bone,1,37
Great Jagras,MR,Guiding Lands (High),Rugged Mane,1,100
Great Jagras,MR,Guiding Lands (Tempered),Rugged Mane,1,100
Kulu-Ya-Ku,LR,Track,Kulu-Ya-Ku Scale,1,100
Kulu-Ya-Ku,LR,Carve / Capture,Kulu-Ya-Ku Scale,1,36
Kulu-Ya-Ku,LR,Carve / Capture,Kulu-Ya-Ku Hide,1,28
Kulu-Ya-Ku,LR,Carve / Capture,Kulu-Ya-Ku Beak,1,21
Kulu-Ya-Ku,LR,Carve / Capture,Kulu-Ya-Ku Plume,1,15
Kulu-Ya-Ku,LR,Wound Head,Kulu-Ya-Ku Beak,1,100
Kulu-Ya-Ku,LR,Wound Forearms,Kulu-Ya-Ku Plume,1,100
Kulu-Ya-Ku,LR,Shiny Drop,Kulu-Ya-Ku Scale,1,50
Kulu-Ya-Ku,LR,Shiny Drop,Kulu-Ya-Ku Plume,1,28
Kulu-Ya-Ku,LR,Shiny Drop,Wyvern Tear,1,22
Kulu-Ya-Ku,LR,Palico Bonus,Kulu-Ya-Ku Scale,1,50
Kulu-Ya-Ku,LR,Palico Bonus,Kulu-Ya-Ku Plume,1,28
Kulu-Ya-Ku,LR,Palico Bonus,Wyvern Tear,1,22
Kulu-Ya-Ku,LR,Plunderblade,Kulu-Ya-Ku Scale,1,43
Kulu-Ya-Ku,LR,Plunderblade,Kulu-Ya-Ku Hide,1,35
Kulu-Ya-Ku,LR,Plunderblade,Kulu-Ya-Ku Plume,1,22
Kulu-Ya-Ku,LR,Bandit Mantle,Chipped Scale,1,70
Kulu-Ya-Ku,LR,Bandit Mantle,Large Scale,1,30
Kulu-Ya-Ku,LR,Hunt (Bronze),Kulu-Ya-Ku Hide,1,32
Kulu-Ya-Ku,LR,Hunt (Bronze),Kulu-Ya-Ku Scale,1,23
Kulu-Ya-Ku,LR,Hunt (Bronze),Monster Bone S,1,20
Kulu-Ya-Ku,LR,Hunt (Bronze),Kulu-Ya-Ku Plume,1,16
Kulu-Ya-Ku,LR,Hunt (Bronze),Kulu-Ya-Ku Beak,1,9
Kulu-Ya-Ku,LR,Investigation (Silver),Kulu-Ya-Ku Plume,1,30
Kulu-Ya-Ku,LR,Investigation (Silver),Kulu-Ya-Ku Hide,2,25
Kulu-Ya-Ku,LR,Investigation (Silver),Kulu-Ya-Ku Beak,1,25
Kulu-Ya-Ku,LR,Investigation (Silver),Kulu-Ya-Ku Scale,2,20
Kulu-Ya-Ku,LR,Investigation (Gold),Kulu-Ya-Ku Plume,1,40
Kulu-Ya-Ku,LR,Investigation (Gold),Kulu-Ya-Ku Beak,1,30
Kulu-Ya-Ku,LR,Investigation (Gold),Kulu-Ya-Ku Hide,3,16
Kulu-Ya-Ku,LR,Investigation (Gold),Kulu-Ya-Ku Scale,3,14
Kulu-Ya-Ku,HR,Track,Kulu-Ya-Ku Scale+,1,100
Kulu-Ya-Ku,HR,Carve / Capture,Kulu-Ya-Ku Scale+,1,34
Kulu-Ya-Ku,HR,Carve / Capture,Kulu-Ya-Ku Hide+,1,27
Kulu-Ya-Ku,HR,Carve / Capture,Kulu-Ya-Ku Beak+,1,20
Kulu-Ya-Ku,HR,Carve / Capture,Kulu-Ya-Ku Plume+,1,14
Kulu-Ya-Ku,HR,Carve / Capture,Bird Wyvern Gem,1,5
Kulu-Ya-Ku,HR,Wound Head,Kulu-Ya-Ku Beak+,1,100
Kulu-Ya-Ku,HR,Wound Forearms,Kulu-Ya-Ku Plume+,1,100
Kulu-Ya-Ku,HR,Shiny Drop,Kulu-Ya-Ku Scale+,1,50
Kulu-Ya-Ku,HR,Shiny Drop,Kulu-Ya-Ku Plume+,1,28
Kulu-Ya-Ku,HR,Shiny Drop,Wyvern Tear,1,22
Kulu-Ya-Ku,HR,Palico Bonus,Kulu-Ya-Ku Scale+,1,50
Kulu-Ya-Ku,HR,Palico Bonus,Kulu-Ya-Ku Plume+,1,28
Kulu-Ya-Ku,HR,Palico Bonus,Wyvern Tear,1,22
Kulu-Ya-Ku,HR,Plunderblade,Kulu-Ya-Ku Scale+,1,43
Kulu-Ya-Ku,HR,Plunderblade,Kulu-Ya-Ku Hide+,1,33
Kulu-Ya-Ku,HR,Plunderblade,Kulu-Ya-Ku Plume,1,22
Kulu-Ya-Ku,HR,Plunderblade,Bird Wyvern Gem,1,2
Kulu-Ya-Ku,HR,Bandit Mantle,Large Scale,1,70
Kulu-Ya-Ku,HR,Bandit Mantle,Beautiful Scale,1,30
Kulu-Ya-Ku,HR,Hunt (Bronze),Kulu-Ya-Ku Hide+,1,32
Kulu-Ya-Ku,HR,Hunt (Bronze),Kulu-Ya-Ku Scale+,1,21
Kulu-Ya-Ku,HR,Hunt (Bronze),Monster Bone+,1,18
Kulu-Ya-Ku,HR,Hunt (Bronze),Kulu-Ya-Ku Plume+,1,15
Kulu-Ya-Ku,HR,Hunt (Bronze),Kulu-Ya-Ku Beak+,1,11
Kulu-Ya-Ku,HR,Hunt (Bronze),Bird Wyvern Gem,1,3
Kulu-Ya-Ku,HR,Investigation (Silver),Kulu-Ya-Ku Plume+,1,28
Kulu-Ya-Ku,HR,Investigation (Silver),Kulu-Ya-Ku Beak+,1,23
Kulu-Ya-Ku,HR,Investigation (Silver),Kulu-Ya-Ku Hide+,2,20
Kulu-Ya-Ku,HR,Investigation (Silver),Kulu-Ya-Ku Scale+,2,18
Kulu-Ya-Ku,HR,Investigation (Silver),Bird Wyvern Gem,1,11
Kulu-Ya-Ku,HR,Investigation (Gold),Kulu-Ya-Ku Plume+,1,30
Kulu-Ya-Ku,HR,Investigation (Gold),Kulu-Ya-Ku Beak+,1,24
Kulu-Ya-Ku,HR,Investigation (Gold),Bird Wyvern Gem,1,17
Kulu-Ya-Ku,HR,Investigation (Gold),Kulu-Ya-Ku Hide+,3,16
Kulu-Ya-Ku,HR,Investigation (Gold),Kulu-Ya-Ku Scale+,3,13
Kulu-Ya-Ku,MR,Track,Kulu-Ya-Ku Shard,1,100
Kulu-Ya-Ku,MR,Carve / Capture,Kulu-Ya-Ku Shard,1,34
Kulu-Ya-Ku,MR,Carve / Capture,Kulu-Ya-Ku Thickhide,1,27
Kulu-Ya-Ku,MR,Carve / Capture,Large Kulu-Ya-Ku Beak,1,20
Kulu-Ya-Ku,MR,Carve / Capture,Large Kulu-Ya-Ku Plume,1,14
Kulu-Ya-Ku,MR,Carve / Capture,Fey Wyvern Gem,1,5
Kulu-Ya-Ku,MR,Wound Head,Large Kulu-Ya-Ku Beak,1,100
Kulu-Ya-Ku,MR,Wound Forearms,Large Kulu-Ya-Ku Plume,1,100
Kulu-Ya-Ku,MR,Shiny Drop,Kulu-Ya-Ku Shard,1,50
Kulu-Ya-Ku,MR,Shiny Drop,Large Kulu-Ya-Ku Plume,1,28
Kulu-Ya-Ku,MR,Shiny Drop,Large Wyvern Tear,1,22
Kulu-Ya-Ku,MR,Palico Bonus,Kulu-Ya-Ku Shard,1,50
Kulu-Ya-Ku,MR,Palico Bonus,Large Kulu-Ya-Ku Plume,1,28
Kulu-Ya-Ku,MR,Palico Bonus,Large Wyvern Tear,1,22
Kulu-Ya-Ku,MR,Plunderblade,Kulu-Ya-Ku Shard,1,43
Kulu-Ya-Ku,MR,Plunderblade,Kulu-Ya-Ku Thickhide,1,33
Kulu-Ya-Ku,MR,Plunderblade,Large Kulu-Ya-Ku Plume,1,22
Kulu-Ya-Ku,MR,Plunderblade,Fey Wyvern Gem,1,2
Kulu-Ya-Ku,MR,Bandit Mantle,Beautiful Scale,1,70
Kulu-Ya-Ku,MR,Bandit Mantle,Lustrous Scale,1,30
Kulu-Ya-Ku,MR,Hunt (Bronze),Kulu-Ya-Ku Thickhide,1,32
Kulu-Ya-Ku,MR,Hunt (Bronze),Kulu-Ya-Ku Shard,1,21
Kulu-Ya-Ku,MR,Hunt (Bronze),Monster Toughbone,1,18
Kulu-Ya-Ku,MR,Hunt (Bronze),Large Kulu-Ya-Ku Plume,1,15
Kulu-Ya-Ku,MR,Hunt (Bronze),Large Kulu-Ya-Ku Beak,1,11
Kulu-Ya-Ku,MR,Hunt (Bronze),Fey Wyvern Gem,1,3
Kulu-Ya-Ku,MR,Investigation (Silver),Large Kulu-Ya-Ku Plume,1,28
Kulu-Ya-Ku,MR,Investigation (Silver),Large Kulu-Ya-Ku Beak,1,23
Kulu-Ya-Ku,MR,Investigation (Silver),Kulu-Ya-Ku Thickhide,2,20
Kulu-Ya-Ku,MR,Investigation (Silver),Kulu-Ya-Ku Shard,2,18
Kulu-Ya-Ku,MR,Investigation (Silver),Fey Wyvern Gem,1,11
Kulu-Ya-Ku,MR,Investigation (Gold),Large Kulu-Ya-Ku Plume,1,30
Kulu-Ya-Ku,MR,Investigation (Gold),Large Kulu-Ya-Ku Beak,1,24
Kulu-Ya-Ku,MR,Investigation (Gold),Fey Wyvern Gem,1,17
Kulu-Ya-Ku,MR,Investigation (Gold),Kulu-Ya-Ku Thickhide,3,16
Kulu-Ya-Ku,MR,Investigation (Gold),Kulu-Ya-Ku Shard,3,13
Kulu-Ya-Ku,MR,Guiding Lands (Low),Fierce Dragonvein Bone,1,63
Kulu-Ya-Ku,MR,Guiding Lands (Low),Colorful Plume,1,37
Kulu-Ya-Ku,MR,Guiding Lands (Mid),Colorful Plume,1,63
Kulu-Ya-Ku,MR,Guiding Lands (Mid),Fierce Dragonvein Bone,1,37
Kulu-Ya-Ku,MR,Guiding Lands (High),Colorful Plume,1,100
Kulu-Ya-Ku,MR,Guiding Lands (Tempered),Colorful Plume,1,100
Pukei-Pukei,LR,Track,Pukei-Pukei Scale,1,100
Pukei-Pukei,LR,Carve / Capture,Pukei-Pukei Scale,1,31
Pukei-Pukei,LR,Carve / Capture,Pukei-Pukei Shell,1,24
Pukei-Pukei,LR,Carve / Capture,Pukei-Pukei Quill,1,18
Pukei-Pukei,LR,Carve / Capture,Pukei-Pukei Sac,1,15
Pukei-Pukei,LR,Carve / Capture,Pukei-Pukei Tail,1,12
Pukei-Pukei,LR,Wound Head,Pukei-Pukei Sac,1,75
Pukei-Pukei,LR,Wound Head,Pukei-Pukei Scale,2,25
Pukei-Pukei,LR,Wound Wings,Pukei-Pukei Quill,1,80
Pukei-Pukei,LR,Wound Wings,Pukei-Pukei Scale,1,20
Pukei-Pukei,LR,Wound Back,Pukei-Pukei Shell,1,80
Pukei-Pukei,LR,Wound Back,Pukei-Pukei Scale,1,20
Pukei-Pukei,LR,Shiny Drop,Pukei-Pukei Scale,1,50
Pukei-Pukei,LR,Shiny Drop,Pukei-Pukei Quill,1,28
Pukei-Pukei,LR,Shiny Drop,Wyvern Tear,1,22
Pukei-Pukei,LR,Tail Carve,Pukei-Pukei Tail,1,80
Pukei-Pukei,LR,Tail Carve,Pukei-Pukei Shell,1,20
Pukei-Pukei,LR,Palico Bonus,Pukei-Pukei Scale,1,50
Pukei-Pukei,LR,Palico Bonus,Pukei-Pukei Quill,1,28
Pukei-Pukei,LR,Palico Bonus,Wyvern Tear,1,22
Pukei-Pukei,LR,Plunderblade,Pukei-Pukei Scale,1,44
Pukei-Pukei,LR,Plunderblade,Pukei-Pukei Shell,1,32
Pukei-Pukei,LR,Plunderblade,Pukei-Pukei Quill,1,24
Pukei-Pukei,LR,Bandit Mantle,Large Scale,1,100
Pukei-Pukei,LR,Hunt (Bronze),Pukei-Pukei Shell,1,24
Pukei-Pukei,LR,Hunt (Bronze),Pukei-Pukei Scale,1,22
Pukei-Pukei,LR,Hunt (Bronze),Poison Sac,1,19
