name_en,name_ja,name_fr,name_it,name_de,name_es,name_pt,name_pl,name_ru,name_ko,name_zh,name_ar
Empresswing II,レジナヴォランテⅡ,Impérialoptère II,Empresswing II,Kaiserinnenflügel II,Emperatriz II,Imperatrasa II,Cesarzyk II,Крыло императрицы 2,레지나볼란테Ⅱ,威力平衡型切斷蟲Ⅱ,إمبريسوينغ II
Empresswing III,レジナヴォランテⅢ,Impérialoptère III,Empresswing III,Kaiserinnenflügel III,Emperatriz III,Imperatrasa III,Cesarzyk III,Крыло императрицы 3,레지나볼란테Ⅲ,威力平衡型切斷蟲Ⅲ,إمبريسوينغ III
Rigiprayne I,ガシルドーレⅠ,Rigiphage,Rigiprayne I,Rigianbeter I,Hymanopteros I,Rigiprayne I,Twardoból I,Ригипрайн 1,가실도레Ⅰ,體力型切斷蟲Ⅰ,ريغيبراين I
Rigiprayne II,ガシルドーレⅡ,Rigiphage II,Rigiprayne II,Rigianbeter II,Hymanopteros II,Rigiprayne II,Twardoból II,Ригипрайн 2,가실도레Ⅱ,體力型切斷蟲Ⅱ,ريغيبراين II
Rigiprayne III,ガシルドーレⅢ,Rigiphage III,Rigiprayne III,Rigianbeter III,Hymanopteros III,Rigiprayne III,Twardoból III,Ригипрайн 3,가실도레Ⅲ,體力型切斷蟲Ⅲ,ريغيبراين III
Cancadaman I,ドゥンクラープⅠ,Armurophage,Cancadaman I,Dauerflieger I,Cancadamán I,Cancadaman I,Puchotwór I,Канкадаман 1,둔크라프Ⅰ,體力特化型切斷蟲Ⅰ,كانكادامان I
Cancadaman II,ドゥンクラープⅡ,Armurophage II,Cancadaman II,Dauerflieger II,Cancadamán II,Cancadaman II,Puchotwór II,Канкадаман 2,둔크라프Ⅱ,體力特化型切斷蟲Ⅱ,كانكادامان II
Cancadaman III,ドゥンクラープⅢ,Armurophage III,Cancadaman III,Dauerflieger III,Cancadamán III,Cancadaman III,Puchotwór III,Канкадаман 3,둔크라프Ⅲ,體力特化型切斷蟲Ⅲ,كانكادامان III
Fiddlebrix I,ウカドゥーレⅠ,Lamobrix,Fiddlebrix I,Mauschelbrix I,Gladiador I,Fiddlebrix I,Dłubogruz I,Брикс-обманщик 1,우카드레Ⅰ,體力平衡型切斷蟲Ⅰ,فيدلبريكس I
Fiddlebrix II,ウカドゥーレⅡ,Lamobrix II,Fiddlebrix II,Mauschelbrix II,Gladiador II,Fiddlebrix II,Dłubogruz II,Брикс-обманщик 2,우카드레Ⅱ,體力平衡型切斷蟲Ⅱ,فيدلبريكس II
Fiddlebrix III,ウカドゥーレⅢ,Lamobrix III,Fiddlebrix III,Mauschelbrix III,Gladiador III,Fiddlebrix III,Dłubogruz III,Брикс-обманщик 3,우카드레Ⅲ,體力平衡型切斷蟲Ⅲ,فيدلبريكس III
Windchopper I,カゼキリバネⅠ,Zéphyropode,Windchopper I,Windschneider I,Vespidae I,Cortavento I,Wiaterciął I,Ветролом 1,카제키리바네Ⅰ,速度型切斷蟲Ⅰ,ويندتشوبر I
Windchopper II,カゼキリバネⅡ,Zéphyropode II,Windchopper II,Windschneider II,Vespidae II,Cortavento II,Wiaterciął II,Ветролом 2,카제키리바네Ⅱ,速度型切斷蟲Ⅱ,ويندتشوبر II
Windchopper III,カゼキリバネⅢ,Zéphyropode III,Windchopper III,Windschneider III,Vespidae III,Cortavento III,Wiaterciął III,Ветролом 3,카제키리바네Ⅲ,速度型切斷蟲Ⅲ,ويندتشوبر III
Grancathar I,オオシナトⅠ,Grancathar,Grancathar I,Großkathar I,Dardazul I,Grancathar I,Wielkatarz I,Гранкатар 1,킹시나토Ⅰ,速度特化型切斷蟲Ⅰ,غرانكاثار I
Grancathar II,オオシナトⅡ,Grancathar II,Grancathar II,Großkathar II,Dardazul II,Grancathar II,Wielkatarz II,Гранкатар 2,킹시나토Ⅱ,速度特化型切斷蟲Ⅱ,غرانكاثار II
Grancathar III,オオシナトⅢ,Grancathar III,Grancathar III,Großkathar III,Dardazul III,Grancathar III,Wielkatarz III,Гранкатар 3,킹시나토Ⅲ,速度特化型切斷蟲Ⅲ,غرانكاثار III
Pseudocath I,シナトモドキⅠ,Pseudocath,Pseudocath I,Pseudokath I,Mothodus I,Pseudocath I,Pseudokat I,Псевдокат 1,시나토모도키Ⅰ,速度平衡型切斷蟲Ⅰ,بسيودوكاث I
Pseudocath II,シナトモドキⅡ,Pseudocath II,Pseudocath II,Pseudokath II,Mothodus II,Pseudocath II,Pseudokat II,Псевдокат 2,시나토모도키Ⅱ,速度平衡型切斷蟲Ⅱ,بسيودوكاث II
Pseudocath III,シナトモドキⅢ,Pseudocath III,Pseudocath III,Pseudokath III,Mothodus III,Pseudocath III,Pseudokat III,Псевдокат 3,시나토모도키Ⅲ,速度平衡型切斷蟲Ⅲ,بسيودوكاث III
Mauldrone I,マルドローンⅠ,Mutilogote,Mauldrone I,Schadensdrohn I,Chrysodron I,Mabelha I,Kaleczowad I,Трутень-кувалда 1,말드론Ⅰ,打擊蟲Ⅰ,مولدرون I
Mauldrone II,マルドローンⅡ,Mutilogote II,Mauldrone II,Schadensdrohn II,Chrysodron II,Mabelha II,Kaleczowad II,Трутень-кувалда 2,말드론Ⅱ,打擊蟲Ⅱ,مولدرون II
Mauldrone III,マルドローンⅢ,Mutilogote III,Mauldrone III,Schadensdrohn III,Chrysodron III,Mabelha III,Kaleczowad III,Трутень-кувалда 3,말드론Ⅲ,打擊蟲Ⅲ,مولدرون III
Foebeetle I,ザミールビートルⅠ,Destructoptère,Foebeetle I,Feindkäfer I,Elytron I,Inimisouro I,Wrogożuk I,Врагожук 1,자미르비틀Ⅰ,威力型打擊蟲Ⅰ,فوبيتل I
Foebeetle II,ザミールビートルⅡ,Destructoptère II,Foebeetle II,Feindkäfer II,Elytron II,Inimisouro II,Wrogożuk II,Врагожук 2,자미르비틀Ⅱ,威力型打擊蟲Ⅱ,فوبيتل II
Foebeetle III,ザミールビートルⅢ,Destructoptère III,Foebeetle III,Feindkäfer III,Elytron III,Inimisouro III,Wrogożuk III,Врагожук 3,자미르비틀Ⅲ,威力型打擊蟲Ⅲ,فوبيتل III
Carnage Beetle I,ケーニヒゴアビートルⅠ,Scarnagabée,Carnage Beetle I,Gemetzelkäfer I,Kabuto I,Carnifisouro I,Żuk jatkowy I,Жук-мясник 1,퀘니히고어비틀Ⅰ,威力特化型打擊蟲Ⅰ,كارنغ بيتل I
Carnage Beetle II,ケーニヒゴアビートルⅡ,Scarnagabée II,Carnage Beetle II,Gemetzelkäfer II,Kabuto II,Carnifisouro II,Żuk jatkowy II,Жук-мясник 2,퀘니히고어비틀Ⅱ,威力特化型打擊蟲Ⅱ,كارنغ بيتل II
Carnage Beetle III,ケーニヒゴアビートルⅢ,Scarnagabée III,Carnage Beetle III,Gemetzelkäfer III,Kabuto III,Carnifisouro III,Żuk jatkowy III,Жук-мясник 3,퀘니히고어비틀Ⅲ,威力特化型打擊蟲Ⅲ,كارنغ بيتل III
Bonnetfille I,フィルカーノⅠ,Artillollidé,Bonnetfille I,Schönheitskäfer I,Deltóptero I,Bonnetfille I,Czepecznik I,Боннетфиль 1,필카노Ⅰ,威力平衡型打擊蟲Ⅰ,بونيتفايل I
Bonnetfille II,フィルカーノⅡ,Artillollidé II,Bonnetfille II,Schönheitskäfer II,Deltóptero II,Bonnetfille II,Czepecznik II,Боннетфиль 2,필카노Ⅱ,威力平衡型打擊蟲Ⅱ,بونيتفايل II
Bonnetfille III,フィルカーノⅢ,Artillollidé III,Bonnetfille III,Schönheitskäfer III,Deltóptero III,Bonnetfille III,Czepecznik III,Боннетфиль 3,필카노Ⅲ,威力平衡型打擊蟲Ⅲ,بونيتفايل III
Ladytarge I,ハルキータⅠ,Coccitarge,Ladytarge I,Damenschild I,Carabidios I,Ladyalvo I,Celonka I,Круглощит 1,하르키터Ⅰ,體力型打擊蟲Ⅰ,لايديتارغ I
Ladytarge II,ハルキータⅡ,Coccitarge II,Ladytarge II,Damenschild II,Carabidios II,Ladyalvo II,Celonka II,Круглощит 2,하르키터Ⅱ,體力型打擊蟲Ⅱ,لايديتارغ II
Ladytarge III,ハルキータⅢ,Coccitarge III,Ladytarge III,Damenschild III,Carabidios III,Ladyalvo III,Celonka III,Круглощит 3,하르키터Ⅲ,體力型打擊蟲Ⅲ,لايديتارغ III
Ladypavise I,ドルンキータⅠ,Prothoccinelle,Ladypavise I,Damenpavese I,Gorgoceros I,Ladyscudo I,Pawężyca I,Павеза 1,도룬키터Ⅰ,體力特化型打擊蟲Ⅰ,لايديبافيس I
Ladypavise II,ドルンキータⅡ,Prothoccinelle II,Ladypavise II,Damenpavese II,Gorgoceros II,Ladyscudo II,Pawężyca II,Павеза 2,도룬키터Ⅱ,體力特化型打擊蟲Ⅱ,لايديبافيس II
Ladypavise III,ドルンキータⅢ,Prothoccinelle III,Ladypavise III,Damenpavese III,Gorgoceros III,Ladyscudo III,Pawężyca III,Павеза 3,도룬키터Ⅲ,體力特化型打擊蟲Ⅲ,لايديبافيس III
Arkmaiden I,アルジョアーニャⅠ,Arkmaiden,Arkmaiden I,Marienmagd I,Kroket Rex I,Damarca I,Arczyca I,Аркдева 1,아르조아냐Ⅰ,體力平衡型打擊蟲Ⅰ,أركمايدن I
Arkmaiden II,アルジョアーニャⅡ,Arkmaiden II,Arkmaiden II,Marienmagd II,Kroket Rex II,Damarca II,Arczyca II,Аркдева 2,아르조아냐Ⅱ,體力平衡型打擊蟲Ⅱ,أركمايدن II
Arkmaiden III,アルジョアーニャⅢ,Arkmaiden III,Arkmaiden III,Marienmagd III,Kroket Rex III,Damarca III,Arczyca III,Аркдева 3,아르조아냐Ⅲ,體力平衡型打擊蟲Ⅲ,أركمايدن III
Gullshad I,ガルーヘルⅠ,Gullshad,Gullshad I,Schmetterbelle I,Sílfido I,Saivota I,Oszukanka I,Галлшад 1,가르헬Ⅰ,速度型打擊蟲Ⅰ,غالشاد I
Gullshad II,ガルーヘルⅡ,Gullshad II,Gullshad II,Schmetterbelle II,Sílfido II,Saivota II,Oszukanka II,Галлшад 2,가르헬Ⅱ,速度型打擊蟲Ⅱ,غالشاد II
Gullshad III,ガルーヘルⅢ,Gullshad III,Gullshad III,Schmetterbelle III,Sílfido III,Saivota III,Oszukanka III,Галлшад 3,가르헬Ⅲ,速度型打擊蟲Ⅲ,غالشاد III
Bullshroud I,メイヴァーチルⅠ,Suairophage,Bullshroud I,Schleierflug I,Sílfido Ámbar I,Mantouro I,Całunówka I,Бычье облако 1,메이버칠Ⅰ,速度特化型打擊蟲Ⅰ,بولشراود I
Bullshroud II,メイヴァーチルⅡ,Suairophage II,Bullshroud II,Schleierflug II,Sílfido Ámbar II,Mantouro II,Całunówka II,Бычье облако 2,메이버칠Ⅱ,速度特化型打擊蟲Ⅱ,بولشراود II
Bullshroud III,メイヴァーチルⅢ,Suairophage III,Bullshroud III,Schleierflug III,Sílfido Ámbar III,Mantouro III,Całunówka III,Бычье облако 3,메이버칠Ⅲ,速度特化型打擊蟲Ⅲ,بولشراود III
Whispervesp I,ヴァンリエールⅠ,Aéropoda,Whispervesp I,Flüsterfalter I,Sílfido Zafiro I,Vesmúrio I,Szeptosa I,Оса-шептун 1,반리엘Ⅰ,速度平衡型打擊蟲Ⅰ,ويسبرفيسب I
Whispervesp II,ヴァンリエールⅡ,Aéropoda II,Whispervesp II,Flüsterfalter II,Sílfido Zafiro II,Vesmúrio II,Szeptosa II,Оса-шептун 2,반리엘Ⅱ,速度平衡型打擊蟲Ⅱ,ويسبرفيسب II
Whispervesp III,ヴァンリエールⅢ,Aéropoda III,Whispervesp III,Flüsterfalter III,Sílfido Zafiro III,Vesmúrio III,Szeptosa III,Оса-шептун 3,반리엘Ⅲ,速度平衡型打擊蟲Ⅲ,ويسبرفيسب III
Dragon Soul,ドラゴンソウル,Âme de dragon,Anima di Dragoon,Drachenseele,Alma de dragón,Alma de Dragão,Smocza dusza,Душа дракона,드래곤소울,龍魂蟲,روح التنين
True Dragon Soul,ドラゴンソウル・真,Âme de dragon pure,Anima pura di Dragoon,Wahre Drachenseele,Alma de dragón real,Alma de Dragão Verdad.,Prawdziwa smocza dusza,Душа истинного дракона,드래곤소울-진,龍魂蟲‧真,روح التنين الحقيقية
