base_name_en,type,item1_name,item1_qty,item2_name,item2_qty,item3_name,item3_qty,item4_name,item4_qty
Frost Blaze I,Upgrade,Freezer Sac,3,Fucium Ore,5,Legiana Scale+,5,Legiana Wing,3
Frost Blaze II,Upgrade,Elder Dragon Blood,3,Legiana Claw+,5,Legiana Hide+,3,Wyvern Gem,1
Jagras Blade I,Upgrade,Great Jagras Claw,1,Great Jagras Hide,1,Great Jagras Scale,3,Sharp Claw,1
Jagras Blade II,Upgrade,Coral Bone,2,Great Jagras Claw,2,Great Jagras Mane,2,Tzitzi-Ya-Ku Claw,3
Jagras Blade III,Upgrade,Great Jagras Claw,3,Great Jagras Mane,3,Great Jagras Scale,5,Monster Bone+,3
Jagras Hacker I,Upgrade,Great Jagras Claw+,4,Great Jagras Mane,6,Great Jagras Scale+,6,Piercing Claw,5
Jagras Hacker II,Upgrade,Great Jagras Claw+,6,Jagras Hide+,6,Monster Hardbone,4,Tzitzi-Ya-Ku Claw+,5
Jagras Hacker III,Upgrade,Great Jagras Claw+,8,Great Jagras Hide+,6,Novacrystal,1,Vaal Hazak Talon,2
Girros Blade I,Upgrade,Girros Fang,3,Great Girros Fang,1,Great Girros Scale,3,,
Girros Blade II,Upgrade,Diablos Fang,2,Great Girros Fang,3,Great Girros Hood,2,Paralysis Sac,2
Malady's Kiss I,Create,Carbalite Ore,6,Great Girros Fang+,5,Great Girros Hood+,3,Omniplegia Sac,6
Malady's Kiss I,Upgrade,Girros Scale+,6,Great Girros Fang+,3,Great Girros Scale+,5,Great Girros Tail,2
Malady's Kiss II,Upgrade,Blos Medulla,1,Great Girros Fang+,4,Great Girros Hood+,2,Omniplegia Sac,4
Malady's Kiss III,Upgrade,Bird Wyvern Gem,1,Great Girros Fang+,5,Great Girros Hood+,3,Vaal Hazak Fang+,2
Lava Blaze I,Upgrade,Lavasioth Fang+,2,Lavasioth Fin+,2,Lavasioth Scale+,4,,
Lava Blaze II,Upgrade,Lavasioth Fang+,3,Lavasioth Fin+,3,Teostra Mane,2,Wyvern Gem,1
Blooming Blade I,Upgrade,Poison Sac,1,Pukei-Pukei Quill,2,Pukei-Pukei Scale,3,,
Blooming Blade II,Upgrade,Coral Crystal,3,Pukei-Pukei Sac,2,Pukei-Pukei Shell,3,Pukei-Pukei Tail,1
Blooming Blade III,Upgrade,Monster Bone+,2,Poison Sac,2,Pukei-Pukei Quill,4,Pukei-Pukei Sac,2
Datura Blaze I,Upgrade,Pukei-Pukei Scale+,3,Pukei-Pukei Wing,2,Quality Bone,3,Toxin Sac,2
Datura Blaze II,Upgrade,Monster Hardbone,3,Pukei-Pukei Carapace,5,Pukei-Pukei Wing,3,Toxin Sac,2
Datura Blaze III,Upgrade,Bird Wyvern Gem,1,Pukei-Pukei Sac+,4,Pukei-Pukei Wing,6,Vaal Hazak Wing,2
Flame Blade I,Upgrade,Flame Sac,2,Rathalos Marrow,1,Rathalos Scale,1,Rathalos Webbing,2
Flame Blade II,Upgrade,Inferno Sac,3,Rathalos Plate,1,Rathalos Scale,6,Rathalos Tail,2
Red Wing,Upgrade,Rathalos Carapace,4,Rathalos Medulla,1,Rathalos Scale+,6,Rathalos Wing,2
Blue Wing,Upgrade,Azure Rathalos Carapace,4,Azure Rathalos Scale+,6,Azure Rathalos Wing,3,Wyvern Gem,1
Rathalos Glinsword,Upgrade,Azure Rathalos Scale+,8,Azure Rathalos Tail,3,Rathalos Ruby,1,Teostra Horn+,2
Bone Blade I,Create,Monster Bone S,1,,,,,,
Bone Blade II,Upgrade,Monster Bone S,2,,,,,,
Bone Blade III,Upgrade,Monster Bone M,2,Ancient Bone,1,,,,
Bone Slasher I,Upgrade,Monster Bone L,1,Monster Bone M,5,Boulder Bone,2,,
Bone Slasher II,Upgrade,Monster Bone+,2,Monster Bone L,1,Sturdy Bone,4,,
Bone Slasher III,Upgrade,Monster Keenbone,2,Monster Bone+,2,Quality Bone,2,,
Giant Jawblade I,Create,Monster Hardbone,4,Monster Keenbone,10,Brutal Bone,4,Dragonbone Relic,1
Giant Jawblade I,Upgrade,Monster Hardbone,4,Monster Keenbone,6,Quality Bone,10,,
Giant Jawblade II,Upgrade,Dragonbone Relic,1,Elder Dragon Bone,4,Monster Hardbone,6,Quality Bone,20
Hazak Kys,Upgrade,Deceased Scale,6,Vaal Hazak Fang+,5,Vaal Hazak Membrane,4,Vaal Hazak Talon,4
Leviathan's Fury,Upgrade,Vaal Hazak Gem,1,Vaal Hazak Tail,2,Vaal Hazak Talon,6,Xeno'jiiva Veil,3
Flammenzahn,Upgrade,Anjanath Fang,3,Anjanath Pelt,2,Anjanath Scale,3,Flame Sac,2
Flammenzahn+,Upgrade,Anjanath Fang+,4,Anjanath Plate,1,Anjanath Scale+,5,Inferno Sac,3
Gnashing Flammenzahn,Upgrade,Anjanath Gem,1,Anjanath Nosebone+,2,Anjanath Pelt+,4,Vaal Hazak Fang+,5
Aqua Slasher I,Upgrade,Aqua Sac,1,Boulder Bone,2,Jyuratodus Scale,3,Jyuratodus Shell,1
Aqua Slasher II,Upgrade,Gajau Skin,3,Jyuratodus Fang,2,Jyuratodus Fin,3,Sturdy Bone,5
Aqua Slasher III,Upgrade,Coral Bone,2,Gajau Whisker,3,Jyuratodus Fang,4,Monster Bone+,2
Water Golem I,Upgrade,Gajau Scale,5,Jyuratodus Carapace,2,Jyuratodus Scale+,3,Quality Bone,5
Water Golem II,Upgrade,Grand Gajau Whisker,3,Jyuratodus Fin+,4,Monster Hardbone,3,Torrent Sac,3
Water Golem III,Upgrade,Elder Dragon Bone,4,Jyuratodus Fang+,5,Jyuratodus Fin+,6,Wyvern Gem,1
Carapace Buster I,Upgrade,Barroth Claw,1,Barroth Ridge,2,Barroth Shell,3,,
Carapace Buster II,Upgrade,Barroth Claw,2,Barroth Tail,1,Dragonite Ore,3,Kestodon Shell,3
Carapace Buster III,Upgrade,Barroth Claw,4,Barroth Scalp,2,Diablos Shell,3,Monster Bone+,3
Barroth Shredder I,Upgrade,Barroth Carapace,3,Barroth Claw+,2,Barroth Ridge+,2,Kestodon Carapace,5
Barroth Shredder II,Upgrade,Barroth Carapace,3,Barroth Claw+,4,Diablos Carapace,3,Gastodon Carapace,5
Barroth Shredder III,Upgrade,Barroth Claw+,5,Barroth Ridge+,5,Nergigante Horn+,1,Wyvern Gem,1
Spiked Blade I,Upgrade,Radobaan Scale,4,Sleep Sac,2,Wyvern Bonemass,2,,
Spiked Blade II,Upgrade,Monster Bone+,3,Radobaan Marrow,1,Radobaan Oilshell,2,Wyvern Bonemass,3
Radobaan Slab I,Upgrade,Coma Sac,2,Monster Keenbone,3,Radobaan Carapace,4,Radobaan Oilshell,3
Radobaan Slab II,Upgrade,Coma Sac,3,Monster Hardbone,5,Radobaan Medulla,1,Radobaan Scale+,8
Radobaan Slab III,Upgrade,Coma Sac,4,Elder Dragon Bone,5,Radobaan Carapace,6,Wyvern Gem,1
Dragonbone Cleaver I,Create,Ancient Bone,5,Boulder Bone,5,Coral Bone,5,Warped Bone,5
Dragonbone Cleaver II,Upgrade,Monster Bone L,8,Monster Bone+,6,Sturdy Bone,8,,
Dragonbone Cleaver III,Upgrade,Brutal Bone,4,Dragonbone Relic,2,Elder Dragon Bone,10,Wyvern Gem,1
Thundersword,Upgrade,Kirin Hide,3,Kirin Tail,1,Kirin Thunderhorn,3,Lightcrystal,1
Kirin Thundersword,Upgrade,Dragonvein Crystal,5,Kirin Azure Horn,4,Kirin Hide+,5,Kirin Mane,4
King Thundersword,Upgrade,Kirin Azure Horn,6,Kirin Thundertail,3,Novacrystal,2,Xeno'jiiva Shell,4
Magda Potestas I,Upgrade,Zorah Magdaros Carapace,8,Zorah Magdaros Gem,1,Zorah Magdaros Heat Scale,4,Zorah Magdaros Magma,4
Magda Potestas II,Upgrade,Firecell Stone,3,Xeno'jiiva Shell,4,Zorah Magdaros Pleura,2,Zorah Magdaros Ridge,2
Blacksteel Chopper I,Create,Coral Crystal,10,Dragonvein Crystal,10,Earth Crystal,10,Lightcrystal,1
Blacksteel Chopper II,Upgrade,Carbalite Ore,10,Firecell Stone,1,Fucium Ore,5,Wyvern Gem,1
Icesteel Edge,Upgrade,Daora Claw+,3,Daora Tail,2,Daora Webbing,4,Nergigante Carapace,5
Daora's Decimator,Upgrade,Daora Claw+,4,Daora Gem,1,Daora Horn+,5,Xeno'jiiva Wing,2
Xeno Maliq,Upgrade,Xeno'jiiva Claw,4,Xeno'jiiva Gem,1,Xeno'jiiva Shell,6,Xeno'jiiva Tail,2
Wyvern Jawblade,Create,Barroth Coin,4,Hunter King Coin,5,Novacrystal,1,Rathalos Coin,4
Great Wyvern Jawblade,Upgrade,Ace Hunter Coin,5,Brute Coin,4,Flying Coin,4,Wyvern Gem,2
Iron Katana I,Create,Iron Ore,1,,,,,,
Iron Katana II,Upgrade,Iron Ore,2,,,,,,
Iron Katana III,Upgrade,Earth Crystal,2,Iron Ore,5,Machalite Ore,2,,
Iron Grace I,Upgrade,Dragonite Ore,2,Machalite Ore,5,Monster Bone M,2,,
Iron Grace II,Upgrade,Coral Crystal,2,Dragonite Ore,5,Machalite Ore,10,Monster Bone+,2
Iron Grace III,Upgrade,Carbalite Ore,8,Dragonite Ore,5,Dragonvein Crystal,2,,
Iron Gospel I,Upgrade,Carbalite Ore,5,Dragonite Ore,10,Dragonvein Crystal,3,Fucium Ore,8
Iron Gospel II,Upgrade,Carbalite Ore,20,Elder Dragon Blood,2,Firecell Stone,1,Fucium Ore,13
Nergal Reaver,Upgrade,Nergigante Carapace,2,Nergigante Regrowth Plate,4,Nergigante Tail,2,Nergigante Talon,3
Extermination's Edge,Upgrade,Nergigante Gem,1,Nergigante Horn+,5,Nergigante Talon,5,Xeno'jiiva Horn,2
Flickering Glow I,Upgrade,Tzitzi-Ya-Ku Claw,2,Tzitzi-Ya-Ku Photophore,1,Tzitzi-Ya-Ku Scale,3,,
Flickering Glow II,Upgrade,Legiana Tail Webbing,2,Sharp Claw,3,Tzitzi-Ya-Ku Claw,3,Tzitzi-Ya-Ku Photophore,2
Dazzling Flash I,Upgrade,Lightcrystal,1,Tzitzi-Ya-Ku Claw+,3,Tzitzi-Ya-Ku Photophore+,1,Tzitzi-Ya-Ku Scale+,5
Dazzling Flash II,Upgrade,Legiana Wing,2,Piercing Claw,5,Tzitzi-Ya-Ku Claw+,4,Tzitzi-Ya-Ku Photophore+,2
Dazzling Flash III,Upgrade,Bird Wyvern Gem,1,Daora Webbing,2,Tzitzi-Ya-Ku Claw+,5,Tzitzi-Ya-Ku Photophore+,3
First Dance I,Upgrade,Kulu-Ya-Ku Beak,1,Kulu-Ya-Ku Hide,2,Kulu-Ya-Ku Scale,3,,
First Dance II,Upgrade,Boulder Bone,3,Kulu-Ya-Ku Beak,2,Kulu-Ya-Ku Plume,2,Radobaan Scale,3
First Dance III,Upgrade,Kulu-Ya-Ku Beak,2,Kulu-Ya-Ku Plume,4,Odogaron Claw,2,Warped Bone,3
Last Dance I,Upgrade,Kulu-Ya-Ku Beak+,3,Kulu-Ya-Ku Hide+,4,Kulu-Ya-Ku Scale+,6,,
Last Dance II,Upgrade,Brutal Bone,3,Kulu-Ya-Ku Beak+,4,Kulu-Ya-Ku Plume+,3,Odogaron Claw+,2
Last Dance III,Upgrade,Bird Wyvern Gem,1,Kulu-Ya-Ku Beak+,5,Kulu-Ya-Ku Plume+,4,Nergigante Talon,2
Brazenridge I,Upgrade,Uragaan Carapace,4,Uragaan Jaw,1,Uragaan Marrow,1,Uragaan Scale+,6
Brazenridge II,Upgrade,Teostra Carapace,4,Uragaan Jaw,2,Uragaan Ruby,1,Uragaan Scute,4
"Wyvern Blade ""Leaf""",Create,Machalite Ore,10,Poison Sac,4,Rathian Plate,1,Rathian Shell,5
"Wyvern Blade ""Leaf""",Upgrade,Rathian Scale,5,Rathian Shell,4,Rathian Spike,3,,
"Wyvern Blade ""Verde""",Upgrade,Rathian Carapace,4,Rathian Plate,1,Rathian Scale+,5,Rathian Spike+,3
"Wyvern Blade ""Holly""",Upgrade,Elder Dragon Blood,3,Pink Rathian Scale+,6,Rathian Ruby,1,Rathian Spike+,5
"Wyvern Blade ""Fall""",Upgrade,Flame Sac,2,Rath Wingtalon,3,Rathalos Marrow,1,Rathalos Shell,2
"Wyvern Blade ""Blood""",Upgrade,Rathalos Carapace,4,Rathalos Plate,1,Rathalos Scale+,6,Rathalos Wing,2
"Wyvern Blade ""Azure""",Upgrade,Azure Rathalos Carapace,4,Azure Rathalos Scale+,6,Azure Rathalos Wing,3,Rathalos Medulla,1
"Wyvern Blade ""Indigo""",Upgrade,Azure Rathalos Scale+,8,Azure Rathalos Tail,3,Rathalos Ruby,1,Teostra Horn+,2
Bone Shotel I,Create,Monster Bone S,1,,,,,,
Bone Shotel II,Upgrade,Monster Bone S,2,,,,,,
Bone Shotel III,Upgrade,Ancient Bone,1,Monster Bone M,2,,,,
Hard Bone Shotel I,Upgrade,Boulder Bone,2,Monster Bone L,1,Monster Bone M,5,,
Hard Bone Shotel II,Upgrade,Monster Bone L,1,Monster Bone+,2,Sturdy Bone,4,,
Hard Bone Shotel III,Upgrade,Monster Bone+,2,Monster Keenbone,2,Quality Bone,2,,
Bone Reaper I,Upgrade,Monster Hardbone,4,Monster Keenbone,6,Quality Bone,10,,
Bone Reaper II,Upgrade,Dragonbone Relic,1,Elder Dragon Bone,4,Monster Hardbone,6,Quality Bone,20
Rookslayer Long Sword,Upgrade,Bazelgeuse Fuse,4,Bazelgeuse Scale+,5,Bazelgeuse Talon,3,Firecell Stone,1
Bazel Varga Rookslayer,Upgrade,Bazelgeuse Gem,1,Bazelgeuse Talon,4,Bazelgeuse Wing,4,Xeno'jiiva Wing,3
Blazing Shotel I,Upgrade,Anjanath Fang,2,Anjanath Scale,3,Flame Sac,1,,
Blazing Shotel II,Upgrade,Anjanath Fang,4,Anjanath Nosebone,1,Anjanath Tail,1,Rathalos Marrow,1
Anja Scimitar I,Upgrade,Anjanath Fang+,4,Anjanath Plate,1,Anjanath Scale+,5,Inferno Sac,3
Anja Scimitar II,Upgrade,Anjanath Fang+,5,Anjanath Pelt+,4,Firecell Stone,1,Rathalos Medulla,2
Anja Scimitar III,Upgrade,Anjanath Fang+,6,Anjanath Gem,1,Anjanath Nosebone+,2,Teostra Mane,2
Jyura Shotel I,Upgrade,Aqua Sac,1,Jyuratodus Fin,1,Jyuratodus Scale,3,Jyuratodus Shell,1
Jyura Shotel II,Upgrade,Gajau Skin,3,Great Girros Hide,2,Jyuratodus Fin,3,Jyuratodus Shell,3
Jyura Shotel III,Upgrade,Gajau Whisker,3,Jyuratodus Fang,4,Jyuratodus Shell,3,Monster Bone+,2
Dipterus I,Create,Carbalite Ore,6,Jyuratodus Carapace,3,Jyuratodus Fin+,3,Jyuratodus Scale+,6
Dipterus I,Upgrade,Gajau Scale,5,Jyuratodus Carapace,2,Jyuratodus Fin+,2,Jyuratodus Scale+,3
Dipterus II,Upgrade,Grand Gajau Whisker,3,Jyuratodus Fin+,4,Monster Hardbone,3,Torrent Sac,3
Dipterus III,Upgrade,Elder Dragon Bone,2,Jyuratodus Fang+,5,Jyuratodus Fin+,6,Wyvern Gem,1
Hazak Grosser I,Upgrade,Deceased Scale,6,Vaal Hazak Fang+,5,Vaal Hazak Membrane,4,Vaal Hazak Talon,4
Hazak Grosser II,Upgrade,Vaal Hazak Gem,1,Vaal Hazak Tail,2,Vaal Hazak Talon,6,Xeno'jiiva Veil,3
Pulsar Shotel I,Upgrade,Tobi-Kadachi Claw,1,Tobi-Kadachi Pelt,2,Tobi-Kadachi Scale,3,,
Pulsar Shotel II,Upgrade,Coral Crystal,3,Electro Sac,2,Tobi-Kadachi Claw,3,Tobi-Kadachi Electrode,2
Pulsar Shotel III,Upgrade,Monster Bone+,2,Tobi-Kadachi Electrode,2,Tobi-Kadachi Membrane,2,Warped Bone,2
Kadachi Fang I,Upgrade,Dragonvein Crystal,3,Tobi-Kadachi Claw+,3,Tobi-Kadachi Pelt+,3,Tobi-Kadachi Scale+,4
Kadachi Fang II,Upgrade,Majestic Horn,2,Thunder Sac,3,Tobi-Kadachi Claw+,4,Tobi-Kadachi Electrode+,2
Kadachi Fang III,Upgrade,Nergigante Talon,2,Tobi-Kadachi Claw+,6,Tobi-Kadachi Electrode+,4,Wyvern Gem,1
Glacial Shotel I,Upgrade,Frost Sac,2,Legiana Claw,3,Legiana Scale,4,,
Glacial Shotel II,Upgrade,Legiana Claw,4,Legiana Plate,1,Legiana Tail Webbing,3,Paolumu Wing,4
Stealer,Upgrade,Freezer Sac,2,Legiana Claw+,3,Legiana Scale+,5,Legiana Wing,3
Legia Stealer,Upgrade,Daora Claw+,2,Legiana Claw+,5,Legiana Gem,1,Legiana Hide+,3
Dark Shotel I,Upgrade,Hornetaur Shell,3,Hornetaur Wing,2,Monster Fluid,2,,
Dark Shotel II,Upgrade,Hornetaur Head,2,Hornetaur Shell,5,Hornetaur Wing,4,Odogaron Fang,2
Dark Scimitar I,Upgrade,Dragonvein Crystal,3,Hornetaur Carapace,5,Hornetaur Innerwing,4,Monster Broth,2
Dark Scimitar II,Upgrade,Azure Rathalos Wing,2,Hornetaur Carapace,5,Hornetaur Innerwing,4,Novacrystal,1
Dark Scimitar III,Upgrade,Hornetaur Carapace,8,Hornetaur Innerwing,6,Vaal Hazak Fang+,3,Wyvern Gem,1
Dragonbone Stabber I,Create,Ancient Bone,5,Boulder Bone,5,Coral Bone,5,Warped Bone,5
Dragonbone Stabber II,Upgrade,Monster Bone L,8,Monster Bone+,6,Sturdy Bone,8,,
Dragonbone Stabber III,Upgrade,Brutal Bone,4,Dragonbone Relic,2,Elder Dragon Bone,10,Wyvern Gem,1
Magda Facultas I,Upgrade,Zorah Magdaros Carapace,8,Zorah Magdaros Gem,1,Zorah Magdaros Heat Scale,4,Zorah Magdaros Magma,4
Magda Facultas II,Upgrade,Firecell Stone,3,Xeno'jiiva Shell,4,Zorah Magdaros Pleura,2,Zorah Magdaros Ridge,2
Blacksteel Long Sword I,Create,Coral Crystal,10,Dragonvein Crystal,10,Earth Crystal,10,Lightcrystal,1
Blacksteel Long Sword II,Upgrade,Carbalite Ore,10,Firecell Stone,1,Fucium Ore,5,Wyvern Gem,1
Imperial Saber,Upgrade,Teostra Carapace,5,Teostra Claw+,2,Teostra Mane,2,Teostra Powder,4
Imperial Shimmer,Upgrade,Teostra Claw+,2,Teostra Gem,1,Teostra Horn+,5,Xeno'jiiva Soulscale,5
Xeno Cypher,Upgrade,Xeno'jiiva Claw,4,Xeno'jiiva Gem,1,Xeno'jiiva Shell,6,Xeno'jiiva Tail,2
Supremacy Blade,Create,Hunter King Coin,5,Novacrystal,1,Rathalos Coin,4,,
Divine Slasher,Upgrade,Ace Hunter Coin,5,Brute Coin,4,Flying Coin,4,Wyvern Gem,2
Azure Star Blade,Create,Azure Star Shard,3,Great Jagras Claw,4,Lightcrystal,1,Monster Bone M,4
Hunter's Knife I,Create,Iron Ore,1,,,,,,
Hunter's Knife II,Upgrade,Iron Ore,2,,,,,,
Hunter's Knife III,Upgrade,Earth Crystal,2,Iron Ore,5,Machalite Ore,2,,
Steel Knife I,Upgrade,Dragonite Ore,2,Machalite Ore,5,Monster Bone M,2,,
Steel Knife II,Upgrade,Coral Crystal,2,Dragonite Ore,5,Machalite Ore,10,Monster Bone+,2
Steel Knife III,Upgrade,Carbalite Ore,8,Dragonite Ore,5,Dragonvein Crystal,2,,
Chrome Slicer I,Upgrade,Carbalite Ore,5,Dragonite Ore,10,Dragonvein Crystal,3,Fucium Ore,8
Chrome Slicer II,Upgrade,Carbalite Ore,20,Elder Dragon Blood,2,Firecell Stone,1,Fucium Ore,13
Nergal Jack,Upgrade,Nergigante Carapace,2,Nergigante Regrowth Plate,4,Nergigante Tail,2,Nergigante Talon,3
Eradication Vanguard,Upgrade,Nergigante Gem,1,Nergigante Horn+,5,Nergigante Talon,5,Xeno'jiiva Horn,2
Flame Knife I,Upgrade,Flame Sac,2,Rathalos Marrow,1,Rathalos Scale,1,Rathalos Webbing,2
Flame Knife II,Upgrade,Inferno Sac,3,Rathalos Plate,1,Rathalos Scale,6,Rathalos Tail,2
Heat Edge,Upgrade,Rathalos Carapace,4,Rathalos Medulla,1,Rathalos Scale+,6,Rathalos Wing,2
Corona,Upgrade,Azure Rathalos Carapace,4,Azure Rathalos Scale+,6,Azure Rathalos Wing,3,Rathalos Ruby,1
Heavy Bang,Upgrade,Commendation,1,Diablos Fang,2,Odogaron Claw,2,Rathalos Tail,1
Heavy Bang+,Upgrade,Bird Wyvern Gem,1,Carbalite Ore,10,Odogaron Claw+,3,Odogaron Tail,2
Master Bang,Upgrade,Bazelgeuse Talon,3,Daora Claw+,3,High Commendation,1,Wyvern Gem,1
Aqua Messer I,Upgrade,Aqua Sac,1,Earth Crystal,3,Jyuratodus Scale,3,Jyuratodus Shell,1
Aqua Messer II,Upgrade,Dragonite Ore,5,Gajau Skin,3,Jyuratodus Fang,2,Jyuratodus Fin,3
Aqua Messer III,Upgrade,Coral Crystal,3,Gajau Whisker,3,Jyuratodus Fang,4,Monster Bone+,2
Rogue Wave I,Upgrade,Carbalite Ore,5,Gajau Scale,5,Jyuratodus Carapace,2,Jyuratodus Scale+,3
Rogue Wave II,Upgrade,Fucium Ore,5,Grand Gajau Whisker,3,Jyuratodus Fin+,4,Torrent Sac,3
Rogue Wave III,Upgrade,Elder Dragon Blood,3,Jyuratodus Fang+,5,Jyuratodus Fin+,6,Wyvern Gem,1
Glacial Grace I,Upgrade,Frost Sac,2,Legiana Claw,3,Legiana Scale,4,,
Glacial Grace II,Upgrade,Legiana Claw,4,Legiana Plate,1,Legiana Tail Webbing,3,Paolumu Wing,4
Rimespire,Upgrade,Freezer Sac,2,Legiana Claw+,3,Legiana Scale+,5,Legiana Wing,3
Legia Rimespire,Upgrade,Daora Claw+,2,Legiana Claw+,5,Legiana Gem,1,Legiana Hide+,3
Princess Rapier,Create,Machalite Ore,10,Poison Sac,3,Rathian Plate,1,Rathian Shell,5
Princess Rapier,Upgrade,Rathian Scale,5,Rathian Shell,4,Rathian Spike,3,,
Queen Rapier,Upgrade,Rathian Carapace,4,Rathian Plate,1,Rathian Scale+,5,Rathian Spike+,3
Queen Rose,Upgrade,Pink Rathian Carapace,4,Pink Rathian Scale+,5,Rathian Spike+,4,Wyvern Gem,1
Royal Rose,Upgrade,Elder Dragon Blood,3,Pink Rathian Scale+,6,Rathian Ruby,1,Rathian Spike+,5
Lumu Knife I,Upgrade,Paolumu Pelt,2,Paolumu Scale,3,Paolumu Shell,1,,
Lumu Knife II,Upgrade,Diablos Shell,3,Paolumu Shell,3,Paolumu Webbing,2,Shamos Scale,5
Lumu Tabar I,Upgrade,Paolumu Carapace+,3,Paolumu Pelt+,4,Paolumu Scale+,5,Shamos Scale+,5
Lumu Tabar II,Upgrade,Blos Medulla,2,Novacrystal,1,Paolumu Carapace+,4,Paolumu Wing,3
Lumu Tabar III,Upgrade,Elder Dragon Bone,3,Paolumu Carapace+,5,Paolumu Scale+,7,Wyvern Gem,1
Blooming Knife I,Upgrade,Poison Sac,1,Pukei-Pukei Quill,2,Pukei-Pukei Scale,3,,
Blooming Knife II,Upgrade,Coral Crystal,3,Pukei-Pukei Sac,2,Pukei-Pukei Shell,3,Pukei-Pukei Tail,1
Blooming Knife III,Upgrade,Monster Bone+,2,Poison Sac,2,Pukei-Pukei Quill,4,Pukei-Pukei Sac,2
Datura Blossom I,Upgrade,Pukei-Pukei Scale+,3,Pukei-Pukei Wing,2,Quality Bone,3,Toxin Sac,2
Datura Blossom II,Upgrade,Monster Hardbone,3,Pukei-Pukei Carapace,5,Pukei-Pukei Wing,3,Toxin Sac,2
Datura Blossom III,Upgrade,Bird Wyvern Gem,1,Pukei-Pukei Sac+,4,Pukei-Pukei Wing,6,Vaal Hazak Wing,2
Girros Knife I,Upgrade,Girros Fang,3,Great Girros Fang,1,Great Girros Scale,3,,
Girros Knife II,Upgrade,Diablos Fang,2,Great Girros Fang,3,Great Girros Hood,2,Paralysis Sac,2
Malady's Tabar I,Upgrade,Girros Scale+,6,Great Girros Fang+,3,Great Girros Scale+,5,Great Girros Tail,2
Malady's Tabar II,Upgrade,Blos Medulla,1,Great Girros Fang+,4,Great Girros Hood+,2,Omniplegia Sac,4
Malady's Tabar III,Upgrade,Bird Wyvern Gem,1,Great Girros Fang+,5,Great Girros Hood+,3,Vaal Hazak Fang+,2
Bone Kukri I,Create,Monster Bone S,1,,,,,,
Bone Kukri II,Upgrade,Monster Bone S,2,,,,,,
Bone Kukri III,Upgrade,Ancient Bone,1,Monster Bone M,2,,,,
Chief Kukri I,Upgrade,Boulder Bone,2,Monster Bone L,1,Monster Bone M,5,,
Chief Kukri II,Upgrade,Monster Bone L,1,Monster Bone+,2,Sturdy Bone,4,,
Chief Kukri III,Upgrade,Monster Bone+,2,Monster Keenbone,2,Quality Bone,2,,
Grand Barong I,Upgrade,Monster Hardbone,4,Monster Keenbone,6,Quality Bone,10,,
Grand Barong II,Upgrade,Dragonbone Relic,1,Elder Dragon Bone,4,Monster Hardbone,6,Quality Bone,20
Spiked Edge I,Upgrade,Radobaan Scale,4,Sleep Sac,2,Wyvern Bonemass,2,,
Spiked Edge II,Upgrade,Monster Bone+,3,Radobaan Marrow,1,Radobaan Oilshell,2,Wyvern Bonemass,3
Baan Claw I,Upgrade,Coma Sac,2,Monster Keenbone,3,Radobaan Carapace,4,Radobaan Oilshell,3
Baan Claw II,Upgrade,Coma Sac,3,Monster Hardbone,5,Radobaan Medulla,1,Radobaan Scale+,8
