base_name_en,item1_name,item1_qty,item2_name,item2_qty,item3_name,item3_qty,item4_name,item4_qty
Elscarad III,Elder Spiritvein Bone,2,Tempered Green Scale,1,Tempered Pink Scale,1,,
Gleambeetle I Velox,Monster Toughbone,2,Thick Bone,3,Deadly Poison Sac,2,,
Gleambeetle II Velox,Monster Slogbone,2,Frozen Bone,1,Rathalos Shard,1,,
Gleambeetle III Velox,Pure Dragon Blood,2,Monster Solidbone,2,Azure Rathalos Shard,1,,
Gleambeetle I Medis,Monster Toughbone,2,Thick Bone,3,Conflagrant Sac,2,,
Gleambeetle II Medis,Monster Slogbone,2,Frozen Bone,1,Uragaan Shard,1,,
Gleambeetle III Medis,Pure Dragon Blood,2,Monster Solidbone,2,Black Diablos Cortex,1,,
Ladytower I Forz,Monster Toughbone,2,Thick Bone,3,Ultraplegia Sac,2,,
Ladytower II Forz,Monster Slogbone,2,Frozen Bone,1,Diablos Cortex,1,,
Ladytower III Forz,Pure Dragon Blood,2,Monster Solidbone,2,Dragonbone Artifact,1,,
Ladytower I Velox,Monster Toughbone,2,Thick Bone,3,Conflagrant Sac,2,,
Ladytower II Velox,Monster Slogbone,2,Frozen Bone,1,Lavasioth Shard,1,,
Ladytower III Velox,Pure Dragon Blood,2,Monster Solidbone,2,Hellfire Shard,1,,
Valorwing I Forz,Monster Toughbone,2,Thick Bone,3,Cryo Sac,1,,
Valorwing II Forz,Monster Slogbone,2,Frozen Bone,1,Purecrystal,1,,
Valorwing III Forz,Pure Dragon Blood,2,Monster Solidbone,2,Kirin Finehide,1,,
Valorwing I Medis,Monster Toughbone,2,Thick Bone,3,Conflagrant Sac,2,,
Valorwing II Medis,Monster Slogbone,2,Frozen Bone,1,Paolumu Thickfur,1,,
Valorwing III Medis,Pure Dragon Blood,2,Monster Solidbone,2,Daora Shard,1,,
Arginesse I,Silver Rathalos Shard,1,Woodland Greatbone,1,Wasteland Cragbone,1,,
Arginesse II,Coral Crimsonbone,1,Effluvial Frenzybone,1,Spiritvein Solidbone,2,,
Arginesse III,Elder Spiritvein Bone,2,Tempered Red Scale,1,Tempered Azure Scale,1,,
