base_name_en,weapon_type,type,item1_name,item1_qty,item2_name,item2_qty,item3_name,item3_qty,item4_name,item4_qty
Bone Slasher III,great-sword,Upgrade,Monster Keenbone,2,Monster Bone+,2,Quality Bone,2,,
Giant Jawblade I,great-sword,Create,Monster Hardbone,4,Monster Keenbone,10,Brutal Bone,4,Dragonbone Relic,1
Giant Jawblade I,great-sword,Upgrade,Monster Hardbone,4,Monster Keenbone,6,Quality Bone,10,,
Giant Jawblade II,great-sword,Upgrade,Elder Dragon Bone,4,Monster Hardbone,6,Quality Bone,20,Dragonbone Relic,1
Ogre's Jaw I,great-sword,Create,Thick Bone,6,Quality Bone,8,Monster Toughbone,4,Dragonbone Artifact,1
Ogre's Jaw I,great-sword,Upgrade,Thick Bone,2,Quality Bone,4,Monster Hardbone,4,Frozen Bone,1
Ogre's Jaw II,great-sword,Upgrade,Monster Solidbone,2,Monster Slogbone,3,Thick Bone,4,Monster Essence,2
Ogre's Jaw III,great-sword,Upgrade,Large Elder Dragon Bone,3,Monster Solidbone,4,Thick Bone,6,Dragonbone Artifact,1
Icewing,great-sword,Upgrade,Crystal Shard,4,Velkhana Hardclaw,2,Velkhana Lash,2,Purecrystal,1
Winged Seraphyd,great-sword,Upgrade,Shara Ishvalda Tenderclaw,3,Velkhana Crownhorn,4,Velkhana Hardclaw,4,Velkhana Crystal,1
Tiger Jawblade,great-sword,Upgrade,Tigrex Hardclaw,3,Tigrex Shard,4,Monster Slogbone,3,Thick Bone,5
Tiger Jawblade+,great-sword,Upgrade,Blackcurl Stouthorn,1,Tigrex Hardfang,3,Tigrex Lash,2,Tigrex Mantle,1
Tigrex Great Sword,great-sword,Upgrade,Daora Hardclaw,2,Tigrex Hardfang,2,Tigrex Cortex,4,Pure Dragon Blood,5
Accursed Blade,great-sword,Upgrade,Brute Tigrex Hardclaw,3,Brute Tigrex Shard,5,Brute Tigrex Hardfang,2,Large Wyvern Gem,1
Wildbite,great-sword,Upgrade,Tempered Ebonjaw,5,Brute Tigrex Hardclaw,4,Brute Tigrex Hardfang,3,Tigrex Mantle,1
Hazak Kys,great-sword,Upgrade,Vaal Hazak Talon,4,Vaal Hazak Fang+,5,Deceased Scale,6,Vaal Hazak Membrane,4
Leviathan's Fury,great-sword,Upgrade,Xeno'jiiva Veil,3,Vaal Hazak Talon,6,Vaal Hazak Tail,2,Vaal Hazak Gem,1
Monstrous Madness,great-sword,Upgrade,Vaal Hazak Hardclaw,3,Shadowpierce Fang,2,Deceased Shard,5,Deathweaver Membrane,3
Don Monstro,great-sword,Upgrade,Shara Ishvalda Tenderclaw,2,Vaal Hazak Hardclaw,5,Vaal Hazak Flail,2,Large Elder Dragon Gem,1
Flammenzahn,great-sword,Upgrade,Anjanath Fang,3,Anjanath Scale,3,Anjanath Pelt,2,Flame Sac,2
Flammenzahn+,great-sword,Upgrade,Anjanath Fang+,4,Anjanath Scale+,5,Inferno Sac,3,Anjanath Plate,1
Gnashing Flammenzahn,great-sword,Upgrade,Vaal Hazak Fang+,5,Anjanath Pelt+,4,Anjanath Nosebone+,2,Anjanath Gem,1
Gnashing Flammenzahn+,great-sword,Create,Anjanath Hardfang,2,Anjanath Lash,2,Anjanath Shard,6,Anjanath Mantle,1
Gnashing Flammenzahn+,great-sword,Upgrade,Anjanath Hardfang,1,Anjanath Shard,2,Conflagrant Sac,1,Eltalite Ore,3
Lohenzahn,great-sword,Upgrade,Azure Rathalos Cortex,2,Anjanath Fur,3,Heavy Anjanath Nosebone,2,Anjanath Lash,1
Donnerzahn,great-sword,Upgrade,Fulgur Anjanath Hardfang,1,Fulgur Anjanath Shard,2,Monster Solidbone,3,Meldspar Ore,2
Donnerzahn+,great-sword,Upgrade,Fulgur Anjanath Thickfur,3,Heavy Fulgur Anjanath Nosebone,2,Fulgur Anjanath Lash,1,Lightning Sac,3
Fulguration's Edge,great-sword,Upgrade,Kirin Silvermane,2,Fulgur Anjanath Hardfang,3,Fulgur Anjanath Thickfur,5,Fulgur Anjanath Mantle,1
Aqua Slasher I,great-sword,Upgrade,Boulder Bone,2,Jyuratodus Shell,1,Jyuratodus Scale,3,Aqua Sac,1
Aqua Slasher II,great-sword,Upgrade,Sturdy Bone,5,Jyuratodus Fin,3,Jyuratodus Fang,2,Gajau Skin,3
Aqua Slasher III,great-sword,Upgrade,Monster Bone+,2,Jyuratodus Fang,4,Coral Bone,2,Gajau Whisker,3
Water Golem I,great-sword,Create,Monster Keenbone,5,Jyuratodus Fin+,3,Torrent Sac,2,Wyvern Gem,1
Water Golem I,great-sword,Upgrade,Quality Bone,5,Jyuratodus Carapace,2,Jyuratodus Scale+,3,Gajau Scale,5
Water Golem II,great-sword,Upgrade,Monster Hardbone,3,Jyuratodus Fin+,4,Torrent Sac,3,Grand Gajau Whisker,3
Water Golem III,great-sword,Upgrade,Elder Dragon Bone,4,Jyuratodus Fin+,6,Jyuratodus Fang+,5,Wyvern Gem,1
Water Golem IV,great-sword,Upgrade,Jyuratodus Grandfin,1,Jyuratodus Hardfang,1,Jyuratodus Shard,3,Gajau Thickhide,2
Laguna Golem I,great-sword,Upgrade,Coral Pukei-Pukei Shard,3,Coral Pukei-Pukei Fellwing,2,Flood Sac,2,Bathycite Ore,2
Laguna Golem II,great-sword,Upgrade,Acidic Glavenus Hardfang,2,Monster Solidbone,3,Large Coral Pukei-Pukei Sac,1,Coral Pukei-Pukei Lash,1
Beo Slasher I,great-sword,Create,Beotodus Grandfin,2,Beotodus Hardhorn,2,Beotodus Shard,6,Frozen Bone,3
Beo Slasher I,great-sword,Upgrade,Beotodus Grandfin,1,Beotodus Hardhorn,1,Beotodus Shard,3,Frozen Bone,1
Beo Slasher II,great-sword,Upgrade,Rimed Hide,2,Beotodus Grandfin,2,Cryo Sac,2,Large Wyvern Gem,1
Carapace Buster I,great-sword,Upgrade,Barroth Claw,1,Barroth Shell,3,Barroth Ridge,2,,
Carapace Buster II,great-sword,Upgrade,Dragonite Ore,3,Barroth Claw,2,Barroth Tail,1,Kestodon Shell,3
Carapace Buster III,great-sword,Upgrade,Diablos Shell,3,Barroth Claw,4,Barroth Scalp,2,Monster Bone+,3
Barroth Shredder I,great-sword,Upgrade,Barroth Claw+,2,Barroth Carapace,3,Barroth Ridge+,2,Kestodon Carapace,5
Barroth Shredder II,great-sword,Upgrade,Diablos Carapace,3,Barroth Claw+,4,Barroth Carapace,3,Gastodon Carapace,5
Barroth Shredder III,great-sword,Upgrade,Nergigante Horn+,1,Barroth Claw+,5,Barroth Ridge+,5,Wyvern Gem,1
Barroth Greatedge I,great-sword,Create,Barroth Hardclaw,2,Barroth Crown,2,Barroth Chine,4,Large Wyvern Gem,1
Barroth Greatedge I,great-sword,Upgrade,Barroth Hardclaw,1,Barroth Cortex,2,Barroth Chine,2,Kestodon Husk,2
Barroth Greatedge II,great-sword,Upgrade,Diablos Cortex,2,Barroth Hardclaw,2,Barroth Crown,1,Monster Slogbone,3
Acid Shredder I,great-sword,Upgrade,Acidic Glavenus Hardfang,2,Acidic Glavenus Spineshell,2,Acidic Glavenus Tailedge,2,Honed Acidcryst,4
Acid Shredder II,great-sword,Upgrade,Vaal Hazak Hardclaw,2,Acidic Glavenus Hardfang,4,Acidic Glavenus Spineshell,3,Glavenus Mantle,1
Spiked Blade I,great-sword,Upgrade,Wyvern Bonemass,2,Radobaan Scale,4,Sleep Sac,2,,
Spiked Blade II,great-sword,Upgrade,Monster Bone+,3,Wyvern Bonemass,3,Radobaan Oilshell,2,Radobaan Marrow,1
Radobaan Slab I,great-sword,Create,Radobaan Shard,3,Torpor Sac,2,Radobaan Carapace,4,Dragonbone Relic,1
Radobaan Slab I,great-sword,Upgrade,Radobaan Carapace,4,Radobaan Oilshell,3,Coma Sac,2,Monster Keenbone,3
Radobaan Slab II,great-sword,Upgrade,Monster Hardbone,5,Radobaan Scale+,8,Coma Sac,3,Radobaan Medulla,1
Radobaan Slab III,great-sword,Upgrade,Elder Dragon Bone,5,Radobaan Carapace,6,Coma Sac,4,Wyvern Gem,1
Radobaan Grindblade I,great-sword,Upgrade,Radobaan Cortex,2,Radobaan Shard,2,Torpor Sac,1,Monster Toughbone,3
Radobaan Grindblade II,great-sword,Upgrade,Monster Solidbone,3,Large Wyvern Bonemass,3,Radobaan Oilshell+,2,Thick Bone,5
Dios Blade,great-sword,Upgrade,Brachydios Crown,2,Brachydios Cortex,4,Glowing Slime,3,Meldspar Ore,3
Brach Attack,great-sword,Upgrade,Distilled Blast Fluid,3,Brachydios Crown,3,Fine Brachydios Ebonshell,4,Brachydios Pallium,1
Dragonbone Cleaver I,great-sword,Create,Warped Bone,5,Coral Bone,5,Boulder Bone,5,Ancient Bone,5
Dragonbone Cleaver II,great-sword,Upgrade,Monster Bone+,6,Monster Bone L,8,Sturdy Bone,8,,
Dragonbone Cleaver III,great-sword,Upgrade,Elder Dragon Bone,10,Brutal Bone,4,Dragonbone Relic,2,Wyvern Gem,1
Dragonseal Sword I,great-sword,Upgrade,Monster Solidbone,3,Monster Slogbone,4,Thick Bone,6,Dragonbone Artifact,1
Dragonseal Sword II,great-sword,Upgrade,Large Elder Dragon Bone,6,Monster Solidbone,4,Lavasioth Grandfin,2,Large Wyvern Gem,1
Immovable Dharma,great-sword,Upgrade,Shara Ishvalda Tenderclaw,4,Shara Ishvalda Tenderscale,6,Shara Ishvalda Tenderplate,2,Shara Ishvalda Gem,1
Thundersword,great-sword,Upgrade,Kirin Thunderhorn,3,Kirin Hide,3,Kirin Tail,1,Lightcrystal,1
Kirin Thundersword,great-sword,Upgrade,Kirin Azure Horn,4,Kirin Hide+,5,Kirin Mane,4,Dragonvein Crystal,5
King Thundersword,great-sword,Upgrade,Xeno'jiiva Shell,4,Kirin Azure Horn,6,Kirin Thundertail,3,Novacrystal,2
Emperor Thundersword,great-sword,Upgrade,Kirin Azure Horn+,3,Kirin Finehide,4,Kirin Silvermane,3,Purecrystal,1
Magda Potestas I,great-sword,Upgrade,Zorah Magdaros Heat Scale,4,Zorah Magdaros Carapace,8,Zorah Magdaros Magma,4,Zorah Magdaros Gem,1
Magda Potestas II,great-sword,Upgrade,Xeno'jiiva Shell,4,Zorah Magdaros Ridge,2,Zorah Magdaros Pleura,2,Firecell Stone,3
Magdaros Volcanblade,great-sword,Upgrade,Elder Dragonvein Bone,3,Dragonvein Solidbone,5,Heavy Dragonvein Bone,6,Large Elder Dragon Gem,1
Blacksteel Chopper I,great-sword,Create,Dragonvein Crystal,10,Earth Crystal,10,Coral Crystal,10,Lightcrystal,1
Blacksteel Chopper II,great-sword,Upgrade,Firecell Stone,1,Fucium Ore,5,Carbalite Ore,10,Wyvern Gem,1
Icesteel Edge,great-sword,Upgrade,Daora Claw+,3,Daora Webbing,4,Nergigante Carapace,5,Daora Tail,2
Daora's Decimator,great-sword,Upgrade,Xeno'jiiva Wing,2,Daora Horn+,5,Daora Claw+,4,Daora Gem,1
Daora's Tughril Beg,great-sword,Upgrade,Daora Hardhorn,5,Daora Hardclaw,4,Daora Shard,5,Large Elder Dragon Gem,1
Xeno Maliq,great-sword,Upgrade,Xeno'jiiva Claw,4,Xeno'jiiva Shell,6,Xeno'jiiva Tail,2,Xeno'jiiva Gem,1
Wyvern Jawblade,great-sword,Create,Hunter King Coin,5,Rathalos Coin,4,Barroth Coin,4,Novacrystal,1
Great Wyvern Jawblade,great-sword,Upgrade,Ace Hunter Coin,5,Brute Coin,4,Flying Coin,4,Wyvern Gem,2
Ultra Wyvern Jawblade,great-sword,Upgrade,Hero King Coin,1,Glavenus Coin,2,Nargacuga Coin,2,Banbaro Coin,2
Berserker Sword,great-sword,Create,Deviljho Scale,6,Deviljho Talon,2,Deviljho Tallfang,3,Deviljho Saliva,2
Anguish,great-sword,Upgrade,Elder Dragon Blood,5,Deviljho Scalp,2,Deviljho Tallfang,5,Deviljho Gem,1
Consummate Blade,great-sword,Upgrade,Vile Fang,3,Deviljho Ripper,2,Black Blood,3,Deviljho Crook,1
"Wyvern Ignition ""Steel""",great-sword,Create,Master Craftsman's Blueprint,2,Dragonite Ore,7,Paolumu Webbing,2,Rathalos Marrow,2
"Wyvern Ignition ""Impact""",great-sword,Upgrade,Master Craftsman's Blueprint,3,Elder Dragon Blood,2,Firecell Stone,5,Wyvern Gem,1
Empress Galea,great-sword,Create,Lunastra Scale+,4,Lunastra Horn,3,Lunastra Mane,3,Lunastra Gem,1
"Empress Galea ""Blaze""",great-sword,Upgrade,Research Commission Ticket,1,Lunastra Horn,2,Teostra Horn+,3,Bazelgeuse Gem,1
"Soulfire Edge ""Blaze""",great-sword,Upgrade,Lunastra Shard,4,Lunastra Hardhorn,4,Lunastra Mane+,4,Large Elder Dragon Gem,1
"Empress Galea ""Ruin""",great-sword,Upgrade,Research Commission Ticket,1,Lunastra Wing,3,Nergigante Horn+,3,Nergigante Gem,1
"Soulfire Edge ""Ruin""",great-sword,Upgrade,Lunastra Shard,4,Annihilating Greathorn,3,Eternal Regrowth Plate,3,Large Elder Dragon Gem,1
"Empress Galea ""Styx""",great-sword,Upgrade,Research Commission Ticket,1,Lunastra Tail,2,Xeno'jiiva Horn,3,Xeno'jiiva Gem,1
"Soulfire Edge ""Styx""",great-sword,Upgrade,Lunastra Shard,4,Lunastra Lash,2,Elder Spiritvein Bone,5,Large Elder Dragon Gem,1
Frozen Speartuna,great-sword,Create,Freezer Ticket,1,Monster Toughbone,3,Cryo Sac,3,Gracium,2
Freezer Speartuna,great-sword,Upgrade,Freezer Ticket,2,Monster Slogbone,5,Cryo Sac,4,Purecrystal,1
Xiphias Gladius,great-sword,Upgrade,Freezer Ticket,2,Monster Solidbone,6,Cryo Sac,5,Conqueror's Seal,2
Demon Rod,great-sword,Create,Rajang Hardhorn,1,Rajang Hardclaw,1,Rajang Hardfang,2,Rajang Wildpelt,2
Great Demon Rod,great-sword,Upgrade,Tempered Glimmerpelt,3,Rajang Hardhorn,3,Rajang Hardfang,7,Gold Rajang Pelt+,3
Demonlord Goldrod,great-sword,Create,Ghoulish Gold Gorer,3,Rajang Apoplexy,2,Gold Rajang Pelt+,5,Rajang Heart,1
Infernal Executioner,great-sword,Create,Stygian Zinogre Hardhorn,1,Stygian Zinogre Hardclaw,1,Stygian Zinogre Dragonlocks,2,Stygian Zinogre Dragonhold,2
Infernal Executioner+,great-sword,Upgrade,Tempered Dragonhold,3,Stygian Zinogre Hardhorn,2,Stygian Zinogre Hardclaw,5,Stygian Zinogre Skymerald,1
Lightbreak Blade,great-sword,Create,Brach Obliterator,3,Brach Warhead,1,Indestructible Ebonshell,4,Immortal Reactor,1
Guild Palace Blade,great-sword,Create,Fest Ticket,2,Amber Hardfang,2,Gracium,5,Purecrystal,1
Royal Venus Blade,great-sword,Upgrade,Hero King Coin,1,Namielle Hardclaw,3,Large Elder Dragon Bone,5,Pure Dragon Blood,3
Defender Katana I,long-sword,Create,Iron Ore,1,,,,,,
Defender Katana II,long-sword,Upgrade,Anjanath Scale,1,,,,,,
Defender Katana III,long-sword,Upgrade,Commendation,1,,,,,,
Defender Katana IV,long-sword,Upgrade,Pink Rathian Scale+,1,,,,,,
Defender Katana V,long-sword,Upgrade,Immortal Dragonscale,1,,,,,,
Iron Katana I,long-sword,Create,Iron Ore,1,,,,,,
Iron Katana II,long-sword,Upgrade,Iron Ore,2,,,,,,
Iron Katana III,long-sword,Upgrade,Earth Crystal,2,Machalite Ore,2,Iron Ore,5,,
Iron Grace I,long-sword,Upgrade,Dragonite Ore,2,Machalite Ore,5,Monster Bone M,2,,
Iron Grace II,long-sword,Upgrade,Monster Bone+,2,Dragonite Ore,5,Coral Crystal,2,Machalite Ore,10
Iron Grace III,long-sword,Upgrade,Carbalite Ore,8,Dragonite Ore,5,Dragonvein Crystal,2,,
Iron Gospel I,long-sword,Upgrade,Fucium Ore,8,Carbalite Ore,5,Dragonite Ore,10,Dragonvein Crystal,3
Iron Gospel II,long-sword,Upgrade,Elder Dragon Blood,2,Fucium Ore,13,Carbalite Ore,20,Firecell Stone,1
Iron Eschaton I,long-sword,Create,Eltalite Ore,6,Carbalite Ore,10,Firecell Stone,2,Purecrystal,1
Iron Eschaton I,long-sword,Upgrade,Eltalite Ore,2,Carbalite Ore,4,Spiritvein Crystal,2,Gracium,1
Iron Eschaton II,long-sword,Upgrade,Monster Slogbone,3,Eltalite Ore,4,Meldspar Ore,2,Bathycite Ore,2
