name_en,description_en,name_ja,description_ja,name_fr,description_fr,name_it,description_it,name_de,description_de,name_es,description_es,name_pt,description_pt,name_pl,description_pl,name_ru,description_ru,name_ko,description_ko,name_zh,description_zh,name_ar,description_ar
Tremor Resistance,Grants protection against ground tremors.,耐震,地面振動に対する耐性を持つ。,Sismologie,Affecte la résistance contre les secousses.,Antisismico,Protegge dai sussulti del terreno.,Erschütterungswidst.,Gewährt Schutz gegen Erschütterungen.,Anti temblores,Protege contra los temblores de tierra.,Resistência a Tremor,Concede proteção contra tremores de terra.,Odporność na Wstrząsy,Zapewnia ochronę przed wstrząsami ziemi.,Сопротивление тряске,Защищает от тряски.,내진,지면 진동에 대한 내성을 얻는다.,耐震,擁有對地面震動的耐性。,مقاومة الزلزال,توفر الحماية من الهزّات الأرضية.
Dungmaster,Makes monsters hit with slinger dung pods more likely to run.,こやし名人,スリンガーこやし弾を当てた モンスターが逃げやすくなる。,Grand bousier,Augmente l'efficacité des capsules de bouse.,Letamastro,I mostri colpiti dai baccelli letame hanno più probabilità di fuggire.,Dungmeister,"Monster, die per Schleuder von einer Dungkapsel getroffen werden, rennen mit einer höheren Wahrscheinlichkeit weg.",Bonus cápsula boñiga,Hace más fácil ahuyentar a monstruos grandes con cápsulas boñiga.,Mestre do Esterco,Aumenta a probabilidade de fuga de monstros atingidos por cápsulas de esterco da atiradeira.,Gnojomistrz,"Sprawia, że potwory trafione z procy gnojem częściej uciekają.",Навозник,"Увеличивает вероятность того, что чудовище сбежит при попадании по нему навозным снарядом.",거름 명인,슬링어 거름탄을 맞힌 몬스터는 도망칠 확률이 높아진다.,異臭名人,魔物於身中投射器異臭彈後 更容易逃跑。,سيد الروث,تتسبب في فرار الوحوش عند إصابتهم بـكبسولات الروث بـنبلة المعصم.
Effluvial Expert,Nullifies or reduces environmental damage in the Rotten Vale.,瘴気環境適応,瘴気の谷の環境ダメージを軽減、 無効にする。,Aura de purge,Augmente la résistance contre les effets du Val putride.,Esperto di effluvi,Riduce o annulla i danni ambientali nella Valle putrefatta.,Miasmaexperte,Negiert oder reduziert Umgebungsschaden im Tal der Verwesung.,Anti efluvio,Anula o reduce el daño del efluvio en el Valle Putrefacto.,Especialista em Eflúvios,Anula ou reduz dano de ambiente no Vale Putrefato.,Ekspert Wydzielinowy,Neutralizuje lub zmniejsza obrażenia zadawane przez otoczenie w Dolinie Wydzielin.,Эксперт по миазмам,Убирает или снижает урон от условий в Гнилой долине.,독기 환경 적응,독기의 골짜기의 환경 데미지를 감소하고 무효화한다.,適應瘴氣環境,使在瘴氣之谷中受到的 環境傷害減輕、無效。,خبير الروائح,تبطل تأثير الأضرار البيئية أو تقللها في الوادي المتعفن.
Heat Guard,Nullifies damage from heat.,熱ダメージ無効,暑さや熱によるダメージを 無効にする。,Thermorésistance,Annule les dégâts occasionnés par l'aridité ou la chaleur.,Anticalore,Annulla i danni da calore.,Hitzeschutz,Negiert Hitzeschaden.,Anti calor,Anula el daño por calor.,Bloqueio de Calor,Anula danos por calor.,Ochrona Termiczna,Neutralizuje obrażenia od wysokiej temperatury.,Тепловая защита,Нейтрализует урон от тепла.,열 데미지 무효,더위나 열에 의한 데미지를 무효화한다.,熱傷害無效,使炎暑、熱造成的傷害 無效。,تصدي الحرارة,تبطل الضرر الناجم عن الحرارة.
Attack Boost,Increases attack power. Also improves affinity at higher levels.,攻撃,プレイヤーの攻撃力を上げる。 レベルが上がると会心率にも 影響がある。,Machine de guerre,Augmente l'attaque ainsi que l'affinité aux niveaux supérieurs.,Bonus attacco,Incrementa attacco e affinità.,Angriffsboost,Verbessert den Angriff – und bei höheren Stufen zusätzlich die Affinität.,Bonus ataque,Aumenta el ataque. En niveles altos también mejora la afinidad.,Reforço de Ataque,Aumenta o poder de ataque. Também aumenta a afinidade em níveis mais altos.,Wzmocnienie Ataku,Zwiększa siłę ataku. Poprawia też zgodność na wyższych poziomach.,Усиление атаки,Повышает атаку. Также повышает и мастерство.,공격,플레이어의 공격력을 올린다. 레벨이 오르면 회심률에도 영향을 준다.,攻擊,提高玩家的攻擊力。 等級提高後， 也會影響會心率。,تعزيز الهجوم,تزيد من قوة الهجوم. وتحسن النسبة في مستويات أعلى.
Defense Boost,Increases defense. Level up to improve resistances as well.,防御,プレイヤーの防御力を上げる。 レベルが上がると耐性値にも 影響がある。,Bastion,Augmente la défense et la résistance élémentaire.,Bonus difesa,Incrementa la difesa e le resistenze elementali.,Verteidigungsboost,"Verbessert die Verteidigung. Erhöhe die Stufe, um auch die Widerstände zu verbessern.",Bonus defensa,Aumenta la defensa. A niveles altos mejora también las resistencias elementales.,Reforço de Defesa,Aumenta a defesa. Também eleva o nível de resistências.,Wzmocnienie Obrony,Zwiększa obronę. Na wyższych poziomach wzmacnia też odporności.,Усиление защиты,Увеличивает защиту. При повышении уровня улучшает сопротивление.,방어,플레이어의 방어력을 올린다. 레벨이 오르면 내성치에도 영향을 준다.,防禦,提高玩家的防禦力。 等級提高後， 也會影響耐性值。,تعزيز الدفاع,تزيد من الهجمات. انتقل إلى المستوى التالي لتحسين المقاومة كذلك.
Health Boost,Increases health.,体力増強,プレイヤーの体力を上げる。,Afflux de vie,Augmente la vie maximum.,Bonus salute,Incrementa la salute.,Gesundheitsboost,Verbessert deine Gesundheit.,Bonus salud,Aumenta la salud.,Reforço de Vida,Aumenta a vida.,Wzmocnienie Zdrowia,Zwiększa zdrowie.,Усиление здоровья,Повышает здоровье.,체력 증강,플레이어의 체력을 올린다.,體力增強,提升玩家的體力。,تعزيز الصحة,تزيد من الصحة.
Recovery Up,Increases the amount recovered when restoring health.,体力回復量ＵＰ,体力回復がおこなわれたときに 回復量が上がる。,Cercle de vie,Augmente la quantité de vie restaurée.,Bonus cura,Incrementa la quantità di salute recuperata durante una cura.,Erholung hoch,Erhöht die Menge der wiederhergestellten Gesundheit.,Bonus curación,Aumenta la cantidad de salud recuperada al usar un objeto curativo.,Aumento de Regeneração,Aumenta a quantidade recuperada ao regenerar a vida.,Wzrost Regeneracji,Zwiększa liczbę punktów uzupełnianych podczas regeneracji zdrowia.,Улучшение восстановления,Увеличивает количество восстанавливаемого здоровья.,체력 회복량 UP,체력 회복이 발생했을 때 회복량이 오른다.,體力回復量UP,提高體力回復時的 回復量。,زيادة التعافي,تزيد من النسبة المستردّة عند استعادة الصحة.
Recovery Speed,Speeds healing of recoverable damage (the red portion of the health gauge).,回復速度,ダメージを受けた際の 赤ゲージ部分の回復速度が 上がる。,Halo de guérison,Accélère la vitesse de guérison des dégâts temporaires (zone rouge de la jauge de vie).,Guarigione,Accelera il recupero dai danni temporanei (zona rossa della barra salute).,Erholungsgeschwindigk.,Erlaubt die schnellere Heilung von erholbarem Schaden (der rote Abschnitt des Gesundheitsbalkens).,Recuperación rápida,Acelera la recuperación de daño temporal (la parte roja de la barra de salud).,Velocidade Regeneração,Acelera a cura de dano recuperável (a parte vermelha da barra de vida).,Szybkość Regeneracji,Przyspiesza regenerację odzyskiwalnego zdrowia (czerwona część paska zdrowia).,Скорость восстановления,Ускоряет восстановление исцеляемого урона (красной части шкалы здоровья).,회복 속도,데미지를 받았을 때 붉은 게이지 부분의 회복 속도가 상승한다.,回復速度,受到傷害時， 紅色計量表部分的 回復速度會提高。,سرعة التعافي,تسرّع الشفاء من الضرر القابل للتعافي (الجزء الأحمر من مقياس الصحة).
Fire Resistance,Increases fire resistance. Also improves defense at higher levels.,火耐性,プレイヤーの火耐性を上げる。 レベルが上がると防御力にも 影響がある。,Ignifuge,Augmente la protection contre les attaques élémentaires feu et les attaques physiques.,Resistenza fuoco,Incrementa la resistenza al fuoco. Fai salire di livello per aumentare anche la difesa.,Feuerwiderstand,Erhöht den Feuerwiderstand – und bei höheren Stufen zusätzlich die Verteidigung.,Anti fuego,Aumenta la resistencia al fuego. En niveles más altos también mejora la defensa.,Resistência a Fogo,Aumenta a resistência a fogo. Também aumenta a defesa em níveis mais altos.,Odporność na Ogień,Zwiększa odporność na ogień. Poprawia też obronę na wyższych poziomach.,Сопротивление огню,"Повышает сопротивление огню, а также защиту.",불 내성,플레이어의 불 내성을 올린다. 레벨이 오르면 방어력에도 영향을 준다.,火耐性,提高玩家的火耐性。 等級提高後， 也會影響防禦力。,مقاومة النار,تزيد مقاومة النار. وتحسن الدفاع في مستويات أعلى.
Water Resistance,Increases water resistance. Also improves defense at higher levels.,水耐性,プレイヤーの水耐性を上げる レベルが上がると防御力にも 影響がある。,Étanchéité,Augmente la protection contre les attaques élémentaires eau et les attaques physiques.,Resistenza acqua,Incrementa la resistenza all'acqua. Fai salire di livello per aumentare anche la difesa.,Wasserwiderstand,Erhöht den Wasserwiderstand. Auf höheren Stufen wird auch die Verteidigung verbessert.,Anti agua,Aumenta la resistencia al agua. En niveles más altos también mejora la defensa.,Resistência a Água,Aumenta a resistência a água. Também aumenta a defesa em níveis mais altos.,Odporność na Wodę,Zwiększa odporność na wodę. Poprawia też obronę na wyższych poziomach.,Сопротивление воде,"Повышает сопротивление воде, а также защиту.",물 내성,플레이어의 물 내성을 올린다. 레벨이 오르면 방어력에도 영향을 준다.,水耐性,提高玩家的水耐性。 等級上升後， 也會影響防禦力。,مقاومة الماء,تزيد مقاومة الماء. وتحسن الدفاع في مستويات أعلى.
Ice Resistance,Increases ice resistance. Also improves defense at higher levels.,氷耐性,プレイヤーの氷耐性を上げる レベルが上がると防御力にも 影響がある。,Antigel,Augmente la protection contre les attaques élémentaires glace et les attaques physiques.,Resistenza ghiaccio,Incrementa la resistenza al ghiaccio. Fai salire di livello per aumentare anche la difesa.,Eiswiderstand,"Erhöht den Eiswiderstand. Erhöhe die Stufe, um auch die Verteidigung zu verbessern.",Anti hielo,Aumenta la resistencia al hielo. En niveles más altos también mejora la defensa.,Resistência a Gelo,Aumenta a resistência a gelo. Também aumenta a defesa em níveis mais altos.,Odporność na Lód,Zwiększa odporność na lód. Poprawia też obronę na wyższych poziomach.,Сопротивление льду,"Повышает сопротивление льду, а также защиту.",얼음 내성,플레이어의 얼음 내성을 올린다. 레벨이 오르면 방어력에도 영향을 준다.,冰耐性,提高玩家的冰耐性。 等級上升後， 也會影響防禦力。,مقاومة الثلج,تزيد مقاومة الثلج. وتحسن الدفاع في مستويات أعلى.
Thunder Resistance,Increases thunder resistance. Also improves defense at higher levels.,雷耐性,プレイヤーの雷耐性を上げる レベルが上がると防御力にも 影響がある。,Paratonnerre,Augmente la protection contre les attaques élémentaires foudre et les attaques physiques.,Resistenza tuono,Incrementa la resistenza al tuono. Fai salire di livello per aumentare anche la difesa.,Donnerwiderstand,Erhöht den Donnerwiderstand. Auf höheren Stufen wird auch die Verteidigung verbessert.,Anti rayo,Aumenta la resistencia al rayo. En niveles más altos también mejora la defensa.,Resistência a Raio,Aumenta a resistência a raio. Também aumenta a defesa em níveis mais altos.,Odporność na Pioruny,Zwiększa odporność na pioruny. Poprawia też obronę na wyższych poziomach.,Сопротивление грозе,"Повышает сопротивление грозе, а также защиту.",번개 내성,플레이어의 번개 내성을 올린다. 레벨이 오르면 방어력에도 영향을 준다.,雷耐性,提高玩家的雷耐性。 等級上升後， 也會影響防禦力。,مقاومة الرعد,تزيد مقاومة الرعد. وتحسن الدفاع في مستويات أعلى.
Dragon Resistance,Increases dragon resistance. Also improves defense at higher levels.,龍耐性,プレイヤーの龍耐性を上げる レベルが上がると防御力にも 影響がある。,Aura draconien,Augmente la protection contre les attaques élémentaires dragon et les attaques physiques.,Resistenza drago,Incrementa la resistenza al drago. Fai salire di livello per aumentare anche la difesa.,Drachenwiderstand,Erhöht den Drachenwiderstand – und bei höheren Stufen zusätzlich die Verteidigung.,Anti draco,Aumenta la resistencia al draco. En niveles más altos también mejora la defensa.,Resistência a Dragão,Aumenta a resistência a dragão. Também aumenta a defesa em níveis mais altos.,Odporność na Smoki,Zwiększa odporność na smoki. Poprawia też obronę na wyższych poziomach.,Сопротивление дракону,"Повышает сопротивление дракону, а также защиту.",용 내성,플레이어의 용 내성을 올린다. 레벨이 오르면 방어력에도 영향을 준다.,龍耐性,提高玩家的龍耐性。 等級上升後， 也會影響防禦力。,مقاومة التنين,تزيد مقاومة التنين. وتحسن الدفاع في مستويات أعلى.
Blight Resistance,Grants protection against all elemental blights.,属性やられ耐性,全ての属性やられ状態に対する 耐性を得る。,Totem élémentaire,Augmente la résistance contre les fléaux élémentaires.,Resistenza malus,Protegge da tutti i malus elementali.,Pestwiderstand,Gewährt Schutz gegen alle elementbasierten Pestarten.,Anti plagas,Otorga protección contra todas las plagas elementales.,Resistência a Flagelo,Concede proteção contra todos os flagelos de elemento.,Odporność na Plagę,Zapewnia ochronę przed wszystkimi plagami żywiołów.,Сопротивление порче,Защищает от всех стихийных порч.,속성 피해 내성,모든 속성 피해 상태에 대한 내성을 얻는다.,屬性異常狀態的耐性,擁有對全部的 屬性異常狀態的耐性。,مقاومة الوباء,توفر الحماية من كل الأوبئة العنصرية.
Fire Attack,Increases fire element attack power. (Elemental attack power has a maximum limit.),火属性攻撃強化,火属性の力を強化する。 （武器の属性値の強化には、上限が あります）,Pyromane,Augmente la puissance des attaques élémentaires feu. Il y a une limite aux augmentations.,Attacco fuoco,Incrementa la potenza degli attacchi basati sull'elemento fuoco. (La potenza degli attacchi ha un limite massimo.),Feuerangriff,Verbessert die Kraft von Feuerelement-Angriffen. Die Elementangriffskraft hat eine Obergrenze.,Ataque de fuego,Potencia los ataques elementales de fuego. (El poder elemental tiene un máximo).,Ataque de Fogo,Aumenta o poder de ataques com elemento fogo. (Poder de ataque elemental tem limite máximo.),Atak Ogniem,Zwiększa moc ataku żywiołu ognia. (Moc ataku żywiołu ma ograniczenie).,Атака огнем,Усиливает атаки стихией огня. (Но не выше предела.),불속성 공격 강화,불속성의 힘을 강화한다. (무기의 속성치 강화에는 한계가 있습니다),火屬性攻擊強化,強化火屬性之力。 （武器屬性值的強化， 有其上限）,هجوم النار,يزيد من قوة هجوم عنصر النار. (للاشتداد العنصري حد أقصى.)
Water Attack,Increases water element attack power. (Elemental attack power has a maximum limit.),水属性攻撃強化,水属性の力を強化する。 （武器の属性値の強化には、上限が あります）,Maelstrom,Augmente la puissance des attaques élémentaires eau. Il y a une limite aux augmentations.,Attacco acqua,Incrementa la potenza degli attacchi basati sull'elemento acqua. (La potenza degli attacchi ha un limite massimo.),Wasserangriff,Verbessert die Kraft von Wasserelement-Angriffen. Die Elementangriffskraft hat eine Obergrenze.,Ataque de agua,Potencia los ataques elementales de agua. (El poder elemental tiene un máximo).,Ataque de Água,Aumenta o poder de ataques com elemento água. (Poder de ataque elemental tem limite máximo.),Atak Wodą,Zwiększa moc ataku żywiołu wody. (Moc ataku żywiołu ma ograniczenie).,Атака водой,Усиливает атаки стихией воды. (Но не выше предела.),물속성 공격 강화,물속성의 힘을 강화한다. (무기의 속성치 강화에는 한계가 있습니다),水屬性攻擊強化,強化水屬性之力。 （武器屬性值的強化， 有其上限）,هجوم الماء,يزيد من قوة هجوم عنصر الماء. (للاشتداد العنصري حد أقصى.)
Ice Attack,Increases ice element attack power. (Elemental attack power has a maximum limit.),氷属性攻撃強化,氷属性の力を強化する。 （武器の属性値の強化には、上限が あります）,Blizzard,Augmente la puissance des attaques élémentaires glace. Il y a une limite aux augmentations.,Attacco ghiaccio,Incrementa la potenza degli attacchi basati sull'elemento ghiaccio. (La potenza degli attacchi ha un limite massimo.),Eisangriff,Verbessert die Kraft von Eiselement-Angriffen. Die Elementangriffskraft hat eine Obergrenze.,Ataque de hielo,Potencia los ataques elementales de hielo. (El poder elemental tiene un máximo).,Ataque de Gelo,Aumenta o poder de ataques com elemento gelo. (Poder de ataque elemental tem limite máximo.),Atak Lodem,Zwiększa moc ataku żywiołu lodu. (Moc ataku żywiołu ma ograniczenie).,Атака льдом,Усиливает атаки стихией льда. (Но не выше предела.),얼음속성 공격 강화,얼음속성의 힘을 강화한다. (무기의 속성치 강화에는 한계가 있습니다),冰屬性攻擊強化,強化冰屬性之力。 （武器屬性值的強化， 有其上限）,هجوم الثلج,تزيد من قوة هجمات الثلج.
Thunder Attack,Increases thunder element attack power. (Elemental attack power has a maximum limit.),雷属性攻撃強化,雷属性の力を強化する。 （武器の属性値の強化には、上限が あります）,Feu du ciel,Augmente la puissance des attaques élémentaires foudre. Il y a une limite aux augmentations.,Attacco tuono,Incrementa la potenza degli attacchi basati sull'elemento tuono. (La potenza degli attacchi ha un limite massimo.),Donnerangriff,Verbessert die Kraft von Donnerelement-Angriffen. Die Elementangriffskraft hat eine Obergrenze.,Ataque de rayo,Potencia los ataques elementales de rayo. (El poder elemental tiene un máximo).,Ataque de Raio,Aumenta o poder de ataques com elemento raio. (Poder de ataque elemental tem limite máximo.),Atak Piorunem,Zwiększa moc ataku żywiołu pioruna. (Moc ataku żywiołu ma ograniczenie).,Атака грозой,Усиливает атаки стихией грозы. (Но не выше предела.),번개속성 공격 강화,번개속성의 힘을 강화한다. (무기의 속성치 강화에는 한계가 있습니다),雷屬性攻擊強化,強化雷屬性之力。 （武器屬性值的強化， 有其上限）,هجوم الرعد,تزيد من قوة هجمات الرعد.
Dragon Attack,Increases dragon element attack power. (Elemental attack power has a maximum limit.),龍属性攻撃強化,龍属性の力を強化する。 （武器の属性値の強化には、上限が あります）,Pourfendeur de dragon,Augmente la puissance des attaques élémentaires draconiques. Il y a une limite aux augmentations.,Attacco drago,Incrementa la potenza degli attacchi basati sull'elemento drago. (La potenza degli attacchi ha un limite massimo.),Drachenangriff,Verbessert die Kraft von Drachenelement-Angriffen. Die Elementangriffskraft hat eine Obergrenze.,Ataque de draco,Potencia los ataques elementales de draco. (El poder elemental tiene un máximo).,Ataque de Dragão,Aumenta o poder de ataques com elemento dragão. (Poder de ataque elemental tem limite máximo.),Smoczy Atak,Zwiększa moc ataku żywiołu smoka. (Moc ataku żywiołu ma ograniczenie).,Атака дракона,Усиливает атаки стихией дракона. (Но не выше предела.),용속성 공격 강화,용속성의 힘을 강화한다. (무기의 속성치 강화에는 한계가 있습니다),龍屬性攻擊強化,強化龍屬性之力。 （武器屬性值的強化， 有其上限）,هجوم التنين,تزيد من قوة هجمات التنين.
Poison Attack,Increases the rate of poison buildup. (Elemental buildup has a maximum limit.),毒属性強化,毒の蓄積値を強化する。 （武器の蓄積値の強化には、上限が あります）,Mort-aux-rats,Augmente la puissance des afflictions de type poison. Il y a une limite aux augmentations.,Attacco veleno,Incrementa l'accumulo del veleno. (L'accumulo dello stato ha un limite massimo.),Giftangriff,Erhöht die Rate der Gift-Ansammlung. Die Elementansammlung hat eine Obergrenze.,Ataque venenoso,Acelera la acumulación de veneno. (La acumulación de estados alterados tiene un nivel máximo).,Ataque de Veneno,Aumenta a taxa de acúmulo de veneno. (Acúmulo elemental tem limite máximo.),Atak Trucizną,Zwiększa tempo akumulacji trucizny. (Akumulacja żywiołu ma ograniczenie).,Атака ядом,Ускоряет действие отравляющего покрытия. (Но не выше предела.),독속성 강화,독의 축적치를 강화한다. (무기의 속성치 강화에는 한계가 있습니다),毒屬性強化,強化毒素累積值。 （武器累積值的強化， 有其上限）,هجوم السم,يزيد من اشتداد السم. (للاشتداد العنصري حد أقصى.)
Paralysis Attack,Increases the rate of paralysis buildup. (Elemental buildup has a maximum limit.),麻痺属性強化,麻痺の蓄積値を強化する。 （武器の蓄積値の強化には、上限が あります）,Neutralisation,Augmente la puissance des afflictions de type paralysie. Il y a une limite aux augmentations.,Attacco paralisi,Incrementa l'accumulo della paralisi. (L'accumulo dello stato ha un limite massimo.),Lähmungsangriff,Erhöht die Rate der Lähmung-Ansammlung. Die Elementansammlung hat eine Obergrenze.,Ataque paralizante,Acelera la acumulación de parálisis. (La acumulación de estados alterados tiene un nivel máximo).,Ataque de Paralisia,Aumenta a taxa de acúmulo de paralisia. (Acúmulo elemental tem limite máximo.),Atak Paraliżem,Zwiększa tempo akumulacji paraliżu. (Akumulacja żywiołu ma ograniczenie).,Парализующая атака,Ускоряет действие парализующ. покрытия. (Но не выше предела.),마비속성 강화,마비의 축적치가 강화한다. (무기의 속성치 강화에는 한계가 있습니다),麻痺屬性強化,強化麻痺累積值。 （武器累積值的強化， 有其上限）,هجوم الشلل,يزيد من معدل اشتداد الشلل. (للاشتداد العنصري حد أقصى.)
