base_name_en,level,description_en,description_ja,description_fr,description_it,description_de,description_es,description_pt,description_pl,description_ru,description_ko,description_zh,description_ar
Earplugs,1,Slightly reduces the effects of weak monster roars.,咆哮【小】の影響を すこし軽減する。,Réduit légèrement les effets des petits rugissements.,Riduce leggermente gli effetti dei ruggiti deboli di mostro.,Verringert die Wirkung von schwachem Monstergebrüll leicht.,Reduce levemente el efecto de los rugidos más débiles.,Reduz um pouco os efeitos dos rugidos fracos de monstros.,Zmniejsza nieco efekty słabych ryków potworów.,Немного уменьшает эффективность слабого рыка чудовищ.,포효【소】의 영향이 조금 줄어든다.,小幅減輕 咆哮【小】的影響。,تقلل تأثيرات زئير الوحش الضعيف بمقدار ضئيل.
Earplugs,2,Reduces the effects of weak monster roars.,咆哮【小】の影響を軽減する。,Réduit les effets des petits rugissements.,Riduce leggermente gli effetti dei ruggiti deboli di mostro.,Reduziert die Wirkung von schwachem Monstergebrüll.,Reduce el efecto de los rugidos menos fuertes.,Reduz os efeitos dos rugidos fracos de monstros.,Zmniejsza efekty słabych ryków potworów.,Уменьшает эффективность слабого рыка чудовищ.,포효【소】의 영향이 줄어든다.,減輕咆哮【小】的影響。,تقلل تأثيرات زئير الوحش الضعيف.
Earplugs,3,Nullifies weak monster roars.,咆哮【小】を無効化する。,Annule les effets des petits rugissements.,Annulla gli effetti dei ruggiti deboli di mostro.,Negiert schwaches Monstergebrüll.,Anula el efecto de los rugidos más débiles.,Anula os rugidos fracos de monstros.,Neutralizuje słabe ryki potworów.,Нейтрализует слабый рык чудовищ.,포효【소】를 무효화한다.,使咆哮【小】無效。,تبطل تأثيرات زئير الوحش الضعيف.
Earplugs,4,Nullifies weak monster roars and reduces the effects of strong monster roars.,咆哮【小】を無効化し、 咆哮【大】の影響を軽減する。,Annule les effets des petits rugissements et réduit les effets des grands rugissements.,Annulla gli effetti dei ruggiti deboli di mostro e riduce gli effetti di quelli potenti.,Negiert schwaches Monstergebrüll und reduziert die Wirkung von starkem Monstergebrüll.,Anula el efecto de los rugidos más débiles y reduce el efecto de los rugidos fuertes.,Anula os rugidos fracos de monstros e reduz os efeitos dos rugidos fortes de monstros.,Neutralizuje słabe ryki potworów i zmniejsza efekty silnych ryków potworów.,"Нейтрализует слабый рык чудовищ, снижает эффективность сильного рыка чудовищ.",포효【소】를 무효화하고 포효【대】의 영향이 줄어든다.,使咆哮【小】無效， 減輕咆哮【大】的影響。,تبطل زئير الوحش الضعيف وتقلل من تأثيرات زئير الوحش القوي.
Earplugs,5,Nullifies weak and strong monster roars.,咆哮【小】【大】を無効化する。,Annule les effets des petits et grands rugissements.,Annulla tutti i ruggiti.,Negiert schwaches und starkes Monstergebrüll.,Anula el efecto de los rugidos tanto débiles como fuertes.,Anula os rugidos fracos e fortes de monstros.,Neutralizuje słabe i silne ryki potworów.,Нейтрализует слабый и сильный рык чудовищ.,포효【소】【대】를 무효화한다.,使咆哮【小】【大】無效。,تبطل تأثيرات زئير الوحشين القوي والضعيف.
Windproof,1,Slightly reduces the effects of minor wind pressure.,風圧【小】をすこし軽減する。,Réduit légèrement les effets des petites bourrasques.,Riduce leggermente gli effetti della pressione del vento lieve.,Reduziert geringfügig die Wirkung von leichtem Winddruck.,Reduce levemente el efecto de ráfagas de vientos menores.,Reduz um pouco os efeitos de pressão menor do vento.,Zmniejsza nieco efekty delikatnego naporu wiatru.,Немного снижает эффективность слабого давления ветра.,풍압【소】를 조금 줄인다.,小幅減輕風壓【小】。,تقلل تأثير ضغط الرياح البسيط بعض الشيء.
Windproof,2,Reduces the effects of minor wind pressure.,風圧【小】を軽減する。,Réduit les effets des petites bourrasques.,Riduce sensibilmente gli effetti della pressione del vento lieve.,Reduziert die Wirkung von leichtem Winddruck.,Reduce el efecto de ráfagas de vientos menores.,Reduz os efeitos de pressão menor do vento.,Zmniejsza efekty delikatnego naporu wiatru.,Снижает эффективность слабого давления ветра.,풍압【소】를 줄인다.,減輕風壓【小】。,تقلل تأثير ضغط الرياح البسيط.
Windproof,3,Negates minor wind pressure.,風圧【小】を無効化する。,Annule les effets des petites bourrasques.,Annulla la pressione del vento lieve.,Negiert leichten Winddruck.,Anula ráfagas de vientos menores.,Nega pressão menor do vento.,Neutralizuje delikatny napór wiatru.,Снимает слабое давление ветра.,풍압【소】를 무효화한다.,使風壓【小】無效。,تلغي ضغط الرياح البسيط.
Windproof,4,Negates minor wind pressure and reduces the effects of major wind pressure.,風圧【小】を無効化し、 風圧【大】を軽減する。,Annule les effets des petites bourrasques et réduit les effets des grandes bourrasques.,Annulla la pressione del vento lieve. Riduce quella intensa.,Negiert leichten Winddruck und reduziert die Wirkung von starkem Winddruck.,Anula ráfagas de vientos menores y reduce el efecto de ráfagas mayores.,Nega pressão menor do vento e reduz os efeitos de pressão maior do vento.,Neutralizuje delikatny napór wiatru i zmniejsza efekty silnego naporu wiatru.,Нейтрализует слабое давление ветра и уменьшает эффективность сильного давления ветра.,풍압【소】를 무효화하고 풍압【대】를 줄인다.,使風壓【小】無效， 減輕風壓【大】。,تلغي ضغط الرياح البسيط وتقلل تأثير ضغط الرياح القوي.
Windproof,5,Negates minor and major wind pressure.,風圧【小】【大】を無効化する。,Annule les effets des petites et grandes bourrasques.,Annulla la pressione di tutti i tipi di vento.,Negiert leichten und starken Winddruck.,"Anula las ráfagas de viento, tanto mayores como menores.",Nega pressão menor e maior do vento.,Neutralizuje delikatny i silny napór wiatru.,Нейтрализует слабое и сильное давление ветра.,풍압【소】【대】를 무효화한다.,使風壓【小】【大】無效。,تلغي ضغط الرياح البسيط والقوي.
Tremor Resistance,1,Nullifies minor ground tremors.,振動【小】を無効化する。,Annule les petites secousses.,Annulla i sussulti lievi.,Negiert leichte Erderschütterungen.,Anula los temblores de tierra menores.,Anula tremores de terra menores.,Neutralizuje słabe wstrząsy ziemi.,Нейтрализует слабую тряску.,진동【소】를 무효화한다.,使震動【小】無效。,تبطل الهزّات الأرضية الطفيفة.
Tremor Resistance,2,Nullifies minor ground tremors and reduces the effects of major ground tremors.,振動【小】を無効化し、 振動【大】の影響を軽減する。,Annule les petites secousses et réduit les effets des grandes secousses.,Annulla i sussulti lievi. Riduce quelli intensi.,Negiert leichte Erderschütterungen und reduziert die Wirkung von schweren Erderschütterungen.,Anula los temblores de tierra menores y reduce el efecto de los temblores mayores.,Anula tremores de terra menores e reduz os efeitos de tremores de terra maiores.,Neutralizuje słabe wstrząsy ziemi i zmniejsza efekty silnych wstrząsów ziemi.,Нейтрализует слабую тряску и уменьшает эффективность сильной тряски.,진동【소】를 무효화하고 진동【대】의 영향이 줄어든다.,使震動【小】無效， 減輕震動【大】的影響。,تبطل الهزّات الأرضية الطفيفة وتقلل تأثيرات الهزّات الأرضية القوية.
Tremor Resistance,3,Nullifies minor and major ground tremors.,振動【小】【大】を無効化する。,Annule les petites et grandes secousses.,Annulla tutti i sussulti.,Negiert leichte und starke Erderschütterungen.,Anula los temblores de tierra mayores y menores.,Anula tremores de terra menores e maiores.,Neutralizuje słabe i silne wstrząsy ziemi.,Нейтрализует слабую и сильную тряску.,진동【소】【대】를 무효화한다.,使震動【小】【大】無效。,تبطل الهزّات الأرضية الطفيفة والقوية.
Dungmaster,1,Makes slinger dung pods more effective at making monsters run away.,スリンガーこやし弾の 逃がし効果が上がる。,Les capsules de bouse sont plus efficaces.,Rende i baccelli letame più efficaci nel far fuggire i mostri.,Macht die Dungkapseln der Schleuder effektiver – Monster reagieren stärker auf sie.,Hace que las cápsulas boñiga de la eslinga sean más efectivas para ahuyentar a los monstruos.,Deixa cápsulas de esterco da atiradeira mais eficazes em afugentar monstros.,"Sprawia, że gnojowe strąki do procy skuteczniej odstraszają potwory.",Увеличивает вероятность прогнать чудовище навозным снарядом.,슬링어 거름탄의 도망치게 만드는 효과가 상승한다.,提高逃離 投射器異臭彈的效果。,تجعل كبسولات الروث الخاصة بـنبلة المعصم أكثر فعالية في جعل الوحوش يفرون هربًا.
Effluvial Expert,1,Nullifies damage from effluvia and reduces damage from acids.,瘴気の霧を無効化し、 酸によるダメージを軽減する。,Annule les dégâts du miasme et réduit les dégâts de l'acide.,Annulla i danni da effluvio e riduce il danno da acidi.,Negiert den Schaden durch Miasma und reduziert den Schaden durch Säure.,Anula el daño del efluvio y reduce el daño por ácido.,Anula dano de eflúvios e reduz dano de ácidos.,Neutralizuje obrażenia zadawane przez wydzieliny i zmniejsza obrażenia zadawane przez kwasy.,Нейтрализует урон от миазм и снижает урон от кислоты.,독기의 안개를 무효화하고 산성에 의한 데미지를 줄인다.,使瘴氣霧霾無效， 減輕酸造成的傷害。,تبطل الضرر الناجم عن الروائح وتقلل الضرر الناجم عن الأحماض.
Heat Guard,1,Nullifies heat damage.,熱によるダメージを無効化する。,Annule les dégâts de chaleur.,Annulla i danni da calore.,Negiert Hitzeschaden.,Anula el daño por calor.,Anula dano de calor.,Neutralizuje obrażenia cieplne.,Нейтрализует урон от тепла.,열에 의한 데미지를 무효화한다.,使熱造成的傷害無效。,تبطل أضرار الحرارة.
Attack Boost,1,Attack +3,基礎攻撃力＋３,Attaque +3,ATT Fisico: +3,Angriff +3,Ataque +3,Ataque +3,Atak +3,Атака +3,기초 공격력＋3,基礎攻擊力＋３,الهجوم +3
Attack Boost,2,Attack +6,基礎攻撃力＋６,Attaque +6,ATT Fisico: +6,Angriff +6,Ataque +6,Ataque +6,Atak +6,Атака +6,기초 공격력＋6,基礎攻擊力＋６,الهجوم +6
Attack Boost,3,Attack +9,基礎攻撃力＋９,Attaque +9,ATT Fisico: +9,Angriff +9,Ataque +9,Ataque +9,Atak +9,Атака +9,기초 공격력＋9,基礎攻擊力＋９,الهجوم +9
Attack Boost,4,Attack +12 Affinity +5%,基礎攻撃力＋１２、会心率＋５％,Attaque +12 Affinité +5 %,ATT Fisico: +12 Affinità: +5%,Angriff +12 Affinität +5%,Ataque +12 Afinidad +5%,Ataque +12 Afinidade +5%,Atak +12 Zgodność +5%,Атака +12 Мастерство +5%,"기초 공격력＋12, 회심률＋5％",基礎攻擊力＋１２、會心率＋５％,الهجوم +12 النسبة +5%
Attack Boost,5,Attack +15 Affinity +5%,基礎攻撃力＋１５、会心率＋５％,Attaque +15 Affinité +5 %,ATT Fisico: +15 Affinità: +5%,Angriff +15 Affinität +5%,Ataque +15 Afinidad +5%,Ataque +15 Afinidade +5%,Atak +15 Zgodność +5%,Атака +15 Мастерство +5%,"기초 공격력＋15, 회심률＋5％",基礎攻擊力＋１５、會心率＋５％,الهجوم +15 النسبة +5%
Attack Boost,6,Attack +18 Affinity +5%,基礎攻撃力＋１８、会心率＋５％,Attaque +18 Affinité +5 %,ATT Fisico: +18 Affinità: +5%,Angriff +18 Affinität +5%,Ataque +18 Afinidad +5%,Ataque +18 Afinidade +5%,Atak +18 Zgodność +5%,Атака +18 Мастерство +5%,"기초 공격력＋18, 회심률＋5％",基礎攻擊力＋１８、會心率＋５％,الهجوم +18 النسبة +5%
Attack Boost,7,Attack +21 Affinity +5%,基礎攻撃力＋２１、会心率＋５％,Attaque +21 Affinité +5 %,ATT Fisico: +21 Affinità: +5%,Angriff +21 Affinität +5%,Ataque +21 Afinidad +5%,Ataque +21 Afinidade +5%,Atak +21 Zgodność +5%,Атака +21 Мастерство +5%,"기초 공격력＋21, 회심률＋5％",基礎攻擊力＋２１、會心率＋５％,الهجوم +21 النسبة +5%
Defense Boost,1,Defense +5,防御力＋５,Défense +5,DIF Fisica: +5,Verteidigung +5,Defensa +5,Defesa +5,Obrona +5,Защита +5,방어력＋5,防禦力＋５,الدفاع +5
Defense Boost,2,Defense +10,防御力＋１０,Défense +10,DIF Fisica: +10,Verteidigung +10,Defensa +10,Defesa +10,Obrona +10,Защита +10,방어력＋10,防禦力＋１０,الدفاع +10
Defense Boost,3,Defense +5% Bonus: +10,防御力を１．０５倍し、 防御力＋１０,Défense +5 % Défense +10,DIF Fisica: +5% Bonus addizionale: +10,Verteidigung +10 Zusatzbonus +5%,Defensa +5% Bonus: +10,Defesa +5% Bônus: +10,Obrona +5% Premia: +10,Защита +5% Бонус: +10,"방어력이 1.05배가 되고, 방어력＋10",防禦力變為１．０５倍， 防禦力＋１０,الدفاع +5% مكافأة: +10
Defense Boost,4,Defense +5% Bonus: +20 All Elemental Resistances +3,防御力を１．０５倍し、 防御力＋２０、全属性耐性値＋３,Défense +5 % Défense +20 Résistance élémentaire +3,DIF Fisica: +5% Bonus addizionale: +20 DIF Elementale (tutte): +3,Verteidigung +20 Zusatzbonus +5% Alle Elementwiderstände +3,Defensa +5% Bonus: +20 Resistencias elementales +3,Defesa +5% Bônus: +20 Resistência a Todos Elementos +3,Obrona +5 Premia: +20 Wsz. odporności na żywioły +3,Защита +5% Бонус +20 Сопротивление всем стихиям +3,"방어력이 1.05배가 되고, 방어력＋20, 모든 속성 내성치＋3",防禦力變為１．０５倍， 防禦力＋２０、全屬性耐性值＋３,الدفاع +5% مكافأة: +20 كل المقاومات العنصرية +3
Defense Boost,5,Defense +8% Bonus: +20 All Elemental Resistances +3,防御力を１．０８倍し、 防御力＋２０、全属性耐性値＋３,Défense +8 % Défense +20 Résistance élémentaire +3,DIF Fisica: +8% Bonus addizionale: +20 DIF Elementale (tutte): +3,Verteidigung +20 Zusatzbonus +8% Alle Elementwiderstände +3,Defensa +8% Bonus: +20 Resistencias elementales +3,Defesa +8% Bônus: +20 Resistência a Todos Elementos +3,Obrona +8 Premia: +20 Wsz. odporności na żywioły +3,Защита +8% Бонус +20 Сопротивление всем стихиям +3,"방어력이 1.08배가 되고, 방어력＋20, 모든 속성 내성치＋3",防禦力變為１．０８倍， 防禦力＋２０、全屬性耐性值＋３,الدفاع +8% مكافأة: +20 كل المقاومات العنصرية +3
Defense Boost,6,Defense +8% Bonus: +35 All Elemental Resistances +5,防御力を１．０８倍し、 防御力＋３５、全属性耐性値＋５,Défense +8 % Défense +35 Résistance élémentaire +5,DIF Fisica: +8% Bonus addizionale: +35 DIF Elementale (tutte): +5,Verteidigung +35 Zusatzbonus +8% Alle Elementwiderstände +5,Defensa +8% Bonus: +35 Resistencias elementales +5,Defesa +8% Bônus: +35 Resistência a Todos Elementos +5,Obrona +8 Premia: +35 Wsz. odporności na żywioły +5,Защита +8% Бонус +35 Сопротивление всем стихиям +5,"방어력이 1.08배가 되고, 방어력＋35, 모든 속성 내성치＋5",防禦力變為１．０８倍， 防禦力＋３５、全屬性耐性值＋５,الدفاع +8% مكافأة: +35 كل المقاومات العنصرية +5
Defense Boost,7,Defense +10% Bonus: +35 All Elemental Resistances +5,防御力を１．１倍し、 防御力＋３５、全属性耐性値＋５,Défense +10 % Défense +35 Résistance élémentaire +5,DIF Fisica: +10% Bonus addizionale: +35 DIF Elementale (tutte): +5,Verteidigung +35 Zusatzbonus +10% Alle Elementwiderstände +5,Defensa +10% Bonus: +35 Resistencias elementales +5,Defesa +10% Bônus: +35 Resistência a Todos Elementos +5,Obrona +10 Premia: +35 Wsz. odporności na żywioły +5,Защита +10% Бонус +35 Сопротивление всем стихиям +5,"방어력이 1.1배가 되고, 방어력＋35, 모든 속성 내성치＋5",防禦力變為１．１倍， 防禦力＋３５、全屬性耐性值＋５,الدفاع +10% مكافأة: +35 كل المقاومات العنصرية +5
Health Boost,1,Health +15,体力＋１５,Vie +15,Salute: +15,Gesundheit +15,Salud +15,Vida +15,Zdrowie +15,Здоровье +15,체력＋15,體力＋１５,الصحة +15
Health Boost,2,Health +30,体力＋３０,Vie +30,Salute: +30,Gesundheit +30,Salud +30,Vida +30,Zdrowie +30,Здоровье +30,체력＋30,體力＋３０,الصحة +30
Health Boost,3,Health +50,体力＋５０,Vie +50,Salute: +50,Gesundheit +50,Salud +50,Vida +50,Zdrowie +50,Здоровье +50,체력＋50,體力＋５０,الصحة +50
Recovery Up,1,Recovery +10%,回復量１．１倍,Soins +10 %,Recupero: +10%,Erholung +10%,Recuperación +10%,Regeneração +10%,Regeneracja +10%,Восстановление +10%,회복량 1.1배,回復量１．１倍,التعافي +10%
Recovery Up,2,Recovery +20%,回復量１．２倍,Soins +20 %,Recupero: +20%,Erholung +20%,Recuperación +20%,Regeneração +20%,Regeneracja +20%,Восстановление +20%,회복량 1.2배,回復量１．２倍,التعافي +20%
Recovery Up,3,Recovery +30%,回復量１．３倍,Soins +30 %,Recupero: +30%,Erholung +30%,Recuperación +30%,Regeneração +30%,Regeneracja +30%,Восстановление +30%,회복량 1.3배,回復量１．３倍,التعافي +30%
Recovery Speed,1,Doubles the speed at which you heal recoverable damage.,赤ゲージの自動回復速度２倍,Double la vitesse de récupération des dégâts temporaires.,Velocità di recupero: +100%,"Verdoppelt die Geschwindigkeit, mit der du erholbaren Schaden heilst.",Duplica la velocidad a la que se cura la parte de daño recuperable.,Dobra a velocidade em que você cura dano recuperável.,Dwukrotnie zwiększa szybkość regeneracji odzyskiwalnego zdrowia.,В два раза увеличивает скорость восстановления исцеляемого урона.,붉은 게이지의 자동 회복 속도 2배,紅色計量表的自動回復速度２倍,يضاعف سرعة شفاءك من ضرر قابل للتعافي.
