name_en,description_en,name_ja,description_ja,name_fr,description_fr,name_it,description_it,name_de,description_de,name_es,description_es,name_pt,description_pt,name_pl,description_pl,name_ru,description_ru,name_ko,description_ko,name_zh,description_zh,name_ar,description_ar
Well-done Steak,Provides a moderate boost to your stamina and keeps it at max for a longer period. Meat done right!,こんがり肉,スタミナを中量回復し、 最大値が減りにくくなる。,Steak à point,Augmente modérément l'endurance et la garde à son niveau maximum pour une plus longue durée.,Bistecca ben cotta,Carne cotta al sangue. Aumenta moderatamente la barra della resistenza. Effetto prolungato.,Gebratenes Steak,Ermöglicht eine mittlere und dauerhaftere Steigerung der Ausdauer. Ein gut zubereitetes Stück Fleisch.,Filete al punto,Aumenta moderadamente la resistencia y la mantiene al máximo durante más tiempo. ¡Carne hecha como debe ser!,Bife Bem Passado,Aumenta moderadamente o vigor e o mantém no máximo por um período maior. É assim que se prepara carne!,Dobrze wysmażony stek,W średnim stopniu zwiększa wytrzym. i dłużej utrzymuje ją na maks. poziomie. Tak się przyrządza mięso!,Хорошо прожаренный стейк,Ощутимо повышает выносливость и дольше поддерживает ее на максимуме. Правильно приготовленное мясо!,잘 익은 고기,스태미나를 적당히 회복하며 최대치가 잘 줄어들지 않게 된다.,全熟肉,可中量回復耐力， 並使最大值不易減少。,شريحة لحم مطهية جيدًا,تعزز بشكل متوسط من قوة تحمّلك وتبقيها في أقصى مستوياتها لفترة أطول. مطهوة بشكل صحيح!
Burnt Meat,Provides a small boost to your stamina. Can be eaten quickly.,コゲ肉,スタミナを少量回復する食料。 素早く食べることができる。,Viande brûlée,Augmente légèrement votre endurance. Peut être mangée rapidement.,Carne bruciata,Carne carbonizzata. Aumenta leggermente la barra della resistenza. Si mangia in fretta.,Verkohltes Fleisch,"Ermöglicht eine geringe Steigerung der Ausdauer. Ein wenig bitter, kann aber schnell gegessen werden.",Carne quemada,Aumenta ligeramente la resistencia. Puedes comerla rápidamente.,Carne Queimada,Aumenta um pouco o vigor. Pode ser comido rapidamente.,Spalone mięso,W niewielkim stopniu zwiększa wytrzymałość. Można je szybko zjeść.,Сгоревшее мясо,Немного повышает выносливость. Можно быстро съесть.,탄 고기,스태미나를 약간 회복하는 식재료. 빨리 먹을 수 있다.,烤焦肉,可少量回復耐力的食物。 可以快速吃下。,لحم محترق,تعزز بشكل بسيط من قوة تحمّلك. يمكن أن تؤكل على الفور.
Cool Drink,Provides temporary relief from extreme heat.,クーラードリンク,一定時間、暑さを緩和する飲料。,Boisson fraîche,Confère une résistance temporaire à la chaleur extrême.,Bevanda fresca,Bevanda che aumenta temporaneamente la resistenza a forti calori.,Kaltgetränk,Schützt dich vorübergehend vor extremer Hitze.,Bebida fría,Bebida que otorga una resistencia temporal al calor extremo.,Bebida Gelada,Alivia temporariamente o calor extremo.,Chłodny napój,Daje chwilową ulgę od wysokiej temperatury.,Освежающий напиток,Временно спасает от невыносимой жары.,쿨드링크,일정 시간동안 더위를 완화하는 음료.,冷飲,可緩和暑氣一段時間的飲料。,مشروب بارد,يعطي ارتياح مؤقت من الحرارة الشديدة.
Nutrients,Very slightly increases your maximum health level.,栄養剤,体力の上限を微量に 上昇させる薬。,Nutriments,Augmentent très légèrement la jauge de vie.,Nutrienti,Aumenta di pochissimo il livello massimo della barra salute.,Nährstoffe,Erhöht die maximale Gesundheitsstufe sehr geringfügig.,Nutrientes,Aumentan muy ligeramente el nivel máximo de salud.,Nutrientes,Aumenta bem pouco a vida máxima.,Substancje odżywcze,W bardzo małym stopniu zwiększają maksymalny poziom zdrowia.,Питательная смесь,Едва заметно увеличивает максимальный уровень здоровья.,영양제,체력의 상한이 미량 상승하는 약.,營養劑,微量提升體力上限 的藥。,المغذيات,تزيد بشكل طفيف للغاية من مستوى صحتك القصوى.
Mega Nutrients,Slightly increases your maximum health level.,栄養剤グレート,体力の上限を少量、 上昇させる薬。,Méga nutriments,Augmentent légèrement la jauge de vie.,Mega nutrienti,Aumenta di poco il livello massimo della barra salute.,Mega-Nährstoffe,Erhöht die maximale Gesundheitsstufe geringfügig.,Meganutrientes,Aumentan ligeramente el nivel máximo de salud.,Meganutrientes,Aumenta um pouco a vida máxima.,Megasubstancje odżywcze,W małym stopniu zwiększają maksymalny poziom zdrowia.,Мегапитательная смесь,Немного увеличивает максимальный уровень здоровья.,그레이트 영양제,체력 상한이 약간 상승하는 약.,營養劑‧大,少量提升體力上限 的藥。,مغذيات هائلة,تزيد بشكل طفيف من مستوى صحتك القصوى.
Immunizer,Boosts your natural ability to heal.,活力剤,自然回復力を高める薬。,Immunisateur,Améliore votre capacité naturelle à récupérer de la vie.,Immunizzatore,Potenzia le tue capacità curative naturali.,Immunisierer,Verbessert deine natürlichen Heilkräfte.,Inmunizador,Medicina que aumenta la capacidad natural de recuperación.,Imunizador,Reforça sua capacidade natural de cura.,Immunizator,Zwiększa naturalną zdolność zdrowienia.,Иммунатор,Усиливает естественную способность к исцелению.,활력제,자연 회복력을 높이는 약.,活力劑,可提高自然回復力的藥。,المحصِن,يعزز من قدرتك الطبيعية على الشفاء.
Astera Jerky,"Juicy, dried meat made by Astera's chef. Boosts natural healing and cures bleeding.",アステラジャーキー,調査団の拠点アステラで作られて いる干し肉。自然回復力を高め、 裂傷状態を治す。,Viande d'Astera,Guérit de l'hémorragie et améliore la récupération de vie naturelle. À mâcher longuement.,Carne di Astera,Rinomata carne di Astera. Migliora la guarigione naturale e cura il sanguinamento.,Astera-Jerky,Getrocknetes Fleisch aus Astera. Stärkt die natürlichen Heilungskräfte und stoppt Blutungen.,Cecina de Astera,Jugosa carne cocida por el Chef de Astera. Cura sangrados y mejora tu recuperación natural de salud.,Carne Seca de Astera,Carne suculenta feita pelo chef de Astera. Reforça a capacidade natural de cura e estanca sangramentos.,Suszone mięso z Astery,"Soczyste mięso suszone przez szefa kuchni z Astery. Wzmaga naturalne leczenie, zatrzymuje krwawienie.",Мясо по-астерски,"Вяленое мясо от шеф-повара Астеры. Усиливает естественную способность к исцелению, снимает кровотечение.",아스테라저키,"조사단의 거점 아스테라에서 만들어지는 말린 고기. 자연 회복력을 높이며, 열상 상태를 치료한다.",星辰肉乾,在調查團據點星辰製作的肉乾。 可提高自然回復力， 治癒裂傷狀態。,لحم أستيرا المقدد,لحم طري مجفّف صنعه طاهي أستيرا. يعزز من التعافي الطبيعي ومعالجة النزيف.
Dash Juice,Dulls one's sense of exhaustion. Reduces stamina depletion for a time.,強走薬,疲労を感じにくくする薬。 一定時間、アクション時の スタミナ消費量が軽減される。,Potion de vitalité,Atténue la sensation de fatigue. Réduit momentanément la perte d'endurance.,Succo sprint,Succo che attenua l'affaticamento. Riduce il consumo di resistenza per un periodo di tempo limitato.,Sprintsaft,Verringert Ermüdungserscheinungen. Reduziert die Ausdauerabnahme kurzzeitig.,Zumo de poder,Disminuye la sensación de cansancio. Reduce el gasto de resistencia por un tiempo.,Isotônico,Hidrata e mantém o fôlego! Reduz temporariamente o consumo de vigor.,Zrywny sok,Tłumi poczucie wyczerpania. Na pewien czas zmniejsza spadek wytrzymałości.,Сок бодрости,Притупляет чувство усталости. Временно уменьшает расход выносливости.,강주약,피로를 잘 느끼지 않게 하는 약. 일정 시간동안 액션 시에 스태미나 소비량이 감소된다.,強走藥,飲用後不易感到疲勞的藥。 會減低行動所需的 耐力消耗量一段時間。,عصير الاندفاع,يلغي الشعور بالإرهاق. ويقلل من استنزاف قوة التحمل لفترة.
Might Seed,Temporarily strengthens your attacks when ingested by improving energy flow.,怪力の種,食べると、一時的に攻撃力が 上昇する種。,Graine de force,Améliore le flux d'énergie pour augmenter temporairement l'attaque.,Seme demoniaco,"Se lo ingerisci, migliora il flusso energetico e aumenta temporaneamente l'attacco.",Machtsamen,Steigert vorübergehend deine Angriffskraft durch besseren Energiefluss.,Semilla de poder,Mejora el flujo energético y aumenta temporalmente el ataque.,Grão de Força,"Melhora seu fluxo de energia, aumentando a potência dos seus ataques.",Ziarno mocy,Po spożyciu chwilowo wzmacnia ataki usprawniając przepływ energii.,Зерно могущества,При попадании в организм улучшает поток энергии и усиливает атаки.,괴력씨앗,먹으면 일시적으로 공격력이 상승하는 씨앗.,怪力種子,吃下後，攻擊力會 暫時上升的種子。,بذرة القوة,تقوّي هجومك بصورة مؤقتة عند ابتلاعها من خلال تحسين تدفق الطاقة.
Demondrug,Boosts your attack power by filling you with—guess what?—demonic strength.,鬼人薬,攻撃力を上昇させる薬。 鬼のごとき力を得る。,Potion du démon,Augmente votre attaque en vous conférant la force d'un démon.,Siero demoniaco,"Aumenta il potere d'attacco, conferendo una forza demoniaca.",Dämonenmittel,Verbessert deinen Angriff und erfüllt dich mit – na was wohl? Dämonenkraft!,Droga demoníaca,Aumenta el ataque al otorgar la fuerza de un demonio al que la toma.,Pílula Demoníaca,"Enche seu corpo de energias demoníacas, aumentando o poder de ataque.",Pigułka demona,"Zwiększa moc ataków, przepełniając cię - a jakże - siłą demona.",Демоническое снадобье,"Усиливает ваши атаки, наполняя вас — вы не поверите — демонической силой.",귀인약,공격력을 상승시키는 약. 귀신과 같은 힘을 얻는다.,鬼人藥,提升攻擊力的藥。 可獲得如鬼一般的力量。,عقار العفريت,يعزز من قوة هجومك من خلال تزويدك بقوة العفريت غير المتوقعة.
Mega Demondrug,Boosts your attack power even more than a regular Demondrug.,鬼人薬グレート,鬼人薬を上回る攻撃力を 得ると伝えられる幻の薬。,Potion du démon +,Version améliorée de la potion du démon. Augmente grandement votre attaque.,Mega siero demoniaco,Aumenta il potere d'attacco. Più efficace del siero demoniaco normale.,Mega-Dämonenmittel,Verbessert deine Angriffskraft noch mehr als das Dämonenmittel.,Megadroga demoníaca,Aumenta el ataque aún más que la droga demoníaca.,Megapílula Demoníaca,Aumenta mais o poder de ataque do que uma pílula demoníaca normal.,Megapigułka demona,Zwiększa moc ataków jeszcze bardziej niż zwykła pigułka demona.,Мегадемоническое снадобье,"Усиливает ваши атаки, действуя еще эффективнее, чем обычное демоническое снадобье.",그레이트 귀인약,귀인약을 상회하는 공격력을 얻는다고 전해지는 환상의 약.,鬼人藥‧大,據說得到的攻擊力更勝 鬼人藥的夢幻藥品。,عقار العفريت الهائل,يعزز من قوة هجومك أكثر من عقار العفريت العادي.
Might Pill,Temporarily endows you with the strength of a mighty god. Potent!,怪力の丸薬,一時的に鬼神のごとき力を 得る事のできる、強力な丸薬。,Philtre du diable,Confère temporairement la puissance d'un dieu redoutable.,Pillola della forza,Pillola energetica che rende temporaneamente fortissimi.,Machtpille,Verleiht dir vorübergehend die Kraft eines mächtigen Gottes. Sehr wirksam!,Píldora de poder,Una píldora fortalecedora que te otorga el poder de un dios feroz.,Pílula de Força,Concede temporariamente a força de um deus. Poderosíssima!,Pigułka mocy,Chwilowo daje siłę potężnego boga. Co za moc!,Таблетка могущества,Временно наделяет вас божественной силой. Крепкая штука!,괴력의 환약,일시적으로 귀신과 같은 힘을 얻게 되는 강력한 환약.,怪力藥丸,可暫時獲得如鬼神般的力量的 強力藥丸。,قرص الطّاقة,يعطيك قوةعظيمة بشكل مؤقت. يا لصلابته!
Adamant Seed,Temporarily raises your defense when ingested by hardening tissue.,忍耐の種,食べると、一時的に防御力が 上昇する種。,Graine de ténacité,Durcit les tissus musculeux pour augmenter temporairement la défense.,Seme della difesa,"Se lo ingerisci, indurisce i tessuti e migliora temporaneamente la difesa.",Diamantsamen,"Steigert durch die Einnahme vorübergehend die Verteidigung, indem es zu Gewebeverhärtungen kommt.",Semilla armadura,Endurece los tejidos y aumenta temporalmente la defensa.,Grão Duro,"Deixa a pele mais dura, aumentando temporariamente a defesa.",Adamantowe ziarno,Po spożyciu chwilowo wzmacnia obronę utwardzając tkanki.,Адамантовое зерно,"Попадая в организм, укрепляет ткани тела и временно повышает защиту.",인내씨앗,먹으면 일시적으로 방어력이 상승하는 씨앗.,忍耐種子,吃下後，防禦力會 暫時上升的種子。,بذرة الصّلابة,ترفع من دفاعك بشكل مؤقت عند ابتلاعها من خلال تقوية الأنسجة.
Armorskin,Boosts your defense by turning your skin as hard as rock.,硬化薬,防御力を上昇させる薬。 岩石のごとく皮膚が硬質化 する。,Potion de pierre,Augmente votre défense en rendant votre peau dure comme la pierre.,Siero armatura,Aumenta la difesa e rende la pelle dura come il ferro.,Panzerhaut,"Verbessert die Verteidigung, indem sie deine Haut hart wie Stein werden lässt.",Piel de armadura,Aumenta la defensa al endurecer la piel como una armadura de piedra.,Pele de Pedra,"Deixa a pele tão dura quanto uma pedra, aumentando a defesa.",Pancerna skóra,Wzmacnia obronę nadając skórze twardość kamienia.,Бронированная кожа,"Усиливает защиту, делая вашу кожу тверже камня.",경화약,방어력을 상승시키는 약. 암석과 같이 피부가 딱딱해진다.,硬化藥,提升防禦力的藥。 皮膚會硬質化得 如岩石一般。,جلد مصفّح,تعزز من دفاعك من خلال جعل جلدك قاسِ كالصخر.
Mega Armorskin,Boosts your defense even more than a regular armorskin.,硬化薬グレート,硬化薬を上回る防御力を 得ると伝えられる幻の薬。,Potion de pierre +,Version améliorée de la potion de pierre. Augmente grandement votre défense.,Mega siero armatura,Aumenta la difesa più del siero armatura normale.,Mega-Panzerhaut,Verbessert deine Verteidigung noch mehr als die normale Panzerhaut.,Piel de armadura+,Aumenta la defensa más incluso que la piel de armadura.,Megapele de Pedra,Aumenta mais a defesa do que uma pele de pedra normal.,Megapancerna skóra,Wzmacnia obronę jeszcze bardziej niż zwykła pancerna skóra.,Мегабронированная кожа,"Усиливает защиту. Еще эффективнее, чем обычная бронированная кожа.",그레이트 경화약,경화약을 상회하는 방어력을 얻는다는 환상의 약.,硬化藥‧大,據說得到的防禦力更勝 硬化藥的夢幻藥品。,جلد مصفّح عملاق,يعزز من دفاعك أكثر من الدرع المصفح العادي.
Adamant Pill,Temporarily makes your skin as hard as adamant. Potent!,忍耐の丸薬,一時的に鋼のごとく皮膚が 硬質化する、強力な丸薬。,Philtre de métal,Rend temporairement votre peau aussi résistante que le métal.,Pillola della difesa,Pillola che rende la tua pelle temporaneamente durissima.,Diamantpille,"Eine Pille, die deine Haut vorübergehend diamanthart macht. Sehr wirkungsvoll!",Píldora armadura,Una píldora que aporta temporalmente a tu piel la fortaleza del metal.,Pílula Dura,Deixa sua pele temporariamente tão dura quanto diamante. Poderosíssima!,Adamantowa pigułka,Chwilowo nadaje skórze twardość kamienia. Co za moc!,Адамантовая таблетка,"Временно делает вашу кожу прочной, как адамант. Сильное средство!",인내의 환약,일시적으로 강철과 같이 피부가 딱딱해지는 강력한 환약.,忍耐藥丸,可暫時使皮膚硬質化得如鋼鐵一般的 強力的藥丸。,قرص الصّلابة,يجعل جلدك في غاية الصلابة بشكل مؤقت. يا لصلابته!
Lifepowder,Produces a healing cloud in the area around the user.,生命の粉塵,体力を回復する粉塵を周囲に放つ。,Poudre de vie,Produit un nuage guérisseur dans la zone.,Polvere di vita,Polvere che genera una nube in grado di ripristinare la salute.,Lebenspulver,Erzeugt eine heilende Wolke in der Umgebung des Benutzers.,Polvo de vida,Crea una neblina curativa en la zona en torno al usuario.,Pó da Vida,Produz uma nuvem de cura ao redor do usuário.,Proszek życia,Wytwarza uzdrawiającą chmurę w okolicy wokół użytkownika.,Порошок жизни,Создает исцеляющее облако вокруг охотника.,생명의 가루,체력을 회복하는 약을 주위에 뿌린다.,生命粉塵,將回復體力的粉塵撒向四周。,مسحوق الحياة,ينشئ سحابة شفاء حول المستخدم.
Herbal Powder,A mysterious powder that produces a cloud around the area that restores health and neutralizes poison.,漢方の粉塵,毒を中和し体力を少量回復する 粉塵を周囲に放つ。,Poudre végétale,Une poudre mystérieuse produisant un nuage dans la zone qui régénère la vie et neutralise les effets du poison.,Polvere d'erbe,Polvere che genera una nube in grado di ripristinare la salute e curare l'avvelenamento.,Kräuterpulver,"Ein mysteriöses Pulver, das eine Wolke in der Umgebung des Benutzers erzeugt, die Gesundheit heilt und Gift neutralisiert.",Polvo de hierbas,"Polvo exótico que crea una neblina en torno a la zona de uso, restablece la salud y elimina el veneno.",Pó de Ervas,Um pó misterioso. Libera uma nuvem ao redor da área que recupera vida e neutraliza venenos.,Proszek ziołowy,"Tajemniczy proszek wytwarzający w danym miejscu chmurę, która uzdrawia i neutralizuje truciznę.",Травяной порошок,"Таинственный порошок создает облако, которое исцеляет и нейтрализует действие яда.",한방가루,독을 중화하며 체력을 약간 회복하는 분진을 주위에 뿌린다.,漢方粉塵,將中和毒性及少量回復體力的粉塵 撒向四周。,المسحوق العشبي,مسحوق غامض ينشئ سحابة حول المنطقة فتستعيد الصحة وتبطل أثر السم.
Demon Powder,A mysterious powder that produces a cloud around the area that temporarily strengthens attacks.,鬼人の粉塵,攻撃力を一時的に高める粉塵を 周囲に放つ。,Poudre du démon,Une poudre mystérieuse produisant un nuage dans la zone qui renforce temporairement l'attaque.,Polvere demoniaca,Polvere che genera una nube in grado aumentare l'attacco per un breve periodo.,Dämonenpulver,"Ein mysteriöses Pulver, das eine Wolke in der Umgebung des Benutzers erzeugt, die kurzzeitig Angriffe verbessert.",Polvo de demonio,Polvo exótico que crea una neblina en torno a la zona de uso y refuerza temporalmente los ataques.,Pó Demoníaco,Um pó misterioso. Libera uma nuvem ao redor da área que aumenta o ataque temporariamente.,Proszek demona,"Tajemniczy proszek wytwarzający w danym miejscu chmurę, która chwilowo wzmacnia ataki.",Демонический порошок,"Таинственный порошок создает облако, которое временно усиливает атаки.",귀인의 가루,공격력을 일시적으로 높이는 약을 주위에 뿌린다.,鬼人粉塵,將暫時提高攻擊力的粉塵 撒向四周。,مسحوق العفريت,مسحوق غامض ينشئ سحابة حول المنطقة فتقوّي من الهجوم بشكل مؤقت.
Hardshell Powder,A mysterious powder that produces a cloud around the area that temporarily strengthens defense.,硬化の粉塵,防御力を一時的に高める粉塵を 周囲に放つ。,Poudre de pierre,Une poudre mystérieuse produisant un nuage dans la zone qui renforce temporairement la défense.,Polvere guscioduro,Polvere che genera una nube in grado aumentare la difesa per un breve periodo.,Harthülsenpulver,"Ein mysteriöses Pulver, das eine Wolke in der Umgebung des Benutzers erzeugt, die kurzzeitig die Verteidigung verbessert.",Polvo de cáscara,Polvo exótico que crea una neblina en torno a la zona de uso y refuerza temporalmente la defensa.,Pó de Conchas,Um pó misterioso. Libera uma nuvem ao redor da área que aumenta a defesa temporariamente.,Proszek skorupowy,"Tajemniczy proszek wytwarzający w danym miejscu chmurę, która chwilowo wzmacnia obronę.",Порошок из скорлупы,"Таинственный порошок создает облако, которое временно усиливает защиту.",경화의 가루,방어력을 일시적으로 높이는 약을 주위에 뿌린다.,硬化粉塵,將暫時提高防禦力的粉塵 撒向四周。,المسحوق الصلب,مسحوق غامضة ينشئ سحابة حول المنطقة فتقوّي من الدفاع بشكل مؤقت.
Honey,Highly nutritious honey. Combine this with Potions to craft Mega Potions for maximum potency.,ハチミツ,栄養価の高いハチミツ。 回復薬と調合すると、その効果を 高めることができる。,Miel,Du miel à haute valeur nutritive. Mélangez-en à des potions pour créer des méga potions.,Miele,Miele dolce e dorato. Combinalo con una pozione per creare una mega pozione.,Honig,"Sehr nahrhafter Honig. Kombiniere ihn mit einem Trank, um einen Mega-Trank herzustellen.",Miel,Miel muy nutritiva. Combínala con pociones para crear megapociones de gran potencia.,Mel,Mel altamente nutritivo. Combine-o com Poções para criar Megapoções de máxima potência.,Miód,Bardzo pożywny miód. W połączeniu z miksturami daje megamikstury o maksymalnej mocy.,Мед,"Очень полезный мед. Смешайте его с зельем, чтобы получить мегазелье.",벌꿀,영양가 높은 벌꿀. 회복약과 조합하면 그 효과를 높일 수 있다.,蜂蜜,具有高營養價值的蜂蜜。 與回復藥調合即可提高 回復的效果。,عسل,عسل مغذي للغاية. امزجه مع الجرعات لصنع جرعات عملاقة لأقصى فعالية.
