name_en,name_base_en,description_en,name_ja,name_base_ja,description_ja,name_fr,name_base_fr,description_fr,name_it,name_base_it,description_it,name_de,name_base_de,description_de,name_es,name_base_es,description_es,name_pt,name_base_pt,description_pt,name_pl,name_base_pl,description_pl,name_ru,name_base_ru,description_ru,name_ko,name_base_ko,description_ko,name_zh,name_base_zh,description_zh,name_ar,name_base_ar,description_ar
Dragonproof Mantle+,Dragonproof Mantle,"Reduces dragon damage, nullifies dragonblight, and powers up your weapon's dragon properties.",耐龍の装衣・改,耐龍の装衣,龍属性のダメージを軽減する。 龍属性やられを無効化し、 武器の持つ龍属性を強化する。,Cape anti-dragon +,Cape anti-dragon,"Réduit les dégâts draconiques, annule les fléaux-dragon, et améliore l'élément dragon de l'arme.",Mantello antidrago+,Mantello antidrago,"Riduce i danni da drago, annulla il malus da drago e potenzia le armi con proprietà elementale drago.",Drachenschutz-Mantel+,Drachenschutz-Mantel,Reduziert Drachenelement-Schaden. Negiert Drachenpest und verbessert die Drachen-Eigenschaften deiner Waffe.,Manto antidraco+,Manto antidraco,"Reduce el daño por draco, anula la plaga de draco y potencia el elemento draco en tu arma.",Manto Antidragão+,Manto Antidragão,"Reduz dano de dragão, anula flagelo de dragão e fortalece os atributos de dragão da arma.",Opończa smokoodporna+,Opończa smokoodporna,"Zmniejsza obrażenia od smoków, zdejmuje plagę smoka i wzmacnia smocze właściwości broni.",Драконостойкий покров+,Драконостойкий покров,"Снижает урон от драконов, нейтрализует драконью порчу и усиливает драконьи свойства оружия.",내룡 복장+,내룡 복장,"용속성 데미지를 경감한다. 용속성 피해를 무효화하고, 무기가 가진 용속성을 강화한다.",耐龍衣裝‧改,耐龍衣裝,減輕龍屬性的傷害。 使龍屬性異常狀態無效， 並強化持有武器的龍屬性。,عباءة مقاومة للتنين+,عباءة مقاومة للتنين,تقلل من ضرر التنين وتبطل وباء التنين وتزيد من قوة خصائص التنين لسلاحك.
Cleanser Booster+,Cleanser Booster,Places a smoker that removes any abnormal status effects and elemental blights.,解除の煙筒・改,解除の煙筒,煙筒を設置し、 あらゆる状態異常や属性やられを 回復する煙を発生させる。,Purificateur +,Purificateur,Place un fumigateur qui annule les afflictions et les fléaux.,Bengala detergente+,Bengala detergente,Piazza un fumogeno che rimuove le alterazioni di stato e i malus elementali.,Reiniger-Booster+,Reiniger-Booster,"Platziert eine Räucher-Vorrichtung, die alle anomalen Statuseffekte und elementbasierten Pestarten aufhebt.",Potenciador de pureza+,Potenciador de pureza,Coloca una bengala que produce un humo que cura los estados alterados y plagas elementales.,Reforço de Limpeza+,Reforço de Limpeza,Aplica uma cortina de fumaça que remove efeitos de status anormal e flagelos de elemento.,Wzmocnienie czyszczące+,Wzmocnienie czyszczące,"Ustawia świecę dymną, która usuwa wszelkie szkodliwe efekty i plagi żywiołów.",Усилитель чистоты+,Усилитель чистоты,"Дымовая шашка, которая снимает любые аномальные эффекты и стихийную порчу.",해제의 연통+,해제의 연통,연통을 설치해서 모든 상태 이상 및 속성 피해를 회복하는 연기를 피운다.,解除煙筒‧改,解除煙筒,設置煙筒，放出能使玩家 從各種狀態異常或屬性異常狀態 回復的煙。,معزز المطهِر+,معزز المطهِر,يضع مدخنة تزيل أي آثار غريبة للوضعية والأوبئة العنصرية.
Glider Mantle+,Glider Mantle,Increases jump airtime and grants the power to ride strong winds. Also makes it easier to mount monsters.,滑空の装衣・改,滑空の装衣,ジャンプの滞空時間が長くなる。 強風の吹く場所では、風に乗って 移動できる。また、ジャンプ攻撃で モンスターに乗りやすくなる。,Cape planeur +,Cape planeur,Accroît la durée de saut. Permet de planer en cas de vent fort et de monter sur les monstres plus aisément.,Mantello aliante+,Mantello aliante,"Incrementa la durata del salto, permette di cavalcare i venti forti e rende più facile salire sui mostri.",Gleiter-Mantel+,Gleiter-Mantel,Du springst länger und kannst auf Winden reiten. Erleichtert zudem den Aufstieg auf Monster.,Manto planeador+,Manto planeador,Aumenta el tiempo en el aire en salto y permite planear con vientos fuertes. Facilita poder montar sobre monstruos.,Manto Planador+,Manto Planador,Aumenta a duração do salto e permite planar em ventos fortes. Facilita montar em monstros.,Opończa lotu+,Opończa lotu,Umożliwia szybowanie w powietrzu po skoku i pozwala unosić się na silnym wietrze. Ułatwia dosiadanie potworów.,Покров ветра+,Покров ветра,"Увеличивает продолжительность прыжка и позволяет парить на потоках сильного ветра. Кроме того, помогает забираться на чудовищ.",활공 복장+,활공 복장,점프의 체공 시간이 길어진다. 강풍이 부는 장소에선 바람을 타고 이동할 수 있다. 또 점프 공격으로 몬스터에 타기가 쉬워진다.,滑空衣裝‧改,滑空衣裝,跳躍時滯空時間變長。 在強風吹拂的地方可以乘風移動。 此外，以跳躍攻擊的方式， 更容易騎上魔物。,عباءة الطيران+,عباءة الطيران,تزيد من مدة القفز في الهواء و تُكسب القوة على الطيران وسط الرياح القوية. كما تسهّل امتطاء الوحوش.
Evasion Mantle+,Evasion Mantle,Increases the invulnerability window while evading and grants a temporary attack boost for evading a monster attack at the very last moment.,回避の装衣・改,回避の装衣,回避行動中の無敵時間が長くなる。 モンスターの攻撃を、直前で回避 すると、一時的に攻撃力が上がる。,Cape d'évasion +,Cape d'évasion,Augmente la fenêtre d'invincibilité lors des esquives. Augmente temporairement l'attaque en cas d'esquive au dernier moment.,Mantello evasione+,Mantello evasione,Prolunga l'intervallo delle azioni evasive. Schiva gli attacchi all'ultimo secondo per ottenere un bonus di attacco.,Ausweich-Mantel+,Ausweich-Mantel,Macht beim Ausweichen länger unverwundbar; zudem kurzzeitiger Angriffsbonus beim Ausweichen eines Angriffs im letzten Moment.,Manto de evasión+,Manto de evasión,Mayor tiempo de invulnerabilidad al esquivar y bonus de ataque temporal si esquivas en el último momento.,Manto de Evasão+,Manto de Evasão,Aumenta a invulnerabilidade na evasão e reforça temporariamente o ataque ao evadir-se do ataque de monstros no último momento.,Opończa uników+,Opończa uników,Wydłuża okres nietykalności podczas uniku i daje chwilową premię do ataku za uniknięcie ataku w ostatniej chwili.,Покров уклонения+,Покров уклонения,"Увеличивает окно неуязвимости при уклонении и временно усиливает атаку, если вы успели уклониться в последний момент.",회피 복장+,회피 복장,"회피 중 무적 시간이 길어진다. 몬스터의 공격을 직전에 회피하면, 일시적으로 공격력이 올라간다.",迴避衣裝‧改,迴避衣裝,迴避行動中的無敵時間變長。 若於瞬間迴避魔物的攻擊， 即可暫時提升攻擊力。,عباءة التفادي+,عباءة التفادي,تزيد مدة المناعة أثناء التفادي وتعزز الهجوم مؤقتًا لتفادي هجمة الوحش في آخر دقيقة.
Impact Mantle+,Impact Mantle,Adds a stun effect to most attacks or increases the potency of an existing stun effect.,強打の装衣・改,強打の装衣,ほとんどの攻撃に気絶値を追加 する。また、すでに気絶値のある 攻撃の場合は、その効果を上げる。,Cape du champion +,Cape du champion,"Ajoute un effet d'étourdissement à la plupart des attaques, ou augmente un effet d'étourdissement existant.",Mantello impatto+,Mantello impatto,Aggiunge stordimento a molti attacchi o potenzia un effetto stordente già presente.,Aufschlag-Mantel+,Aufschlag-Mantel,Fügt den meisten Angriffen einen Betäubungseffekt hinzu oder verstärkt einen bestehenden Betäubungseffekt.,Manto de impacto+,Manto de impacto,"Añade efecto aturdidor a muchos ataques, o aumenta la potencia del efecto si ya cuentas con él.",Manto de Impacto+,Manto de Impacto,Adiciona um efeito atordoante à maioria dos ataques ou aumenta a potência de um efeito de atordoamento.,Opończa uderzenia+,Opończa uderzenia,Dodaje ogłuszenie do większości ataków lub zwiększa siłę obecnego efektu ogłuszenia.,Покров импульса+,Покров импульса,Добавляет оглушающий эффект к большинству атак либо усиливает существующий оглушающий эффект.,강타 복장+,강타 복장,"대부분의 공격에 기절치를 추가 한다. 또, 이미 기절치가 있는 공격이면 그 효과를 올린다.",強打衣裝‧改,強打衣裝,可追加昏厥值至大部分的攻擊。 若原本的攻擊已附帶昏厥值， 則效果提升。,عباءة التصادم+,عباءة التصادم,تضيف أثر الصعق لمعظم الهجمات أو تزيد من فاعلية أثر الصعق الحالي.
Apothecary Mantle+,Apothecary Mantle,Increases the probability of triggering status buildup when attacking with weapons that induce abnormal statuses.,化合の装衣・改,化合の装衣,状態異常属性を持つ武器を当てた時 属性値を与える攻撃の発動確率が 上がる。,Cape du scélérat +,Cape du scélérat,Augmente les chances d'activer l'affliction d'une arme lorsque vous attaquez.,Mantello chimico+,Mantello chimico,Aumenta la probabilità di infliggere stati alterati con le armi che possono farlo.,Apotheker-Mantel+,Apotheker-Mantel,"Häufigere Status-Ansammlungen beim Angriff mit Waffen, die anomale Statuseffekte verursachen.",Manto de boticario+,Manto de boticario,Aumenta la probabilidad de causar estados agravados al atacar con armas que provoquen estados alterados.,Manto de Boticário+,Manto de Boticário,Aumenta a probabilidade de acumular status ao atacar com armas que induzem status anormais.,Opończa aptekarza+,Opończa aptekarza,Zwiększa szansę na akumulację efektów przy ataku bronią nakładającą szkodliwe efekty.,Покров аптекаря+,Покров аптекаря,"Увеличивает шанс активации накопления статусов при атаке оружием, способным накладывать аномальные статусы.",화합 복장+,화합 복장,상태 이상 속성을 가진 무기로 공격 성공 시 속성치를 주는 공격의 발동 확률이 올라간다.,化合衣裝‧改,化合衣裝,以異常狀態屬性的武器攻擊命中時， 會提升給予屬性值攻擊的 發動機率。,عباءة العلاج+,عباءة العلاج,تزيد من إمكانية تشغيل ازدياد الوضعية أثناء الهجوم بأسلحة تحدث وضعيات غير عادية.
Immunity Mantle+,Immunity Mantle,Removes and nullifies all abnormal status effects for the duration of the effect.,免疫の装衣・改,免疫の装衣,あらゆる状態異常や属性やられを 回復し、効果中は状態異常や 属性やられにならなくなる。,Cape angélique +,Cape angélique,Supprime et annule toutes les afflictions durant toute la durée de l'effet.,Mantello immunità+,Mantello immunità,Rimuove e annulla tutte le alterazioni di stato per la durata dell'effetto.,Immunität-Mantel+,Immunität-Mantel,"Entfernt und negiert alle anomalen Statuseffekte, solange die Wirkung andauert.",Manto de inmunidad+,Manto de inmunidad,Elimina y anula los estados alterados mientras dura el efecto.,Manto de Imunidade+,Manto de Imunidade,Remove e anula efeitos de status anormais enquanto durar o efeito.,Opończa niewrażliwości+,Opończa niewrażliwości,Usuwa wszystkie szkodliwe efekty i zapobiega im na okres swojego działania.,Покров устойчивости+,Покров устойчивости,На время действия снимает и нейтрализует все эффекты аномальных статусов.,면역 복장+,면역 복장,"모든 상태 이상 및 속성 피해를 회복하고, 효과 중에는 상태 이상 및 속성 피해에 걸리지 않게 된다.",免疫衣裝‧改,免疫衣裝,可回復所有狀態異常或屬性異常 狀態，效果生效時， 不會陷入屬性狀態異常。,عباءة الحصانة+,عباءة الحصانة,تزيل وتبطل كل الآثار الغريبة للوضعية في مدة سريانها.
Affinity Booster+,Affinity Booster,Places a smoker that increases affinity.,達人の煙筒・改,達人の煙筒,煙筒を設置し、プレイヤーの会心率 を上げる煙を発生させる。,Amplificateur affinité +,Amplificateur d'affinité,Place un fumigateur qui augmente l'affinité.,Bengala affinità+,Bengala affinità,Posiziona un fumogeno che incrementa l'affinità.,Affinität-Booster+,Affinität-Booster,"Platziert eine Räucher-Vorrichtung, die die Affinität erhöht.",Potenciador de afinidad+,Potenciador de afinidad,Coloca una bengala que produce un humo que aumenta la afinidad.,Reforço de Afinidade+,Reforço de Afinidade,Aplica uma cortina de fumaça que aumenta a afinidade.,Wzmocnienie zgodności+,Wzmocnienie zgodności,"Ustawia świecę dymną, która zwiększa zgodność.",Усилитель мастерства+,Усилитель мастерства,"Дымовая шашка, повышающая мастерство.",달인의 연통+,달인의 연통,연통을 설치해서 플레이어의 회심률을 올리는 연기를 피운다.,達人煙筒‧改,達人煙筒,設置煙筒，放出能提升玩家 會心率的煙。,معزز النسبة+,معزز النسبة,يضع مدخنة تزيد من النسبة.
Bandit Mantle+,Bandit Mantle,Causes monsters to drop rare trade-in items when you attack them.,追い剥ぎの装衣・改,追い剥ぎの装衣,大型モンスターを攻撃することで、 換金性の高いアイテムを落とさせる ことができるようになる。,Cape du voleur +,Cape du voleur,Force les monstres à lâcher des objets rares lorsque vous les attaquez.,Mantello furfante+,Mantello furfante,Induce i mostri a lasciare oggetti rari quando li attacchi.,Banditen-Mantel+,Banditen-Mantel,"Monster lassen seltene Wertobjekte fallen, wenn du sie angreifst.",Manto de bandido+,Manto de bandido,Hace que de los monstruos caigan objetos vendibles raros al atacarlos.,Manto de Bandido+,Manto de Bandido,Faz com que os monstros deixem itens de troca raros durante ataques.,Opończa bandyty+,Opończa bandyty,"Powoduje, że zaatakowane potwory pozostawiają rzadkie przedmioty na sprzedaż.",Покров разбойника+,Покров разбойника,"Чудовища роняют редкие предметы для продажи, когда вы их атакуете.",강도 복장+,강도 복장,대형 몬스터를 공격해서 환금성이 높은 아이템을 떨어뜨리게 할 수 있다.,盜掠衣裝‧改,盜掠衣裝,攻擊大型魔物時， 可使現金兌換率 高的道具掉落。,عباءة قاطع الطريق+,عباءة قاطع الطريق,تجبر الوحوش على إسقاط عناصر نادرة للمبادلة عند مهاجمتها.
Assassin's Hood+,Assassin's Hood,"Increases movement speed and allows you to hide quicker. Deals big damage to a monster caught unaware, then the effect ends.",アサシンの装衣・改,アサシンの装衣,一部の移動が速くなり、気配を素早く 隠せるアサシンの衣装。気づいて いないモンスターを攻撃すると大きな ダメージを与え、効果が終了する。,Capuche d'assassin +,Capuche d'assassin,Augmente la vitesse de déplacement et permet de se cacher rapidement. Grands dégâts lorsque vous frappez un monstre par surprise.,Cappa dell'assassino+,Cappa dell'assassino,"Aumenta la velocità di movimento e permette di nascondersi rapidamente. Provoca danni ingenti ai mostri colti di sorpresa, quindi l'effetto svanisce.",Assassinenkapuze+,Assassinenkapuze,Erhöht die Bewegungsgeschwindigkeit und erlaubt schnelleres Verstecken. Richtet bei einem arglosen Monster großen Schaden an und endet dann.,Capucha de asesino+,Capucha de asesino,"Te permite moverte y esconderte más rápido. Atacar a un monstruo desprevenido causa gran daño, pero hace que el efecto termine.",Capuz do Assassino+,Capuz do Assassino,"Acelera a movimentação e permite se esconder mais rápido. Causa muito dano a um monstro pego de surpresa, encerrando o efeito.",Kaptur asasyna+,Kaptur asasyna,"Zwiększa szybkość ruchów, pozwala szybciej się ukryć. Działa do zadania obrażeń zaskoczonemu tym potworowi.",Капюшон ассасина+,Капюшон ассасина,"Увеличивает скорость и позволяет вам быстрее прятаться. Чудовищу, застигнутому врасплох, наносится большой урон, затем эффект исчезает.",어쌔신 복장+,어쌔신 복장,"일부 이동이 빨라지고, 기척을 재빨리 감추는 어쌔신 의상. 눈치 채지 못한 몬스터를 공격하면 큰 데미지를 주고, 효과가 끝난다.",刺客衣裝‧改,刺客衣裝,部分的移動將變快，能快速隱藏氣息 的刺客衣裝。在不被魔物察覺下給予 重大傷害後結束效果。,قلنسوة القاتل+,قلنسوة القاتل,تزيد سرعة الحركة وتسمح بالاختباء بسهولة. تلحق ضررًا كبيرًا بوحش غير منتبه، ثم ينتهي التأثير.
