name_en,target,quantity,tempered,arch_tempered
A Tingling Taste,Great Girros,1,0,0
Stuck in a Rut,Radobaan,1,0,0
Chef Quest! A Rotten Request,Girros,10,0,0
A Meow for Help,Gastodon,13,0,0
A Scalding Scoop,Barnos,5,0,0
Dodogama Drama,Dodogama,1,0,0
Chef Quest! Gajalaka Lockdown,Gajalaka,10,0,0
A Wound and a Thirst,Nergigante,1,0,0
Special Arena: HR Pink Rathian,Pink Rathian,1,0,0
Special Arena: HR Legiana,Legiana,1,0,0
Special Arena: HR Odogaron,Odogaron,1,0,0
Special Arena: HR Uragaan,Uragaan,1,0,0
Special Arena: HR Rathalos,Rathalos,1,0,0
Special Arena: HR Azure Rathalos,Azure Rathalos,1,0,0
Special Arena: HR Diablos,Diablos,1,0,0
Special Arena: HR Black Diablos,Black Diablos,1,0,0
Rathalos Rematch,Rathalos,1,0,0
Rathalos in Blue,Azure Rathalos,1,0,0
The Red and Blue Crew,Rathalos,1,0,0
The Red and Blue Crew,Azure Rathalos,1,0,0
Pretty In Pink,Pink Rathian,1,0,0
"Well, That Diablos!",Diablos,1,0,0
Two-horned Hostility,Black Diablos,1,0,0
RRRRRumble in the Waste!,Diablos,1,0,0
RRRRRumble in the Waste!,Black Diablos,1,0,0
A Cherry Wind upon the Reefs,Pink Rathian,1,0,0
Legiana: Highlands Royalty,Legiana,1,0,0
A Sore Site,Odogaron,1,0,0
Talons of Ire and Ice,Legiana,1,0,0
Talons of Ire and Ice,Odogaron,1,0,0
Odogaron Unleashed,Odogaron,1,0,0
"Lavasioth, Monster of Magma",Lavasioth,1,0,0
Ore-eating Occupier,Uragaan,1,0,0
Ruler of the Azure Skies,Azure Rathalos,1,0,0
Bazelgeuse in the Field of Fire,Bazelgeuse,1,0,0
A Fiery Convergence,Lavasioth,1,0,0
A Fiery Convergence,Uragaan,1,0,0
"Kushala Daora, Dragon of Steel",Kushala Daora,1,0,0
Teostra the Infernal,Teostra,1,0,0
Hellish Fiend Vaal Hazak,Vaal Hazak,1,0,0
Land of Convergence,Xeno'jiiva,1,0,0
Beyond the Blasting Scales,Bazelgeuse,2,1,0
Thunderous Rumble in the Highlands,Kirin,1,1,0
A Portent of Disaster,Kushala Daora,1,0,0
A Blaze on the Sand,Teostra,1,0,0
Lightning Strikes Twice,Kirin,1,0,0
Stirrings from the Grave,Vaal Hazak,1,0,0
The Eater of Elders,Nergigante,1,0,0
Master of the Gale,Kushala Daora,1,0,0
Hellfire's Stronghold,Teostra,1,0,0
The Winds of Wrath Bite Deep,Kushala Daora,1,0,0
The Fires of Hell Bite Deep,Teostra,1,0,0
A Light Upon the River's Gloom,Xeno'jiiva,1,0,0
The White Winds of the New World,Legiana,1,0,0
The White Winds of the New World,Odogaron,1,0,0
The White Winds of the New World,Diablos,1,0,0
The White Winds of the New World,Rathalos,1,0,0
The Sapphire Star's Guidance,Kushala Daora,1,1,0
The Sapphire Star's Guidance,Teostra,1,1,0
The Sapphire Star's Guidance,Nergigante,1,1,0
Showdown: the Muck and the Maul,Barroth,1,1,0
Showdown: the Muck and the Maul,Radobaan,1,1,0
"New World Sky, New World Flower",Pink Rathian,1,1,0
"New World Sky, New World Flower",Azure Rathalos,1,1,0
A Summons from Below,Vaal Hazak,1,1,0
A Summons from Below,Odogaron,1,1,0
Arena Quest 02,Kulu-Ya-Ku,1,0,0
Arena Quest 03,Rathian,1,0,0
Arena Quest 04,Tzitzi-Ya-Ku,1,0,0
Arena Quest 05,Barroth,1,0,0
Arena Quest 06,Dodogama,1,0,0
Arena Quest 07,Azure Rathalos,1,0,0
Arena Quest 08,Radobaan,1,0,0
Arena Quest 08,Uragaan,1,0,0
Arena Quest 09,Diablos,1,0,0
Arena Quest 09,Black Diablos,1,0,0
Arena Quest 01,Pukei-Pukei,1,0,0
Troubled Troupers,Tzitzi-Ya-Ku,2,0,0
Infernal Monarchy,Teostra,1,0,0
Infernal Monarchy,Lunastra,1,0,0
Blue Prominence,Lunastra,1,0,0
Today's Special: Hunter Flambé,Deviljho,1,0,0
A Visitor from Eorzea,Behemoth,1,0,0
Challenge Quest 1: Beginner,Pukei-Pukei,1,0,0
Challenge Quest 1: Beginner,Kulu-Ya-Ku,1,0,0
Vespoid Infestation!,Vespoid,30,0,0
"Down the Dark, Muddy Path",Barroth,1,0,0
Challenge Quest 2: Beginner,Tobi-Kadachi,1,0,0
Challenge Quest 2: Beginner,Paolumu,1,0,0
Gajalaka Outbreak!,Gajalaka,10,0,0
Challenge Quest 1: Intermediate,Rathalos,1,0,0
Challenge Quest 1: Intermediate,Tzitzi-Ya-Ku,1,0,0
Challenge Quest 2: Intermediate,Odogaron,2,0,0
Gale & Fangs Slay Event 1,Odogaron,1,0,0
Gale & Fangs Slay Event 1,Legiana,1,0,0
Gale & Fangs Slay Event 2,Odogaron,1,0,0
Gale & Fangs Slay Event 2,Legiana,1,0,0
Gale & Fangs Slay Event 3,Odogaron,1,0,0
Gale & Fangs Slay Event 3,Legiana,1,0,0
Deviljho Slay Event,Deviljho,1,0,0
What Lurks In The Forest,Great Jagras,1,0,0
What Lurks In The Forest,Anjanath,1,0,0
What Lurks In The Forest,Rathalos,1,0,0
Empress in Full Bloom I,Pink Rathian,1,0,0
Empress in Full Bloom II,Pink Rathian,1,0,0
Empress in Full Bloom III,Pink Rathian,1,0,0
When Law Meets War,Bazelgeuse,1,0,0
The Hunter and the Blue Empress,Lunastra,1,0,0
Nergigante Slay Event 1,Nergigante,1,0,0
Nergigante Slay Event 2,Nergigante,1,0,0
Nergigante Slay Event 3,Nergigante,1,0,0
Nergigante Slay Event 4,Nergigante,1,0,0
The Awakened Satsui No Hado I,Nergigante,1,0,0
The Awakened Satsui No Hado II,Nergigante,1,0,0
The Awakened Satsui No Hado III,Nergigante,1,0,0
The Best of the Best,Teostra,1,0,0
The Best of the Best,Kushala Daora,1,0,0
The Best of the Best,Nergigante,1,0,0
Challenge Quest 1: Expert,Bazelgeuse,1,1,0
Challenge Quest 1: Expert,Uragaan,1,1,0
Challenge Quest 2: Expert,Nergigante,1,0,0
Up at the Crack of Dawn,Kestadon,12,0,0
Chew the Fat,Great Jagras,2,0,0
USJ: Gold Star Treatment,Great Jagras,3,0,0
Where Sun Meets Moon,Tobi-Kadachi,1,0,0
Where Sun Meets Moon,Pukei-Pukei,1,0,0
Ya-Ku With That?,Kulu-Ya-Ku,1,0,0
Ya-Ku With That?,Tzitzi-Ya-Ku,1,0,0
Greeting the Gluttons,Great Jagras,1,0,0
Greeting the Gluttons,Pukei-Pukei,1,0,0
Greeting the Gluttons,Paolumu,1,0,0
Lessons of the Wild,Barnos,8,0,0
Every Hunter's Dream,Paolumu,1,0,0
Every Hunter's Dream,Rathalos,1,0,0
Flesh Cleaved to Bone,Radobaan,1,0,0
Flesh Cleaved to Bone,Odogaron,1,0,0
The Poison Posse,Pukei-Pukei,1,0,0
The Poison Posse,Rathian,1,0,0
The Poison Posse,Rathalos,1,0,0
Wicked Wildspire Warfare,Diablos,1,0,0
Wicked Wildspire Warfare,Barroth,2,0,0
Kirin the Myth,Kirin,2,0,0
Scrapping with the Shamos,Shamos,13,0,0
Egg Lovers United,Kulu-Ya-Ku,1,0,0
Midnight Mayhem,Gastodon,10,0,0
The Proving,Anjanath,1,0,0
Triple Threat Throwdown,Great Jagras,1,0,0
Triple Threat Throwdown,Great Girros,1,0,0
Triple Threat Throwdown,Dodogama,1,0,0
Gaze Upon the Dawn,Zorah Magdaros,1,0,0
A Flash in the Pan,Tzitzi-Ya-Ku,3,0,0
A Royal Pain,Rathian,1,0,0
A Royal Pain,Pink Rathian,1,0,0
USJ Blazing Azure Stars!,Dodogama,1,0,0
USJ Blazing Azure Stars!,Azure Rathalos,1,0,0
A Rush of Blood,Odogaron,2,0,0
This Is How Revolts Start,Diablos,1,0,0
This Is How Revolts Start,Black Diablos,1,0,0
Rollin' With The Uragaan,Uragaan,2,0,0
Coral Waltz,Tzitzi-Ya-Ku,1,0,0
Coral Waltz,Paolumu,1,0,0
Coral Waltz,Pink Rathian,1,0,0
Coral Waltz,Legiana,1,0,0
Deep Green Blues,Great Jagras,1,0,0
Deep Green Blues,Pukei-Pukei,1,0,0
Deep Green Blues,Tobi-Kadachi,1,0,0
Deep Green Blues,Anjanath,1,0,0
Deep Green Blues,Rathalos,1,0,0
Effluvial Opera,Great Girros,1,0,0
Effluvial Opera,Radobaan,1,0,0
Effluvial Opera,Odogaron,1,0,0
Effluvial Opera,Bazelgeuse,1,0,0
Wildspire Bolero,Kulu-Ya-Ku,1,0,0
Wildspire Bolero,Barroth,1,0,0
Wildspire Bolero,Diablos,1,0,0
Wildspire Bolero,Jyuratodus,1,0,0
Wildspire Bolero,Rathian,1,0,0
Rock N' Roll Recess,Dodogama,1,0,0
Rock N' Roll Recess,Lavasioth,1,0,0
Rock N' Roll Recess,Uragaan,1,0,0
Rock N' Roll Recess,Azure Rathalos,1,0,0
Code: Red,Anjanath,1,0,0
Code: Red,Odogaron,1,0,0
Code: Red,Rathalos,1,0,0
Code: Red,Teostra,1,0,0
No Tomorrow for Usurpers,Bazelgeuse,1,1,0
Relish the Moment,Deviljho,1,1,0
A Nose for an Eye,Anjanath,1,1,0
A Nose for an Eye,Azure Rathalos,1,1,0
Keeper of the Otherworld,Xeno'jiiva,1,0,0
Snow & Cherry Blossoms,Pink Rathian,1,1,0
Snow & Cherry Blossoms,Legiana,1,1,0
Banquet in the Earthen Hall,Kulve Taroth,1,0,0
A Visitor from Eorzea (Extreme),Behemoth,1,1,0
A Whisper of White Mane,Kirin,1,0,1
The Deathly Quiet Curtain,Vaal Hazak,1,0,1
The Scorn of the Sun,Teostra,1,0,1
The Eye of the Storm,Kushala Daora,1,0,1
The Thronetaker,Nergigante,1,1,0
The Thronetaker,Teostra,1,1,0
The Thronetaker,Lunastra,1,1,0
The Food Chain Dominator,Deviljho,1,0,0
The Blazing Sun,Teostra,1,0,0
Pandora's Arena,Lunastra,1,0,0
"No Remorse, No Surrender",Lunastra,1,0,0
"No Remorse, No Surrender",Teostra,1,0,0
A Visitor from Another World,Kulu-Ya-Ku,1,0,0
The Legendary Beast,Behemoth,1,0,0
He Taketh It With His Eyes,Behemoth,1,0,0
