id,name_en,objective_en,description_en,name_ja,objective_ja,description_ja,name_fr,objective_fr,description_fr,name_it,objective_it,description_it,name_de,objective_de,description_de,name_es,objective_es,description_es,name_pt,objective_pt,description_pt,name_pl,objective_pl,description_pl,name_ru,objective_ru,description_ru,name_ko,objective_ko,description_ko,name_zh,objective_zh,description_zh,name_ar,objective_ar,description_ar,
637,Special Arena: HR Radobaan,Hunt a Radobaan,"A new challenger: Radobaan, the Roto-Ravager, the Grinder! Better dodge fast, or you'll be boned! The gloves are off—not that we have gloves that big...",特殊闘技場：骨鎚竜上位編,ラドバルキンの狩猟,ただ今、特殊闘技場にてクエストを受け付けております。 今回は骨鎚竜・ラドバルキンが対象です。 設置されている施設を駆使し、狩猟を行ってください。,Arène spéciale : Radobaan,Chasser un Radobaan,"Nouvel adversaire : le Radobaan, le Roto-ravageur, l'Aiguiseur ! Il embroche tout ce qui passe à portée ! Tous les coups sont permis !",Arena speciale: Radobaan AG,Caccia un Radobaan,"Il nuovo sfidante è un Radobaan, il roto-razziatore, il frantumatore! È consigliabile schivare i suoi attacchi! Chi sarà così audace da affrontarlo?",Spezialarena: HR Radobaan,Erjage einen Radobaan.,"Ein neuer Herausforderer: Radobaan – der Roto-Zerstörer, der Zermalmer! Weich bloß aus, sonst bist du Brei! Hier steht mehr als nur Ruhm und Ehre auf dem Spiel!",Arena especial: Radobaan RA,Caza un Radobaan,"Un nuevo adversario: ¡Radobaan el triturador, lo hace todo añicos! ¡Más te vale esquivar con destreza o te hará polvo! ¿Vas a recoger el guante que te lanza esta bestia?",Arena Especial: Radobaan RE,Cace um Radobaan,"Um novo desafiante: Radobaan, o Roto-ruína, o Britador! Melhor desviar rápido para não ser desossado! Agora sim, no mano a mano — como se existisse luva desse tamanho...",Specjalna Arena: WO Radobaan,Upoluj Radobaana,"Nowy konkurent! Radobaan, Wrogogryzarka, Młynek! Orientuj się, bo oddzieli ci mięso od kości! Szykuj się na walkę, i to na gołą klatę...",Спецарена: радобаан ВР,Убить радобаана.,"Новый претендент: радобаан, измельчитель врагов, костолом! Наваляет так, что костей не соберете! Рискнешь потягаться с этой шипастой махиной?",특수 격투장: 골추룡 상위 편,라도발킨 사냥,"지금, 특수 격투장에서 퀘스트를 접수받고 있습니다. 이번에는 골추룡/라도발킨을 상대합니다. 설치된 시설을 잘 활용해 사냥하십시오.",特殊鬥技場：骨鎚龍進階篇,狩獵骨鎚龍,現在已在特殊鬥技場承接了任務。 這次的對象為骨鎚龍。 請充分活用設置的設施進行狩獵。,حلبة مميزة: رادوبان ر م,صيد رادوبان,متحدٍ جديد: رادوبان، الطاحن الساحق! من الأفضل أن تراوغه سريعًا وإلا سيهشم عظامك! لا مجال للرحمة هنا. التسامح غير مسموح.,
751,Rathalos Rematch,Hunt a Rathalos,We've gotten a disturbing report of another unusually powerful Rathalos in the Ancient Forest. Let that red beast know who REALLY stands atop the food chain here!,リオレウスの狩猟,リオレウスの狩猟,各地にて、モンスター目撃の報告が相次いでいる。 それらは常よりも強靭な個体であるということだ。 速やかに現地へと向かい、各自調査を進めるよう。,"Rathalos, le retour",Chasser un Rathalos,On nous a signalé la présence d'un autre Rathalos particulièrement puissant dans la Forêt ancienne. Va lui faire comprendre que ce n'est pas lui le plus fort !,Rivincita Rathalos,Caccia un Rathalos,"Secondo un inquietante rapporto, un altro Rathalos dalla forza inusuale è apparso nella Foresta antica. Fa' vedere a quel mostro rosso chi è in cima alla catena alimentare!",Die Rathalos-Revanche,Erjage einen Rathalos.,"Wir haben einen beunruhigenden Bericht über noch einen ungewöhnlich starken Rathalos im Uralten Wald erhalten. Zeig der roten Bestie, wer hier der wahre Herr im Haus ist!",Revancha Rathalos,Caza un Rathalos,Hemos recibido informes perturbadores acerca de otro Rathalos increíblemente fuerte en el Bosque Primigenio. ¡Demuéstrale a esa bestia quién está en lo alto de la cadena alimenticia!,Revanche de Rathalos,Cace um Rathalos,Recebemos um informe preocupante apontando outro Rathalos poderoso na Floresta Ancestral. Mostre para essa fera vermelha QUEM é que está no topo da cadeia alimentar!,Rewanż z Rathalosami,Upoluj Rathalosa,"Otrzymaliśmy niepokojący raport dotyczący wyjątkowo silnego Rathalosa w Starodrzewie. Pokaż tej czerwonej bestii, kto NAPRAWDĘ znajduje się na szczycie łańcucha pokarmowego!",Реванш раталоса,Выследить раталоса.,"Мы получили из Древнего леса тревожные сведения о необычайно сильном раталосе. Покажи этой красной твари, кто тут НА САМОМ ДЕЛЕ вершина пищевой цепи!",리오레우스 사냥,리오레우스 사냥,각지에서 몬스터 목격 보고가 잇따라 들어오고 있어. 평소보다 강한 개체가 있다는 보고야. 빨리 해당 지역으로 가서 각자 조사해 줘.,狩獵火龍,狩獵火龍,接連傳來了在各地目擊魔物的報告。 那是比往常更加強韌的魔物。 盡速前往當地並開始進行各自調查吧。,إعادة مباراة راذالوس,صيد راذالوس,وصلنا تقرير مقلق عن راذالوس قوي آخر غير متوقع وجوده في الغابة العتيقة. فليعرف هذا الوحش الأحمر من سيكون في أعلى السلسلة الغذائية اليوم!,
752,Rathalos in Blue,Hunt an Azure Rathalos,"The field team has spotted an Azure Rathalos patroling the skies. Subspecies like these are highly valuable to the Commission's research efforts. Get going, hunter!",リオレウス亜種の狩猟,リオレウス亜種の狩猟,調査班より、リオレウス亜種の目撃が報告された。 亜種は非常に貴重な調査対象だ。ハンター達は 速やかに現地へと向かい、かの王者の調査を進めるよう。,Apocalypse azur,Chasser un Rathalos azur,L'équipe de terrain a repéré un Rathalos azur dans le ciel. Une telle sous-espèce est on ne peut plus précieuse pour les recherches de la Commission. En avant !,Apocalisse azzurra,Caccia un Rathalos azzurro,"Secondo un inquietante rapporto, un Rathalos azzurro dalla forza inusuale è apparso nei cieli. Avvia subito le indagini, ma occhio ai suoi attacchi in picchiata!",Rathalos in Blau,Erjage einen Azurnen Rathalos.,"Das Feldteam hat beobachtet, wie ein Azurner Rathalos am Himmel patrouilliert ist. Unterarten wie diese sind für die Forschung der Kommission unglaublich wichtig, also los!",Apocalipsis Celeste,Caza un Rathalos Celeste,El equipo de campo ha avistado a un Rathalos Celeste surcando los cielos. Subespecies como esta son muy útiles para las investigaciones de la comisión... ¡a por él!,Rathalos em Azul,Cace um Rathalos Lazúli,"O time de campo avistou um Rathalos Lazúli patrulhando os céus. Subespécies como essa são muito valiosas para as pesquisas da Comissão. Vamos, mexa-se, caçador!",Lazurowa Apokalipsa,Upoluj Lazurowego Rathalosa,"Otrzymaliśmy niepokojący raport dotyczący wyjątkowo silnego Lazurowego Rathalosa, który pojawił się w Starodrzewie. Natychmiast rozpocznij śledztwo, uważaj na zamaszyste ataki!",Раталосы в синем,Выследить лазурного раталоса.,"Полевой отряд заметил Лазурного раталоса патрулиющего небеса. Подвиды как этот очень ценны для исследований Экспедиции. В дорогу, охотник!",리오레우스 아종 사냥,리오레우스 아종 사냥,조사팀에서 리오레우스 아종 목격이 보고되었다. 아종은 매우 귀중한 조사 대상이다. 헌터들은 신속하게 현지로 이동해 그 왕자를 조사하도록.,狩獵蒼火龍,狩獵蒼火龍,經由調查班報告，他們目擊到蒼火龍了。 亞種是非常珍貴的調查對象。 請獵人們即刻前往現場，調查那個王者。,راذالوس في الأزرق,صيد راذالوس لازوردي,رصد الفريق الميداني راذالوس لازوردي يجوب السماء. سلالة كهذه قيمة جداً لجهود بحث اللجنة. <LSNR {ابدأ التحرك أيها الصياد} {ابدأي التحرك أيتها الصيادة}>!,
753,The Red and Blue Crew,Hunt all target monsters,"Here at the Second Fleet, we've been working to develop new tools to help your hunts, but we need YOUR help gathering the materials. We're counting on you to take this quest!",蒼紅乱麻,全てのターゲットの狩猟,アタシ達２期団は、調査に役立つモノを開発しているんだけどね。 そのために必要な素材があるんだ。このクエストをどうか頼むよ。 ※初回クリア時のみ、新たな特殊装具を入手,En rouge et bleu,Chasser tous les monstres,"La Deuxième flotte développe de nouveaux outils pour la chasse, mais a besoin d'aide pour rassembler les matériaux nécessaires. On compte sur toi !",Il rosso e il blu,Caccia tutti i mostri assegnati,"Noi della Seconda flotta stiamo sviluppando nuovi strumenti per le tue battute di caccia, ma prima dovrai aiutarci nella raccolta dei materiali. Mi raccomando, contiamo su di te!",Das rote und das blaue Team,Erjage alle Zielmonster.,"Wir von der 2. Flotte haben neue Werkzeuge entwickelt, die dir auf deinen Jagden helfen. Aber du musst das Material besorgen. Wir zählen darauf, dass du diese Quest annimmst.",El equipo rojo y azul,Caza todos los objetivos,Los de la 2.ª flota hemos estado desarrollando nuevas herramientas para que os ayuden a cazar. Pero necesitamos ayuda para recoger los materiales. ¡Contamos con vosotros!,O Bando Vermelho e Azul,Cace todos os monstros-alvo,"Aqui na Segunda Frota, trabalhamos para desenvolver novas ferramentas que ajudarão nas suas caçadas, mas precisamos da SUA ajuda com os materiais. Contamos com você nessa missão!",Czerwono-niebieska załoga,Upoluj wszystkie cele,"Pracujemy tu w Drugiej Flocie nad nowymi narzędziami, które ułatwią ci polowanie, ale potrzebujemy twojej pomocy przy zbieraniu materiałów. Liczymy, że zajmiesz się tą misją!",Синий и красный,Выследить все цели.,"Мы, члены Второго флота, заняты созданием новых инструментов в помощь охотникам, но нам нужна ТВОЯ помощь в поиске и сборе материалов. Мы рассчитываем на тебя!",창홍난무,모든 타겟 사냥,우리 2기단은 조사에 도움되는 물건을 개발하고 있어. 지금 개발에 필요한 소재가 있어서 이 퀘스트를 부탁할게. ※처음 클리어했을 때만 새로운 특수 장비를 입수,蒼紅亂麻,狩獵所有目標,我們第２期團在開發隊調查有用的東西。因此需要 開發時必要的素材。這個任務就務必麻煩你了。 ※僅初次完成時，可獲得新的特殊裝備。,الطاقم الأحمر والأزرق,صيد كل الوحوش المستهدفة,نعمل هنا في الأسطول الثاني لتطوير أدوات لمساعدتك في صيدك ولكننا نحتاج إلى مساعدتك في جمع المواد. نعتمد عليك في إنجاز هذه المهمة!,
761,Pretty In Pink,Hunt a Pink Rathian,"The field team has spotted a Pink Rathian stalking the local wildlife. Subspecies like these are highly valuable to the Commission's research efforts. Get going, hunter!",リオレイア亜種の狩猟,リオレイア亜種の狩猟,調査班より、リオレイア亜種の目撃が報告された。 亜種は非常に貴重な調査対象だ。ハンター達は 速やかに現地へと向かい、かの女王の調査を進めるよう。,Nuances de rose,Chasser une Rathian sakura,L'équipe de terrain a repéré une Rathian sakura ! Une telle sous-espèce est on ne peut plus précieuse pour les recherches de la Commission. En avant !,Bella in rosa,Caccia una Rathian rosa,"Secondo un inquietante rapporto, una Rathian rosa dalla forza inusuale sta minacciando la fauna locale. Avvia subito le indagini, ma occhio ai poderosi attacchi di coda!",Die rosa Schönheit,Erjage eine Rosa Rathian.,"Das Feldteam hat beobachtet, wie eine Rosa Rathian einigen lokalen Kreaturen nachgestellt hat. Unterarten wie diese sind für die Forschung der Kommission unglaublich wichtig, also los!",La chica de rosa,Caza una Rathian Rosa,El equipo de campo ha visto a una Rathian Rosa acechando a la fauna local. Subespecies como esta son muy útiles para las investigaciones de la comisión... ¡a por ella!,Rosa Choque,Cace uma Rathian Rosa,"O time de campo avistou um Rathian Rosa assustando os animais locais. Subespécies como essa são muito valiosas para as pesquisas da Comissão. Então, mexa-se, caçador!",Piękność w różu,Upoluj Różową Rathianę,"Otrzymaliśmy niepokojący raport dotyczący wyjątkowo silnej Różowej Rathiany, którą widziano na Pustkowiu Dzikowieży. Natychmiast rozpocznij śledztwo, ale uważaj na ataki ogonem!",Крошка в розовом,Выследить розовую ратиану.,"Полевой отряд заметил Розовую ратиану, которая следила за местной дикой природой. Подвиды как этот очень ценны для исследований Экспедиции. В дорогу, охотник!",리오레이아 아종 사냥,리오레이아 아종 사냥,조사팀에서 리오레이아 아종 목격이 보고되었다. 아종은 매우 귀중한 조사 대상이다. 헌터들은 신속하게 현지로 이동해 그 여왕을 조사하도록.,狩獵櫻火龍,狩獵櫻火龍,經由調查班報告，他們目擊到櫻火龍了。 亞種是非常珍貴的調查對象。 請獵人們即刻前往現場，調查那個女王。,جميل في الوردي,صيد راثيان الوردية,رصد الفريق الميداني راثيان الوردية تتربص الحياة البرية المحلية. سلالة كهذه قيمة جداً لجهود بحث اللجنة. <LSNR {ابدأ التحرك أيها الصياد} {ابدأي التحرك أيتها الصيادة}>!,
762,"Well, That Diablos!",Hunt a Diablos,"We've gotten a disturbing report of an unusually powerful Diablos appearing in the Wildspire Waste. Begin your investigation ASAP, but beware of its charging attacks!",ディアブロスの狩猟,ディアブロスの狩猟,各地にて、モンスター目撃の報告が相次いでいる。 それらは常よりも強靭な個体であるということだ。 速やかに現地へと向かい、各自調査を進めるよう。,"Petit diable, va !",Chasser un Diablos,On nous a signalé la présence d'un Diablos particulièrement puissant dans le Désert des termites. Va vite voir ça. Attention à ses attaques chargées !,Diavolo di un Diablos!,Caccia un Diablos,"Secondo un inquietante rapporto, un Diablos dalla forza inusuale si aggira sulle Guglie selvagge. Avvia subito le indagini, ma occhio ai suoi attacchi in carica!","Also, dieser Diablos!",Erjage einen Diablos.,"Wir haben einen beunruhigenden Bericht über einen besonders starken Diablos in der Wildturm-Ödnis erhalten. Nimm die Untersuchung auf, aber Vorsicht vor Sturmangriffen!",¡Menudo Diablos!,Caza un Diablos,"Hemos recibido un informe inquietante sobre un Diablos que ha aparecido en el Yermo de Agujas. Empieza a investigar ya, ¡pero ojo con sus ataques con carga!","Ora, que Diablos!",Cace um Diablos,"Recebemos um informe preocupante apontando a presença de um Diablos poderoso no Ermo Selvagulha. Vá investigar, mas tome cuidado com os ataques de investida!",A to Diablos!,Upoluj Diablosa,"Otrzymaliśmy niepokojący raport dotyczący wyjątkowo silnego Diablosa, który pojawił się na Pustkowiu Dzikowieży. Natychmiast rozpocznij śledztwo, ale uważaj na jego szarże!",Ох уж эти диаблос!,Выследить диаблоса.,"Мы получили из Дикогорья тревожные сведения о необычайно сильном диаблосе. Немедленно отправляйся туда, но постарайся не подпускать его слишком близко!",디아블로스 사냥,디아블로스 사냥,각지에서 몬스터 목격 보고가 잇따라 들어오고 있어. 평소보다 강한 개체가 있다는 보고야. 빨리 해당 지역으로 가서 각자 조사해 줘.,狩獵角龍,狩獵角龍,接連傳來了在各地目擊魔物的報告。 那是比往常更加強韌的魔物。 盡速前往當地並開始進行各自調查吧。,حسنًا، ديابلوس ذاك!,صيد ديابلوس,وصلنا تقرير مقلق عن ظهور ديابلوس القوي في أنقاض الهياكل الشرسة. <LSNR {ابدأ} {ابدأي}> استقصاءك بأقصى سرعة، ولكن <LSNR {احترس} {احترسي}> من هجماته المندفعة!,
763,Two-horned Hostility,Hunt a Black Diablos,"Hey, we've gotten a report of an unusually fine monster specimen roaming around. We need to seize on this opportunity, so we need you to investigate ASAP!",黒角竜は砂地がお好き,ディアブロス亜種の狩猟,とても貴重なモンスターを発見したわ。こんな機会は、 もう滅多にないかも…。一刻も早く、生態を調査すべきよ。 あたし達編纂者からも、よろしくお願いするわね。,Bis-cornu,Chasser une Diablos noire,"On nous a signalé la présence d'un spécimen de monstre exceptionnel. L'occasion ne se représentera peut-être pas, alors il n'y a pas de temps à perdre !",Minaccia bicornuta,Caccia una Diablos nera,"Un mostro particolarmente potente è stato avvistato nei dintorni. Presto, dobbiamo approfittare di questa occasione e indagare!",Der Feind mit den zwei Hörnern,Erjage eine Schwarze Diablos.,"Hey, wir haben einen Bericht über ein besonders schönes Monster erhalten. Wir müssen diese Gelegenheit nutzen – beginne deine Untersuchung so schnell wie möglich!",Dos cuernos rebeldes,Caza una Diablos Negra,Nos han informado de la presencia de un espécimen de monstruo inusualmente bello por los alrededores. Hay que aprovechar el momento: ¡ve a investigar ahora mismo!,Dois Chifres Hostis,Cace uma Diablos Negra,"Ei, recebemos um informe de uma espécie diferente de monstro circulando por aí. Precisamos aproveitar a oportunidade, então vá investigar isso AGORA!",Dwurożna wrogość,Upoluj Czarną Diablę,"Poważna zmiana w ekosystemie sprawiła, że potwory opuściły swe naturalne środowiska. Ruszaj na Pustkowie Dzikowieży i zajmij się sprawą Czarnej Diabli, która się tam wdarła!",Двурогий неприятель,Выследить черную диаблос.,"Мы получили тревожные сведения о необычайно сильном монстре неподалеку. Нам нужно воспользоваться этой возможностью, так что исследуйте как можно быстрее.",흑각룡은 모래를 좋아해,디아블로스 아종 사냥,아주 귀중한 몬스터를 발견했어. 이런 기회는 앞으론 좀처럼 없을 거야... 한시라도 빨리 생태를 조사해야 해. 우리 편집자들도 잘 부탁할게.,黑角龍鍾愛沙地,狩獵黑角龍,發現了非常珍貴的魔物。這種機會或許已經不多了…… 應該趕快調查生態，一刻也不能耽誤。 我們這些編輯者也要拜託你們了。,عدائية ثنائية القرن,صيد ديابلوس سوداء,مرحباً، وصلنا تقرير مقلق عن فصيلة من الوحوش القوية تجوب الأرجاء. علينا أن نغتنم هذه الفرصة، لذا نريدك أن <LSNR {تبدأ} {تبدأي}> الاستقصاء بأقصى سرعة!,
764,RRRRRumble in the Waste!,Hunt all target monsters,*sigh* I've already told you what I want you to do. Run along now and complete this quest if you want your new toy. *Unlocks a new Specialized Tool on first time completion.,荒野の大大大暴動！,全てのターゲットの狩猟,ねえ。調査に役立つものを開発するのに、素材が必要なの。 このクエスト。お願いヨ。　※初回クリア時のみ、 新たな特殊装具を入手、食事場の食材が追加,Désordre désertique,Chasser tous les monstres,"*soupir* Je t'ai déjà expliqué ce que tu dois faire... Alors, si tu veux ton nouveau jouet, active-toi un peu ! <STYL MOJI_LIGHTGREEN_DEFAULT>Première complétion : Nouvel outil de survie",Botte da orbi,Caccia tutti i mostri assegnati,"*sigh* Ti ho già spiegato cosa mi serve. Sbrigati a completare la missione, se vuoi il tuo nuovo giocattolo. <STYL MOJI_ORANGE_DEFAULT>Sblocca uno strumento dedicato al primo completamento.",Der Kampf in der Ödnis,Erjage alle Zielmonster.,"*seufz* Ich hab dir doch schon gesagt, was ich vorhabe. Willst du dein neues Spielzeug? Dann absolviere diese Quest. *1. Abschluss schaltet ein neues Spezialwerkzeug frei.",¡Bronca en el yermo!,Caza todos los objetivos,"Uf... Ya te he dicho lo que quiero que hagas. Venga, ve y completa la misión si quieres un juguete nuevo. *Desbloquea una herramienta especializada al completarse.",Brrrriga nos Ermos!,Cace todos os monstros-alvo,*ah* Já lhe disse o que quero que faça. Então vá logo concluir essa missão se quiser um brinquedo novo. *Libera uma nova Ferramenta Especial na 1a conclusão,Rrrrozróba na pustkowiu!,Upoluj wszystkie cele,"*wzdycha* Mówiłam już, co masz zrobić. A teraz idź, wykonaj zadanie, jeśli chcesz dostać swoją nową zabawkę. *Pierwsze ukończenie odblokowuje nowe narzędzie specjal.",Разборки в Дикогорье!,Выследить все цели.,"*вздыхает* Я же уже сказала, что тебе нужно сделать. Выполни задание, если хочешь получить новую игрушку. *Открывает новый спец. инструмент при первом выполнении.",황야의 대대대폭동!,모든 타겟 사냥,있잖아. 조사에 도움될 만 한 걸 개발하려는데 소재가 필요해. 이 퀘스트. 부탁해. ※처음 클리어할 때만 새로운 특수 장비를 입수,荒野的大大大暴動！,狩獵所有目標,聽我說，要開發對調查有幫助的東西，素材是必要的。 這個任務，麻煩你了喔。 ※僅初次完成時，可獲得新的特殊裝備。,دمدمة في الأنقاض!,صيد كل الوحوش المستهدفة,(تنهيدة) لقد أخبرتك بالفعل ما أريد منك فعله. أسرع الآن وأكمل هذه المهمة إن أردت لعبتك الجديدة. تفتح أداة مختصة جديدة بمجرد الانتهاء.,
771,A Cherry Wind upon the Reefs,Hunt a Pink Rathian,"The field team has spotted a Pink Rathian stalking the local wildlife. Subspecies like these are highly valuable to the Commission's research efforts. Get going, hunter!",台地の吹雪は桜色,リオレイア亜種の狩猟,調査班より、リオレイア亜種の目撃が報告された。 亜種は非常に貴重な調査対象だ。ハンター達は 速やかに現地へと向かい、かの女王の調査を進めるよう。,Vent rouge sur les récifs,Chasser une Rathian sakura,L'équipe de terrain a repéré une Rathian sakura ! Une telle sous-espèce est on ne peut plus précieuse pour les recherches de la Commission. En avant !,Una rosa di montagna,Caccia una Rathian rosa,"Secondo un inquietante rapporto, una Rathian rosa dalla forza inusuale sta minacciando la fauna locale. Avvia subito le indagini, ma occhio ai poderosi attacchi di coda!",Kirschfarbener Wind überm Riff,Erjage eine Rosa Rathian.,"Das Feldteam hat beobachtet, wie eine Rosa Rathian einigen lokalen Kreaturen nachgestellt hat. Unterarten wie diese sind für die Forschung der Kommission unglaublich wichtig, also los!",La guinda en el arrecife,Caza una Rathian Rosa,El equipo de campo ha visto a una Rathian Rosa acechando a la fauna local. Subespecies como esta son muy útiles para las investigaciones de la comisión... ¡a por ella!,Vento Cereja nas Velas,Cace uma Rathian Rosa,"O time de campo avistou um Rathian Rosa assustando os animais locais. Subespécies como essa são muito valiosas para as pesquisas da Comissão. Então, mexa-se, caçador!",Wiśniowy wiatr na rafach,Upoluj Różową Rathianę,"Poważna zmiana w ekosystemie sprawiła, że potwory opuściły swe naturalne środowiska. Ruszaj na Pogórze Koralowe i zajmij się sprawą Różowej Rathiany, która się tam wdarła!",Вишневый ветер над рифами,Выследить розовую ратиану.,"Полевой отряд заметил Розовую ратиану, которая следила за местной дикой природой. Подвиды как этот очень ценны для исследований Экспедиции. В дорогу, охотник!",대지의 눈보라는 분홍색,리오레이아 아종 사냥,조사팀에서 리오레이아 아종 목격이 보고되었다. 아종은 매우 귀중한 조사 대상이다. 헌터들은 신속하게 현지로 이동해 그 여왕을 조사하도록.,台地的暴風雪是櫻色,狩獵櫻火龍,經由調查班報告，他們目擊到櫻火龍了。 亞種是非常珍貴的調查對象。 請獵人們即刻前往現場，調查那個女王。,رياح حمراء فوق الشعب المرجانية,صيد راثيان الوردية,رصد الفريق الميداني راثيان الوردية تتربص الحياة البرية المحلية. سلالة كهذه قيمة جداً لجهود بحث اللجنة. <LSNR {ابدأ التحرك أيها الصياد} {ابدأي التحرك أيتها الصيادة}>!,
772,Legiana: Highlands Royalty,Hunt a Legiana,"We've gotten a disturbing report of an unusually powerful Legiana appearing in the Coral Highlands. Begin your investigation ASAP, but beware its swift and icy attacks!",レイギエナの狩猟,レイギエナの狩猟,各地にて、モンスター目撃の報告が相次いでいる。 それらは常よりも強靭な個体であるということだ。 速やかに現地へと向かい、各自調査を進めるよう。,"Legiana, le roi des hauts-plateaux",Chasser un Legiana,On nous a signalé la présence d'un Legiana particulièrement puissant dans le Plateau de corail. Va vite voir ça. Attention à ses embuscades !,Dagli altipiani con furore,Caccia un Legiana,"Secondo un inquietante rapporto, un Legiana dalla forza inusuale si aggira sugli Altipiani corallini. Avvia subito le indagini, ma occhio ai suoi attacchi a sorpresa!",Legiana: Der König des Hochlands,Erjage einen Legiana.,"Wir haben einen beunruhigenden Bericht über einen besonders starken Legiana im Korallenhochland erhalten. Nimm die Untersuchung auf, aber Vorsicht vor den eisigen Attacken!",Legiana: la realeza del altiplano,Caza un Legiana,Hemos recibido un informe inquietante sobre un Legiana que ha aparecido en los Altiplanos Coralinos. Empieza tu investigación cuanto antes. ¡Ojo con sus ataques de hielo!,Legiana: Realeza Planaltina,Cace um Legiana,"Recebemos um informe preocupante apontando a presença de um Legiana poderoso nos Planaltos Coralinos. Vá investigar, mas tome cuidado com os ataques cortantes gelados!",Legiana: królowie pogórza,Upoluj Legianę,"Otrzymaliśmy niepokojący raport dotyczący wyjątkowo silnej Legiany, która pojawiła się na Pogórzu Koralowym. Natychmiast rozpocznij śledztwo, ale uważaj na ataki lodem!",Легиана: королева нагорья,Выследить легиану.,"Мы получили тревожные сведения из Кораллового нагорья о необычайно сильной розовой ратиане. Немедленно отправляйся туда, но берегись ее стремительных ледяных атак!",레이기에나 사냥,레이기에나 사냥,각지에서 몬스터 목격 보고가 잇따라 들어오고 있어. 평소보다 강한 개체가 있다는 보고야. 빨리 해당 지역으로 가서 각자 조사해 줘.,狩獵風漂龍,狩獵風漂龍,接連傳來了在各地目擊魔物的報告。 那是比往常更加強韌的魔物。 盡速前往當地並開始進行各自調查吧。,ليغيانا: المرتفعات الملكية,صيد ليغيانا,وصلنا تقرير مقلق عن ظهور ليغيانا القوي في المرتفعات المرجانية. <LSNR {ابدأ} {ابدأي}> استقصاءك بأقصى سرعة، ولكن <LSNR {احترس} {احترسي}> من هجماته السريعة المجمِدة!,
773,A Sore Site,Hunt an Odogaron,"Ugh! Every time I go out to the highlands to observe my beloved Paolumu, that gnarly monster is there! Please do something! *Unlocks a new Canteen ingredient on first time completion.",お楽しみはオドガロンの後で,オドガロンの狩猟,調査と研究の合間に、息抜きは必要だ。その息抜き調達のため、 このクエストを頼む。終わり次第、祝杯といこうじゃないか。 ※初回クリア時のみ、食事場の食材が追加,Gros casse-pied,Chasser un Odogaron,"Grrr ! À chaque fois que je vais sur le plateau pour observer mon cher Paolumu, ce gros balèze est là. Aide-moi ! <STYL MOJI_LIGHTGREEN_DEFAULT>Première complétion : Nouvel ingrédient à la Cantine",Incontri indesiderati,Caccia un Odogaron,"Ugh! Ogni volta che raggiungo gli altipiani per osservare il mio amato Paolumu, quel mostro m'importuna! Aiutami! <STYL MOJI_ORANGE_DEFAULT>Sblocca un ingrediente per la mensa al primo completamento.",Eine wunde Stelle,Erjage einen Odogaron.,"Uff! Immer, wenn ich im Hochland meinen geliebten Paolumu beobachten will, ist da dieses fiese Monster! Bitte tu was! *Der 1. Abschluss schaltet eine neue Kantinenzutat frei.",Un lugar doloroso,Caza un Odogaron,"¡Uf! ¡Cada vez que salgo a los altiplanos a observar a los Paolumu, ese monstruo asqueroso está allí! ¡Haz algo! *Desbloquea nuevo ingrediente de la cantina la primera vez.",Um Local Dolorido,Cace um Odogaron,"Argh! Toda vez que vou até o planalto observar meu amado Paolumu, aquele monstro nojento está lá! Faça alguma coisa! *Libera novo ingrediente da Cantina na 1a conclusão.",Bolesne miejsce,Upoluj Odogarona,"Ugh! Zawsze jak wychodzę na pogórze, żeby popatrzeć na ulu-bionego Paolumu, siedzi tam ten paskudny potwór! Zrób coś! *Pierwsze ukończenie odblokowuje nowy składnik w Kantynie.",Печальное зрелище,Выследить одогарона.,"Фу! Всякий раз, когда я хочу понаблюдать за моим драгоценным паолуму, появляется эта тварь! Прошу, сделай что-нибудь! *Открывает ингредиент для столовой при первом выполнении.",즐거울 일은 오도가론 다음에,오도가론 사냥,조사와 연구 중간에 휴식은 필요하지. 그 휴식 조달을 위해 이 퀘스트를 부탁한다. 끝난 다음에는 축배를 들지 않겠나. ※처음 클리어할 때만 식당에 식재료 추가,好戲在慘爪龍之後,狩獵慘爪龍,在調查與研究的餘暇也需要放鬆一下。為了可以好好放鬆， 這任務就麻煩你了。等結束後，再來慶祝吧。 ※僅初次完成時，會追加用餐地區的食材。,موقع مزعج,صيد أودوغارون,آه! في كل مرة أذهب إلى المرتفعات لمراقبة محبوبي باولومو، يكون هذا الوحش الخطير هناك! <LSNR {افعل} {افعلي}> شيئًا أرجوك! تفتح مكونًا جديدًا للمطعم بمجرد الانتهاء.,
